name1,name2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2,degree1,degree2
jtattermusch,matt-kwong,1,0,0,1,0.5,0.0,0.0,0.5,3,1,0.94,0.93,4490,495
ctiller,yang-g,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.945,0.908,3377,1236
nicolasnoble,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.935,0.908,2472,1236
ctiller,nicolasnoble,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.945,0.935,3377,2472
ctiller,iamqizhao,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.945,0.943,3377,30
ctiller,nicolasnoble,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.945,0.935,3377,2472
ctiller,nicolasnoble,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.945,0.935,3377,2472
ctiller,murgatroid99,4,0,0,0,1.0,0.0,0.0,0.0,5,1,0.945,0.968,3377,2107
jboeuf,vjpai,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.712,0.895,584,1870
ctiller,vjpai,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.945,0.895,3377,1870
paralin,vjpai,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.705,0.895,48,1870
jiangtaoli2016,vjpai,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.84,0.895,259,1870
sreecha,vjpai,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.853,0.895,775,1870
ctiller,jboeuf,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.945,0.712,3377,584
vjpai,y-zeng,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.895,0.814,1870,444
jboeuf,y-zeng,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.712,0.814,584,444
ctiller,y-zeng,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.945,0.814,3377,444
paralin,y-zeng,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.705,0.814,48,444
jiangtaoli2016,y-zeng,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.84,0.814,259,444
sreecha,y-zeng,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.853,0.814,775,444
vjpai,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.895,0.908,1870,1236
jboeuf,yang-g,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.712,0.908,584,1236
ctiller,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.945,0.908,3377,1236
y-zeng,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.814,0.908,444,1236
paralin,yang-g,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.705,0.908,48,1236
jiangtaoli2016,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.84,0.908,259,1236
sreecha,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.853,0.908,775,1236
jboeuf,paralin,1,0,1,0,1.0,0.0,1.0,0.0,2,1,0.712,0.705,584,48
ctiller,paralin,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.945,0.705,3377,48
jiangtaoli2016,paralin,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.84,0.705,259,48
jboeuf,jiangtaoli2016,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.712,0.84,584,259
ctiller,jiangtaoli2016,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.945,0.84,3377,259
jboeuf,sreecha,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.712,0.853,584,775
ctiller,sreecha,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.945,0.853,3377,775
paralin,sreecha,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.705,0.853,48,775
jiangtaoli2016,sreecha,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.84,0.853,259,775
AspirinSJL,ctiller,4,0,0,0,1.0,0.0,0.0,0.0,5,1,0.857,0.945,508,3377
ctiller,mehrdada,4,0,0,0,1.0,0.0,0.0,0.0,5,1,0.945,0.892,3377,985
markdroth,mehrdada,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.884,0.892,1231,985
AspirinSJL,mehrdada,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.857,0.892,508,985
ctiller,markdroth,8,0,0,0,1.0,0.0,0.0,0.0,6,1,0.945,0.884,3377,1231
AspirinSJL,markdroth,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.857,0.884,508,1231
ctiller,dgquintas,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.945,0.899,3377,1753
ctiller,nicolasnoble,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.945,0.935,3377,2472
ctiller,jboeuf,6,0,0,0,0.67,0.0,0.0,0.0,6,1,0.945,0.712,3377,584
murgatroid99,yang-g,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.968,0.908,2107,1236
nathanielmanistaatgoogle,nicolasnoble,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.875,0.935,2027,2472
ctiller,murgatroid99,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.945,0.968,3377,2107
ctiller,dklempner,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.945,0.959,3377,115
ctiller,yang-g,2,0,0,2,0.5,0.0,0.0,0.5,4,1,0.945,0.908,3377,1236
dklempner,yang-g,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.959,0.908,115,1236
ctiller,nicolasnoble,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.945,0.935,3377,2472
jcanizales,nathanielmanistaatgoogle,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.907,0.875,796,2027
jtattermusch,nathanielmanistaatgoogle,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.94,0.875,4490,2027
jcanizales,jtattermusch,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.907,0.94,796,4490
ctiller,tbetbetbe,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.945,0.932,3377,211
