name1,name2,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,degree1,degree2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0oneo,googlebot,1.0,0.0,1.0,0.0,1.0,0.953,9,1379,2,0,2,0,1,3
0oneo,grpc-kokoro,1.0,0.0,1.0,0.0,1.0,1.0,9,3106,10,0,10,0,1,11
0oneo,grpc-testing,1.0,0.0,1.0,0.0,1.0,1.0,9,3628,5,0,5,0,1,6
0oneo,jtattermusch,0.0,0.0,0.0,0.0,1.0,0.937,9,4490,0,0,0,0,1,3
0oneo,mehrdada,0.835,0.0,0.0,0.0,1.0,0.92,9,985,3,0,0,0,2,6
0oneo,muxi,0.67,0.0,0.0,0.0,1.0,0.929,9,781,4,0,0,0,1,5
0oneo,srini100,1.0,0.0,0.0,0.0,1.0,0.914,9,446,4,0,0,0,2,6
0x1997,ctiller,1.0,0.0,0.0,0.0,1.0,0.9309999999999999,6,3377,1,0,0,0,1,2
0x1997,sreecha,1.0,0.0,0.0,0.0,1.0,0.9390000000000001,6,775,2,0,0,0,1,3
0x1997,stanley-cheung,0.5,0.0,0.0,0.0,1.0,0.938,6,684,1,0,0,0,1,3
0x1997,thinkerou,0.5,0.0,0.0,0.0,1.0,0.975,6,206,1,0,0,0,1,3
0x1997,tjb1216,0.67,0.0,0.0,0.0,1.0,1.0,6,26,2,0,0,0,1,4
0x1997,vjpai,1.0,0.0,0.0,0.0,1.0,0.914,6,1870,1,0,0,0,1,2
0xC0D3D00D,chrisgillis,1.0,0.0,0.0,0.0,0.5,1.0,6,5,1,0,0,0,1,2
0xC0D3D00D,idevz,0.67,0.0,0.0,0.0,0.5,1.0,6,5,2,0,0,0,1,4
0xC0D3D00D,michaelcurry,0.5,0.0,0.0,0.0,0.5,1.0,6,5,1,0,0,0,1,3
0xC0D3D00D,stanley-cheung,0.0,0.0,0.0,0.0,0.5,0.938,6,684,0,0,0,0,1,2
0xC0D3D00D,thinkerou,0.67,0.0,0.0,0.0,0.5,0.975,6,206,2,0,0,0,1,4
0xC0D3D00D,vjpai,1.0,0.0,0.0,0.0,0.5,0.914,6,1870,1,0,0,0,1,2
0xcaff,mwitkow,0.0,0.0,0.0,0.0,1.0,1.0,2,11,0,0,0,0,1,2
0xcaff,yang-g,0.5,0.0,0.0,0.0,1.0,0.945,2,1236,1,0,0,0,1,3
0xf10413,bc-lee,0.0,0.0,0.0,0.0,0.0,1.0,4,7,0,0,0,0,1,3
0xf10413,emmenlau,0.0,0.0,0.0,0.0,0.0,0.763,4,41,0,0,0,0,1,4
0xf10413,htuch,0.5,0.5,0.0,0.5,0.0,0.9329999999999999,4,16,2,2,0,2,1,4
0xf10413,ncteisen,0.0,0.0,0.0,0.0,0.0,0.948,4,916,0,0,0,0,1,4
1N50MN14,murgatroid99,0.5,0.025,0.0,0.0,0.9,0.9279999999999999,3,2107,18,1,0,0,2,17
1N50MN14,tuber,0.8,0.0,0.0,0.0,0.9,1.0,3,2,4,0,0,0,1,6
24,atomextranova,0.4,0.1,0.0,0.1,0.8,0.667,3,5,4,1,0,1,1,7
24,dgquintas,0.5,0.05,0.05,0.0,0.8,0.9309999999999999,3,1753,10,1,1,0,1,9
24,lumpidu,0.6,0.0,0.0,0.0,0.8,1.0,3,21,3,0,0,0,1,6
24601,bond-,0.0,0.06,0.0,0.0,0.75,0.889,12,11,0,1,0,0,2,12
24601,hsaliak,0.0,1.0,0.0,0.0,0.75,0.938,12,553,0,1,0,0,1,2
24601,jcanizales,0.0,1.0,0.0,0.0,0.75,0.8959999999999999,12,796,0,1,0,0,1,2
24601,makdharma,0.0,0.0,0.0,0.0,0.75,0.955,12,414,0,0,0,0,1,2
24601,murgatroid99,0.0,1.0,0.0,0.0,0.75,0.9279999999999999,12,2107,0,1,0,0,1,2
24601,muxi,0.36,0.36,0.36,0.0,0.75,0.929,12,781,3,3,3,0,2,13
24601,nicolasnoble,0.225,0.125,0.1,0.125,0.75,0.883,12,2472,2,1,1,1,2,10
24601,wilhuff,0.0,0.0,0.0,0.0,0.75,0.7140000000000001,12,24,0,0,0,0,1,4
24601,xinqianli,1.0,0.0,1.0,0.0,0.75,1.0,12,13,1,0,1,0,1,2
253056965,echoma,0.5,0.0,0.0,0.0,1.0,0.5,3,3,2,0,0,0,1,4
253056965,hrdwdmrbl,1.0,0.0,0.0,0.0,1.0,0.857,3,5,2,0,0,0,1,3
253056965,murgatroid99,1.0,0.0,0.0,0.0,1.0,0.9279999999999999,3,2107,8,0,0,0,1,6
4Z4T4R,Fleker,0.0,0.0,0.0,0.0,1.0,1.0,5,5,0,0,0,0,1,2
4Z4T4R,RevoKey,0.0,0.0,0.0,0.0,1.0,1.0,5,5,0,0,0,0,1,2
4Z4T4R,magick93,0.0,0.0,0.0,0.0,1.0,0.85,5,24,0,0,0,0,1,5
4Z4T4R,markmandel,0.0,0.33,0.0,0.0,1.0,0.833,5,9,0,1,0,0,1,4
4Z4T4R,mehrdada,0.0,0.0,0.0,0.0,1.0,0.92,5,985,0,0,0,0,1,4
4ntoine,jayantkolhe,1.0,0.0,0.0,0.0,1.0,0.948,3,177,1,0,0,0,1,2
4ntoine,nicolasnoble,1.0,0.0,0.0,0.0,1.0,0.883,3,2472,1,0,0,0,1,2
4ntoine,tbetbetbe,1.0,0.0,0.0,0.0,1.0,0.953,3,211,1,0,0,0,1,2
7AC,jfrabaute,0.0,0.0,0.0,0.0,1.0,0.0,4,4,0,0,0,0,1,4
7AC,nathanielmanistaatgoogle,0.5,0.0,0.0,0.0,1.0,0.925,4,2027,3,0,0,0,1,5
7AC,remingtonc,0.5,0.0,0.0,0.0,1.0,0.5,4,4,3,0,0,0,1,5
7AC,soltanmm,1.0,0.0,0.0,0.0,1.0,0.899,4,940,3,0,0,0,1,4
7anner,aardappel,0.75,0.0,0.0,0.0,1.0,1.0,6,24,3,0,0,0,1,5
7anner,googlebot,0.25,0.0,0.25,0.0,1.0,0.953,6,1379,2,0,2,0,1,6
7anner,grpc-kokoro,0.25,0.0,0.25,0.0,1.0,1.0,6,3106,7,0,7,0,1,11
7anner,grpc-testing,0.25,0.0,0.25,0.0,1.0,1.0,6,3628,8,0,8,0,1,12
7anner,gwvo,0.75,0.0,0.0,0.0,1.0,0.9620000000000001,6,30,3,0,0,0,1,5
7anner,jtattermusch,0.21,0.18,0.0,0.0,1.0,0.937,6,4490,6,5,0,0,1,11
893949088,Disturbing,0.75,0.0,0.0,0.0,1.0,0.81,9,52,6,0,0,0,1,6
893949088,Falco20019,0.5,0.0,0.0,0.0,1.0,0.787,9,72,2,0,0,0,1,4
893949088,JordyLangen,1.0,0.0,0.0,0.0,1.0,1.0,9,9,2,0,0,0,1,3
893949088,jtattermusch,1.0,0.0,0.0,0.0,1.0,0.937,9,4490,4,0,0,0,1,4
893949088,kkolstad,1.0,0.0,0.0,0.0,1.0,1.0,9,9,2,0,0,0,1,3
893949088,listepo-alterpost,0.5,0.0,0.0,0.0,1.0,1.0,9,40,2,0,0,0,1,4
893949088,mehrdada,0.73,0.0,0.0,0.0,1.0,0.92,9,985,16,0,0,0,1,13
893949088,vassilvk,1.0,0.0,0.0,0.0,1.0,1.0,9,12,2,0,0,0,1,3
893949088,zsojma,0.0,0.0,0.0,0.0,1.0,1.0,9,10,0,0,0,0,1,3
A-Mendi,joielechong,1.0,0.0,0.0,0.0,1.0,1.0,5,4,1,0,0,0,1,2
A-Mendi,magick93,0.5,0.0,0.0,0.0,1.0,0.85,5,24,1,0,0,0,1,3
A-Mendi,nicolasnoble,1.0,0.0,0.0,0.0,1.0,0.883,5,2472,2,0,0,0,1,3
A-Mendi,rags1357,1.0,0.0,0.0,0.0,1.0,1.0,5,4,1,0,0,0,1,2
A-Mendi,yashykt,0.0,0.0,0.0,0.0,1.0,0.948,5,601,0,0,0,0,1,2
AAverin,StefanStokic,0.5,0.0,0.0,0.0,1.0,1.0,12,14,5,0,0,0,1,7
AAverin,arifsami03,1.0,0.0,0.0,0.0,1.0,1.0,12,29,5,0,0,0,1,6
AAverin,eduardolopesUFJF,0.0,0.0,0.0,0.0,1.0,0.0,12,12,0,0,0,0,1,6
AAverin,egeste,1.0,0.0,0.0,0.0,1.0,1.0,12,12,5,0,0,0,1,6
AAverin,ils-sapnaj,0.0,0.0,0.0,0.0,1.0,0.0,12,12,0,0,0,0,1,6
AAverin,joshuasiler,1.0,0.0,0.0,0.0,1.0,1.0,12,12,5,0,0,0,1,6
AAverin,kulinsj,0.5,0.0,0.0,0.0,1.0,0.5,12,12,10,0,0,0,1,9
AAverin,lazharichir,1.0,0.0,0.0,0.0,1.0,1.0,12,12,5,0,0,0,1,6
AAverin,lnryan,0.0,0.0,0.0,0.0,1.0,1.0,12,12,0,0,0,0,1,6
AAverin,murgatroid99,0.67,0.0,0.0,0.0,1.0,0.9279999999999999,12,2107,10,0,0,0,1,8
AAverin,seamys,1.0,0.0,0.0,0.0,1.0,1.0,12,12,5,0,0,0,1,6
AAverin,waldandrade,0.8,0.0,0.0,0.0,1.0,1.0,12,12,20,0,0,0,1,10
ADR-007-SoftServe,gnossen,0.33,0.0,0.0,0.0,1.0,0.9259999999999999,2,126,4,0,0,0,1,7
ADR-007-SoftServe,jjinux,0.47,0.0,0.27,0.0,1.0,1.0,2,2,7,0,4,0,1,8
AVVS,bimawa,0.78,0.0,0.0,0.0,1.0,0.857,14,11,21,0,0,0,1,12
AVVS,ctiller,0.0,0.0,0.0,0.0,1.0,0.9309999999999999,14,3377,0,0,0,0,1,2
AVVS,davidben,0.5,0.0,0.0,0.0,1.0,0.643,14,24,3,0,0,0,1,5
AVVS,enricmacias,0.0,0.0,0.0,0.0,1.0,1.0,14,9,0,0,0,0,1,4
AVVS,jlaws,1.0,0.0,0.0,0.0,1.0,1.0,14,9,3,0,0,0,1,4
AVVS,keslerm,1.0,0.0,0.0,0.0,1.0,1.0,14,5,1,0,0,0,1,2
AVVS,muxi,0.38,0.0,0.0,0.0,1.0,0.929,14,781,9,0,0,0,1,11
AVVS,peterhuene,0.5,0.0,0.0,0.0,1.0,0.8,14,17,1,0,0,0,1,3
AVVS,samsidd,1.0,0.0,0.0,0.0,1.0,1.0,14,13,3,0,0,0,1,4
AVVS,soltanmm-google,1.0,0.0,0.0,0.0,1.0,0.925,14,271,1,0,0,0,1,2
AVVS,srini100,1.0,0.0,0.0,0.0,1.0,0.914,14,446,3,0,0,0,1,4
AVVS,variantf,1.0,0.0,0.0,0.0,1.0,1.0,14,11,3,0,0,0,1,4
AdamLeMmon01,jtattermusch,1.0,0.0,0.0,0.0,1.0,0.937,2,4490,6,0,0,0,1,5
AdamLeMmon01,thelinuxfoundation,0.0,0.0,0.0,0.0,1.0,1.0,2,1233,0,0,0,0,1,4
Adiqq,KindDragon,0.5,0.0,0.0,0.0,1.0,0.8240000000000001,8,22,1,0,0,0,1,3
Adiqq,Mr-Grieves,1.0,0.0,0.0,0.0,1.0,1.0,8,13,1,0,0,0,1,2
Adiqq,amerry,0.5,0.0,0.0,0.0,1.0,0.75,8,24,1,0,0,0,1,3
Adiqq,danielin917,1.0,0.0,0.0,0.0,1.0,1.0,8,10,1,0,0,0,1,2
Adiqq,flowbehappy,1.0,0.0,0.0,0.0,1.0,1.0,8,10,2,0,0,0,1,3
Adiqq,jtattermusch,0.67,0.0,0.0,0.0,1.0,0.937,8,4490,2,0,0,0,1,4
Adiqq,thefastman,1.0,0.0,0.0,0.0,1.0,1.0,8,8,1,0,0,0,1,2
Adiqq,wneo003,1.0,0.0,0.0,0.0,1.0,1.0,8,13,1,0,0,0,1,2
AhmadChaker,jtattermusch,0.5,0.0,0.0,0.0,1.0,0.937,2,4490,6,0,0,0,2,8
AjitParanjpeDev,Pablotagu,1.0,0.0,0.0,0.0,1.0,1.0,2,2,1,0,0,0,1,2
AjitParanjpeDev,jtattermusch,0.0,0.0,0.0,0.0,1.0,0.937,2,4490,0,0,0,0,1,2
AlecZadikian9001,arun0009,0.5,0.0,0.0,0.0,1.0,1.0,4,4,1,0,0,0,1,3
AlecZadikian9001,arvenil,1.0,0.0,0.0,0.0,1.0,1.0,4,4,1,0,0,0,1,2
