name,density,length
AspirinSJL_dgquintas,0.32653061224489793,16.0
AspirinSJL_grpc-kokoro,1.0,7.0
AspirinSJL_grpc-testing,0.71875,46.0
AspirinSJL_hcaseyal,0.14705882352941177,5.0
AspirinSJL_jtattermusch,0.32098765432098764,26.0
AspirinSJL_markdroth,0.45977011494252873,40.0
AspirinSJL_ncteisen,0.10638297872340426,5.0
AspirinSJL_nicolasnoble,0.14285714285714285,6.0
AspirinSJL_thelinuxfoundation,0.08450704225352113,6.0
AspirinSJL_vjpai,0.0821917808219178,6.0
AspirinSJL_yang-g,0.14,7.0
AspirinSJL_yashykt,0.18604651162790697,8.0
AspirinSJL_yihuazhang,0.09803921568627451,5.0
Falco20019_jtattermusch,0.03546099290780142,5.0
JamesNK_jtattermusch,0.6666666666666666,8.0
a-veitch_bogdandrutu,0.24,6.0
a-veitch_ctiller,0.25,11.0
a-veitch_grpc-kokoro,0.5,5.0
a-veitch_jcanizales,0.14285714285714285,5.0
a-veitch_maxwell-demon,0.13333333333333333,6.0
a11r_ctiller,0.08181818181818182,9.0
a11r_nathanielmanistaatgoogle,0.06097560975609756,5.0
a11r_yang-g,0.09523809523809523,6.0
adelez_AspirinSJL,0.11320754716981132,6.0
adelez_apolcyn,0.15517241379310345,9.0
adelez_ctiller,0.07407407407407407,8.0
adelez_dgquintas,0.041666666666666664,5.0
adelez_grpc-kokoro,0.13636363636363635,12.0
adelez_grpc-testing,0.6122448979591837,30.0
adelez_jtattermusch,0.24719101123595505,44.0
adelez_matt-kwong,0.125,6.0
adelez_mehrdada,0.18181818181818182,6.0
adelez_nathanielmanistaatgoogle,0.047619047619047616,5.0
adelez_ncteisen,0.1038961038961039,8.0
adelez_vjpai,0.04310344827586207,5.0
adelez_yang-g,0.07563025210084033,9.0
adelez_yashykt,0.1206896551724138,7.0
alamaison_nathanielmanistaatgoogle,0.16129032258064516,5.0
amitwaisel_jtattermusch,0.0625,5.0
andrewpollock_googlebot,0.3888888888888889,7.0
andrewpollock_nicolasnoble,0.13157894736842105,5.0
apolcyn_AspirinSJL,0.1038961038961039,8.0
apolcyn_Op3n4M3,0.8333333333333334,5.0
apolcyn_blowmage,0.13095238095238096,11.0
apolcyn_ctiller,0.375,12.0
apolcyn_dgquintas,0.18584070796460178,21.0
apolcyn_ganmacs,0.25,7.0
apolcyn_googlebot,0.13636363636363635,9.0
apolcyn_grpc-kokoro,0.390625,25.0
apolcyn_grpc-testing,0.6551724137931034,57.0
apolcyn_jacobvosmaer,0.20833333333333334,5.0
apolcyn_jcanizales,0.45454545454545453,5.0
apolcyn_jskeet,0.16393442622950818,10.0
apolcyn_jtattermusch,0.4452054794520548,65.0
apolcyn_kpayson64,0.08928571428571429,5.0
apolcyn_markdroth,0.2,27.0
apolcyn_matt-kwong,0.15492957746478872,11.0
apolcyn_mehrdada,0.27450980392156865,14.0
apolcyn_murgatroid99,0.1678832116788321,23.0
apolcyn_muxi,0.072,9.0
apolcyn_nathanielmanistaatgoogle,0.21212121212121213,7.0
apolcyn_nicolasnoble,0.14084507042253522,20.0
apolcyn_rafaelsales,0.16129032258064516,5.0
apolcyn_thelinuxfoundation,0.18421052631578946,14.0
apolcyn_vjpai,0.07317073170731707,9.0
apolcyn_y-zeng,0.11538461538461539,9.0
ara-ayvazyan_ncteisen,0.5,5.0
billfeng327_jtattermusch,0.22580645161290322,7.0
blowmage_murgatroid99,0.14492753623188406,10.0
bogdandrutu_ctiller,0.07462686567164178,5.0
bogdandrutu_grpc-kokoro,0.07246376811594203,5.0
carl-mastrangelo_ctiller,0.10714285714285714,6.0
carl-mastrangelo_ejona86,0.04,7.0
carl-mastrangelo_grpc-testing,0.20833333333333334,5.0
carl-mastrangelo_jtattermusch,0.08280254777070063,13.0
cauthu_nathanielmanistaatgoogle,0.625,5.0
ctiller_daniel-j-born,0.0967741935483871,6.0
ctiller_dgquintas,0.5869565217391305,81.0
ctiller_dklempner,0.24285714285714285,17.0
ctiller_ejona86,0.1079136690647482,15.0
ctiller_googlebot,0.375886524822695,53.0
ctiller_grpc-kokoro,0.5862068965517241,68.0
ctiller_grpc-testing,0.4473684210526316,17.0
ctiller_hsaliak,0.09433962264150944,10.0
ctiller_iamqizhao,0.17857142857142858,5.0
ctiller_jayantkolhe,0.1267605633802817,9.0
ctiller_jboeuf,0.35714285714285715,50.0
ctiller_jcanizales,0.31958762886597936,31.0
ctiller_jtattermusch,0.5324675324675324,82.0
ctiller_kpayson64,0.17045454545454544,15.0
ctiller_larsonmpdx,0.175,7.0
ctiller_lyuxuan,0.2,7.0
ctiller_makdharma,0.2698412698412698,17.0
ctiller_markdroth,0.45054945054945056,41.0
ctiller_matt-kwong,0.3469387755102041,17.0
ctiller_mehrdada,0.2222222222222222,8.0
ctiller_murgatroid99,0.35185185185185186,57.0
ctiller_muxi,0.17142857142857143,12.0
ctiller_nathanielmanistaatgoogle,0.37012987012987014,57.0
ctiller_ncteisen,0.42857142857142855,21.0
ctiller_nicolasnoble,0.5316455696202531,84.0
ctiller_rjshade,0.12195121951219512,10.0
ctiller_soltanmm,0.5,36.0
ctiller_sreecha,0.3389830508474576,40.0
ctiller_stanley-cheung,0.1388888888888889,5.0
ctiller_tbetbetbe,0.25,10.0
ctiller_vjpai,0.6462585034013606,95.0
ctiller_xyzzyz,0.7142857142857143,5.0
ctiller_y-zeng,0.2916666666666667,21.0
ctiller_yang-g,0.4485294117647059,61.0
ctiller_yashykt,0.35,7.0
danzh2010_grpc-testing,0.25,5.0
dcow_muxi,0.75,12.0
dfawley_ejona86,0.08433734939759036,7.0
dfawley_markdroth,0.08536585365853659,7.0
dgquintas_ejona86,0.07453416149068323,12.0
dgquintas_ericgribkoff,0.1388888888888889,5.0
dgquintas_googlebot,0.10714285714285714,12.0
dgquintas_grpc-kokoro,0.3898305084745763,46.0
dgquintas_grpc-testing,0.5256410256410257,41.0
dgquintas_hsaliak,0.13953488372093023,6.0
dgquintas_jboeuf,0.1724137931034483,20.0
dgquintas_jcanizales,0.18518518518518517,10.0
dgquintas_jtattermusch,0.3567251461988304,61.0
dgquintas_kpayson64,0.12903225806451613,12.0
dgquintas_makdharma,0.15384615384615385,8.0
dgquintas_markdroth,0.47368421052631576,54.0
dgquintas_matt-kwong,0.22058823529411764,15.0
dgquintas_mehrdada,0.17142857142857143,6.0
dgquintas_murgatroid99,0.1836734693877551,27.0
dgquintas_muxi,0.16304347826086957,15.0
dgquintas_nathanielmanistaatgoogle,0.15789473684210525,24.0
dgquintas_ncteisen,0.1951219512195122,16.0
dgquintas_nicolasnoble,0.1951219512195122,32.0
dgquintas_soltanmm,0.08333333333333333,5.0
dgquintas_sreecha,0.1724137931034483,25.0
dgquintas_stanley-cheung,0.045871559633027525,5.0
dgquintas_vjpai,0.25316455696202533,40.0
dgquintas_y-zeng,0.2830188679245283,15.0
dgquintas_yang-g,0.1657142857142857,29.0
dgquintas_yashykt,0.15254237288135594,9.0
dhermes_nathanielmanistaatgoogle,0.10884353741496598,16.0
dhermes_theacodes,0.05434782608695652,5.0
dklempner_jtattermusch,0.14285714285714285,5.0
dklempner_vjpai,0.07352941176470588,5.0
dklempner_yang-g,0.08571428571428572,6.0
dzbarsky_mehrdada,0.12195121951219512,5.0
dzbarsky_nathanielmanistaatgoogle,0.22580645161290322,7.0
ejona86_grpc-testing,0.11538461538461539,9.0
ejona86_jtattermusch,0.08670520231213873,15.0
ejona86_markdroth,0.09322033898305085,11.0
ejona86_nathanielmanistaatgoogle,0.0759493670886076,12.0
ejona86_ncteisen,0.0594059405940594,6.0
ejona86_nicolasnoble,0.041884816753926704,8.0
ejona86_vjpai,0.03680981595092025,6.0
ejona86_yang-g,0.08421052631578947,8.0
emmenlau_grpc-kokoro,0.22727272727272727,5.0
emmenlau_jtattermusch,0.08695652173913043,6.0
ericgribkoff_grpc-kokoro,0.4166666666666667,5.0
ericgribkoff_grpc-testing,0.2553191489361702,12.0
ericgribkoff_jtattermusch,0.07368421052631578,7.0
ericgribkoff_mehrdada,0.17647058823529413,6.0
ericgribkoff_ncteisen,0.0963855421686747,8.0
ganmacs_grpc-testing,0.17857142857142858,5.0
ghostwriternr_grpc-testing,0.1935483870967742,6.0
ghostwriternr_nathanielmanistaatgoogle,0.1724137931034483,5.0
