cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
6,4,2019-01-14,0,1,0,0,1.0,1.0
5,3,2019-01-21,0,1,0,0,0.75,1.0
12,9,2019-01-28,0,2,0,0,1.0,0.75
17,35,2019-02-04,0,2,0,0,1.0,1.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
0,0,2019-02-18,0,0,0,0,0.0,0.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
2,1,2019-03-04,0,1,0,0,1.0,1.0
0,0,2019-03-11,0,0,0,0,0.0,0.0
0,0,2019-03-18,0,0,0,0,0.0,0.0
9,6,2019-03-25,0,2,0,0,1.0,1.0
11,11,2019-04-01,0,2,1,0,0.835,0.835
3,2,2019-04-08,0,1,0,0,1.0,1.0
