cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2015-06-29,0,1,0,0,1.0,1.0
2,0,2015-07-06,0,1,0,0,0.0,1.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
4,3,2015-07-20,0,1,0,0,1.0,1.0
0,0,2015-07-27,0,0,0,0,0.0,0.0
6,4,2015-08-03,0,2,0,0,1.0,1.0
3,2,2015-08-10,0,1,0,0,1.0,1.0
4,2,2015-08-17,0,2,0,0,1.0,1.0
0,0,2015-08-24,0,0,0,0,0.0,0.0
6,3,2015-08-31,0,3,0,0,1.0,1.0
0,0,2015-09-07,0,0,0,0,0.0,0.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
2,1,2015-10-05,0,1,0,0,1.0,1.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
0,0,2015-10-19,0,0,0,0,0.0,0.0
0,0,2015-10-26,0,0,0,0,0.0,0.0
0,0,2015-11-02,0,0,0,0,0.0,0.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
0,0,2015-11-23,0,0,0,0,0.0,0.0
3,2,2015-11-30,0,1,0,0,1.0,1.0
15,9,2015-12-07,0,5,0,0,1.0,1.0
18,14,2015-12-14,0,5,0,0,1.0,1.0
10,8,2015-12-21,0,2,0,0,1.0,1.0
21,18,2015-12-28,0,5,0,0,1.0,1.0
27,18,2016-01-04,0,7,0,0,0.9528571428571428,1.0
16,14,2016-01-11,0,3,0,0,1.0,1.0
36,26,2016-01-18,0,9,0,0,1.0,1.0
18,16,2016-01-25,0,5,0,0,1.0,1.0
10,4,2016-02-01,0,3,0,0,0.5,1.0
15,10,2016-02-08,0,4,0,0,1.0,1.0
19,12,2016-02-15,0,5,0,0,0.8,1.0
16,16,2016-02-22,0,3,0,0,1.0,1.0
15,12,2016-02-29,0,3,0,0,1.0,1.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
12,4,2016-03-28,4,2,0,4,0.835,1.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
11,0,2016-04-11,0,2,0,0,1.0,1.0
0,0,2016-04-18,0,0,0,0,0.0,0.0
5,4,2016-04-25,0,1,0,4,1.0,1.0
7,0,2016-05-02,0,2,0,0,1.0,1.0
10,0,2016-05-09,0,2,0,0,1.0,1.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
5,0,2016-05-23,0,1,0,0,1.0,1.0
8,0,2016-05-30,0,2,0,0,1.0,1.0
11,6,2016-06-06,0,4,0,6,1.0,1.0
6,4,2016-06-13,0,1,0,4,1.0,1.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
5,0,2016-06-27,0,1,0,0,1.0,1.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
5,4,2016-08-08,0,1,0,4,1.0,1.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
11,4,2016-09-19,0,2,0,4,1.0,1.0
24,8,2016-09-26,0,3,0,8,1.0,1.0
9,0,2016-10-03,0,1,0,0,1.0,1.0
9,0,2016-10-10,0,1,0,0,1.0,1.0
9,0,2016-10-17,0,1,0,0,1.0,1.0
12,0,2016-10-24,0,2,0,0,1.0,1.0
13,0,2016-10-31,0,1,0,0,1.0,1.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
13,0,2016-11-14,0,1,0,0,1.0,1.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
2,0,2016-11-28,0,1,0,0,1.0,1.0
28,12,2016-12-05,0,2,0,12,1.0,1.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
15,0,2017-01-09,0,1,0,0,1.0,1.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
16,0,2017-02-13,0,1,0,0,1.0,1.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
84,48,2017-03-20,14,11,0,0,0.879090909090909,1.0
90,63,2017-03-27,0,15,0,0,0.9113333333333332,1.0
99,136,2017-04-03,0,18,0,0,0.9444444444444444,1.0
48,63,2017-04-10,0,11,0,0,0.9772727272727272,1.0
45,13,2017-04-17,0,8,0,1,1.0,1.0
15,0,2017-04-24,14,1,0,0,0.0,1.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
10,5,2017-05-08,0,4,0,0,0.75,1.0
10,5,2017-05-15,0,4,0,0,1.0,1.0
5,4,2017-05-22,0,1,0,0,1.0,1.0
12,8,2017-05-29,0,4,0,0,1.0,1.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
14,5,2017-06-12,0,3,0,0,1.0,1.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
19,19,2017-06-26,0,5,0,0,1.0,1.0
44,54,2017-07-03,0,9,0,0,1.0,1.0
42,45,2017-07-10,0,5,0,0,1.0,1.0
5,4,2017-07-17,0,1,0,0,1.0,1.0
9,10,2017-07-24,0,2,0,0,1.0,1.0
7,6,2017-07-31,0,2,0,0,1.0,1.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
21,20,2017-08-14,0,1,0,0,1.0,1.0
35,37,2017-08-21,0,6,0,0,1.0,1.0
43,32,2017-08-28,0,9,0,0,0.8888888888888888,1.0
90,138,2017-09-04,0,16,0,0,0.916875,1.0
57,77,2017-09-11,0,9,0,0,0.8333333333333334,1.0
7,4,2017-09-18,0,2,0,0,1.0,1.0
