cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,10,2017-09-04,0,1,0,0,1.0,1.0
10,4,2017-09-11,1,3,0,0,0.6666666666666666,1.0
0,0,2017-09-18,0,0,0,0,0.0,0.0
0,0,2017-09-25,0,0,0,0,0.0,0.0
10,6,2017-10-02,0,3,0,0,1.0,1.0
0,0,2017-10-09,0,0,0,0,0.0,0.0
4,2,2017-10-16,0,2,0,1,1.0,1.0
7,5,2017-10-23,0,1,0,0,1.0,0.83
0,0,2017-10-30,0,0,0,0,0.0,0.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
5,4,2017-11-13,0,1,0,0,1.0,1.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
0,0,2017-12-04,0,0,0,0,0.0,0.0
0,0,2017-12-11,0,0,0,0,0.0,0.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
2,1,2018-01-22,0,1,0,0,1.0,1.0
