cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,1,2018-01-08,0,1,1,0,0.5,0.0
2,0,2018-01-15,0,1,0,0,0.0,1.0
2,0,2018-01-22,0,1,0,0,0.0,1.0
3,0,2018-01-29,2,1,0,0,0.0,1.0
3,1,2018-02-05,0,1,0,0,1.0,1.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
3,0,2018-02-19,1,1,0,0,1.0,0.0
7,2,2018-02-26,0,2,0,0,1.0,1.0
7,8,2018-03-05,0,1,0,0,0.8,1.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
13,6,2018-04-02,4,2,0,0,0.6,1.0
3,1,2018-04-09,0,1,0,0,1.0,1.0
6,9,2018-04-16,0,1,0,0,1.0,1.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
3,0,2018-04-30,0,1,0,0,0.0,1.0
