cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
10,0,2017-04-03,0,1,0,0,1.0,0.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
0,0,2017-05-08,0,0,0,0,0.0,0.0
6,0,2017-05-15,0,1,0,0,1.0,1.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
10,6,2017-05-29,0,1,0,6,1.0,1.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
5,0,2017-07-17,0,1,0,0,1.0,1.0
11,2,2017-07-24,0,2,0,0,1.0,1.0
31,21,2017-07-31,0,4,0,0,1.0,1.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
13,20,2017-08-21,0,1,0,0,1.0,1.0
5,0,2017-08-28,0,1,0,0,1.0,1.0
11,16,2017-09-04,0,1,0,0,1.0,1.0
