cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
5,0,2015-12-14,0,1,0,0,1.0,1.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
0,0,2015-12-28,0,0,0,0,0.0,0.0
0,0,2016-01-04,0,0,0,0,0.0,0.0
4,4,2016-01-11,0,1,0,0,1.0,1.0
20,13,2016-01-18,0,6,0,0,1.0,1.0
35,40,2016-01-25,0,6,0,0,1.0,0.9766666666666666
34,26,2016-02-01,0,9,0,0,1.0,0.977777777777778
3,0,2016-02-08,0,1,0,0,1.0,0.0
16,14,2016-02-15,0,4,0,0,1.0,1.0
0,0,2016-02-22,0,0,0,0,0.0,0.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
2,1,2016-03-14,0,1,0,0,1.0,1.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
6,8,2016-03-28,0,1,0,0,1.0,1.0
5,0,2016-04-04,0,1,0,0,1.0,1.0
7,12,2016-04-11,0,1,0,12,1.0,1.0
0,0,2016-04-18,0,0,0,0,0.0,0.0
0,0,2016-04-25,0,0,0,0,0.0,0.0
3,0,2016-05-02,0,1,0,0,1.0,1.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
16,1,2016-05-16,0,4,0,1,1.0,1.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
0,0,2016-05-30,0,0,0,0,0.0,0.0
0,0,2016-06-06,0,0,0,0,0.0,0.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
5,0,2016-06-27,0,1,0,0,1.0,1.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
8,0,2016-09-26,0,1,0,0,1.0,1.0
2,0,2016-10-03,0,1,0,0,1.0,1.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
9,0,2016-10-17,0,1,0,0,1.0,1.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
82,14,2017-01-02,0,5,0,14,1.0,1.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
2,0,2017-01-23,0,1,0,0,1.0,1.0
39,14,2017-01-30,0,2,0,14,1.0,1.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
15,0,2017-03-06,0,1,0,0,1.0,0.0
36,0,2017-03-13,0,3,0,0,1.0,1.0
0,0,2017-03-20,0,0,0,0,0.0,0.0
22,39,2017-03-27,0,4,0,0,1.0,1.0
14,9,2017-04-03,0,4,0,0,1.0,1.0
11,5,2017-04-10,0,5,0,0,1.0,1.0
14,6,2017-04-17,0,4,0,1,1.0,1.0
7,0,2017-04-24,0,3,0,0,1.0,1.0
15,0,2017-05-01,0,1,0,0,1.0,1.0
72,6,2017-05-08,0,26,0,1,1.0,0.9615384615384616
9,1,2017-05-15,0,2,0,0,1.0,1.0
5,4,2017-05-22,0,1,0,0,1.0,1.0
23,19,2017-05-29,0,6,0,0,1.0,1.0
7,5,2017-06-05,0,2,0,0,1.0,1.0
15,14,2017-06-12,0,4,0,0,1.0,1.0
31,37,2017-06-19,0,4,0,6,1.0,1.0
11,10,2017-06-26,0,3,0,0,1.0,1.0
35,24,2017-07-03,0,7,0,0,1.0,1.0
23,33,2017-07-10,0,3,0,0,1.0,1.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
6,4,2017-07-24,0,2,0,0,1.0,1.0
15,18,2017-07-31,0,3,0,0,1.0,1.0
3,2,2017-08-07,0,1,0,0,1.0,1.0
14,12,2017-08-14,0,3,0,0,1.0,1.0
36,64,2017-08-21,0,4,0,0,1.0,1.0
37,30,2017-08-28,0,5,0,0,1.0,0.6
26,10,2017-09-04,1,5,0,0,1.0,0.8
26,19,2017-09-11,0,5,0,0,1.0,1.0
3,0,2017-09-18,0,1,0,0,1.0,0.0
