cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
15,0,2017-02-06,0,1,0,0,1.0,1.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
16,28,2017-03-06,0,1,0,0,1.0,1.0
5,3,2017-03-13,0,1,0,0,1.0,1.0
3,2,2017-03-20,0,1,0,0,1.0,1.0
3,2,2017-03-27,0,1,0,0,1.0,1.0
15,9,2017-04-03,0,6,0,0,1.0,1.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
9,3,2017-05-08,0,4,0,0,1.0,0.5
5,2,2017-05-15,0,2,0,0,1.0,1.0
8,5,2017-05-22,0,2,0,0,1.0,1.0
14,8,2017-05-29,0,5,0,0,1.0,0.9
43,44,2017-06-05,0,7,0,0,1.0,1.0
5,3,2017-06-12,0,2,0,0,1.0,1.0
9,6,2017-06-19,0,2,0,0,1.0,1.0
8,8,2017-06-26,0,2,0,0,1.0,1.0
11,13,2017-07-03,0,2,0,0,1.0,1.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
0,0,2017-07-24,0,0,0,0,0.0,0.0
0,0,2017-07-31,0,0,0,0,0.0,0.0
7,3,2017-08-07,0,2,0,0,1.0,1.0
5,4,2017-08-14,0,1,0,0,1.0,1.0
3,2,2017-08-21,0,1,0,0,1.0,1.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
23,24,2017-09-04,0,6,0,0,1.0,1.0
22,19,2017-09-11,0,5,0,0,1.0,0.8
14,16,2017-09-18,0,3,0,0,1.0,1.0
