cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,2,2017-03-27,0,2,0,0,1.0,1.0
3,2,2017-04-03,0,1,0,0,1.0,1.0
5,4,2017-04-10,0,1,0,0,1.0,1.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
2,1,2017-05-08,0,1,0,0,1.0,1.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
6,8,2017-05-22,0,1,0,0,1.0,1.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
3,0,2017-06-12,0,1,0,0,1.0,1.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
3,2,2017-06-26,0,1,0,0,1.0,1.0
7,6,2017-07-03,0,2,0,0,1.0,1.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
18,6,2017-07-17,0,2,0,0,1.0,1.0
3,2,2017-07-24,0,1,0,0,1.0,1.0
16,12,2017-07-31,0,1,0,12,1.0,1.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
10,18,2017-08-21,0,1,0,0,1.0,0.75
3,0,2017-08-28,0,1,0,0,1.0,1.0
