cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,0,2015-10-26,0,1,0,0,1.0,1.0
0,0,2015-11-02,0,0,0,0,0.0,0.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
0,0,2015-11-23,0,0,0,0,0.0,0.0
3,2,2015-11-30,0,1,0,0,1.0,1.0
2,1,2015-12-07,0,1,0,0,1.0,1.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
0,0,2015-12-28,0,0,0,0,0.0,0.0
11,7,2016-01-04,0,4,0,0,1.0,1.0
0,0,2016-01-11,0,0,0,0,0.0,0.0
14,10,2016-01-18,0,4,0,0,1.0,1.0
4,4,2016-01-25,0,1,0,0,1.0,1.0
5,4,2016-02-01,0,1,0,0,1.0,1.0
3,2,2016-02-08,0,1,0,0,1.0,1.0
0,0,2016-02-15,0,0,0,0,0.0,0.0
0,0,2016-02-22,0,0,0,0,0.0,0.0
6,8,2016-02-29,0,1,0,0,1.0,1.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
8,4,2016-03-28,0,1,0,4,1.0,1.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
5,0,2016-04-11,0,1,0,0,1.0,1.0
13,8,2016-04-18,0,2,0,8,1.0,1.0
2,0,2016-04-25,0,1,0,0,1.0,1.0
0,0,2016-05-02,0,0,0,0,0.0,0.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
5,0,2016-05-30,0,1,0,0,1.0,1.0
2,0,2016-06-06,0,1,0,0,1.0,1.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
2,0,2016-06-27,0,1,0,0,1.0,1.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
5,0,2016-07-11,0,1,0,0,1.0,1.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
3,0,2016-08-08,0,1,0,0,1.0,1.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
5,4,2016-08-22,0,1,0,4,1.0,1.0
10,0,2016-08-29,0,2,0,0,1.0,1.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
6,0,2016-09-19,0,1,0,0,1.0,1.0
12,0,2016-09-26,0,1,0,0,1.0,1.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
9,0,2016-10-17,0,1,0,0,1.0,1.0
9,2,2016-10-24,0,2,0,2,1.0,1.0
13,0,2016-10-31,0,1,0,0,1.0,1.0
2,0,2016-11-07,0,1,0,0,1.0,1.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
14,0,2016-12-05,0,1,0,0,1.0,1.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
3,0,2016-12-26,0,1,0,0,1.0,1.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
3,0,2017-02-06,0,1,0,0,1.0,1.0
15,14,2017-02-13,0,1,0,14,1.0,1.0
2,0,2017-02-20,0,1,0,0,1.0,1.0
15,0,2017-02-27,0,1,0,0,1.0,1.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
15,0,2017-03-13,0,1,0,0,1.0,1.0
3,2,2017-03-20,0,1,0,0,1.0,1.0
26,12,2017-03-27,14,4,0,0,1.0,0.75
25,12,2017-04-03,0,3,0,0,1.0,1.0
13,8,2017-04-10,0,5,0,0,1.0,1.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
31,14,2017-05-01,14,2,0,14,1.0,0.5
2,1,2017-05-08,0,1,0,0,1.0,1.0
6,0,2017-05-15,0,1,0,0,1.0,1.0
21,8,2017-05-22,0,7,0,0,1.0,1.0
7,4,2017-05-29,0,3,0,0,1.0,1.0
5,6,2017-06-05,0,1,0,0,1.0,1.0
2,1,2017-06-12,0,1,0,0,1.0,1.0
13,9,2017-06-19,0,4,0,0,1.0,1.0
11,4,2017-06-26,0,2,0,0,1.0,1.0
23,38,2017-07-03,0,3,0,0,1.0,1.0
12,4,2017-07-10,0,2,0,0,1.0,0.5
13,2,2017-07-17,0,1,0,0,1.0,1.0
12,0,2017-07-24,0,1,0,0,1.0,1.0
3,2,2017-07-31,0,1,0,0,1.0,1.0
13,0,2017-08-07,0,1,0,0,1.0,1.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
0,0,2017-08-21,0,0,0,0,0.0,0.0
9,8,2017-08-28,0,1,0,0,1.0,1.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
12,0,2017-09-11,0,1,0,0,1.0,1.0
