cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,4,2017-03-27,0,1,0,0,1.0,1.0
10,8,2017-04-03,0,2,0,0,1.0,1.0
6,5,2017-04-10,0,2,0,0,1.0,1.0
6,4,2017-04-17,0,2,0,0,1.0,1.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
13,9,2017-05-08,0,5,0,0,1.0,1.0
5,3,2017-05-15,0,2,0,0,1.0,1.0
17,24,2017-05-22,0,4,0,0,1.0,1.0
51,45,2017-05-29,0,10,0,6,1.0,1.0
27,54,2017-06-05,0,3,0,0,1.0,1.0
56,62,2017-06-12,0,9,0,0,1.0,1.0
22,19,2017-06-19,0,4,0,0,1.0,1.0
36,54,2017-06-26,0,5,0,0,1.0,1.0
48,122,2017-07-03,0,6,0,0,1.0,1.0
11,14,2017-07-10,0,2,0,0,1.0,1.0
3,2,2017-07-17,0,1,0,0,1.0,1.0
30,15,2017-07-24,0,5,0,0,1.0,1.0
19,24,2017-07-31,0,4,0,0,1.0,1.0
8,4,2017-08-07,0,2,0,0,1.0,0.5
6,4,2017-08-14,0,2,0,0,1.0,1.0
10,8,2017-08-21,0,2,0,0,1.0,1.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
48,78,2017-09-04,0,8,0,0,1.0,1.0
52,89,2017-09-11,0,8,0,0,1.0,1.0
8,0,2017-09-18,0,2,0,0,1.0,0.0
