cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2015-12-07,0,1,0,0,1.0,1.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
3,2,2015-12-28,0,1,0,0,1.0,1.0
9,6,2016-01-04,0,3,0,0,1.0,1.0
7,4,2016-01-11,0,2,0,0,1.0,1.0
19,10,2016-01-18,0,6,0,0,1.0,0.6666666666666666
22,18,2016-01-25,0,6,0,0,1.0,0.8333333333333334
29,28,2016-02-01,0,6,0,0,1.0,0.945
3,2,2016-02-08,0,1,0,0,1.0,1.0
17,14,2016-02-15,0,4,0,0,1.0,1.0
0,0,2016-02-22,0,0,0,0,0.0,0.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
0,0,2016-04-11,0,0,0,0,0.0,0.0
0,0,2016-04-18,0,0,0,0,0.0,0.0
7,0,2016-04-25,0,1,0,0,1.0,1.0
0,0,2016-05-02,0,0,0,0,0.0,0.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
2,0,2016-05-16,1,1,0,0,1.0,0.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
0,0,2016-05-30,0,0,0,0,0.0,0.0
0,0,2016-06-06,0,0,0,0,0.0,0.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
7,4,2016-08-01,0,1,0,4,1.0,1.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
10,0,2016-08-22,0,2,0,0,1.0,1.0
6,4,2016-08-29,0,1,0,4,1.0,1.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
9,0,2016-10-10,0,1,0,0,1.0,1.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
13,0,2016-12-05,0,1,0,0,1.0,1.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
16,0,2017-02-13,0,1,0,0,1.0,1.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
25,8,2017-03-20,0,3,0,0,1.0,1.0
2,1,2017-03-27,0,1,0,0,1.0,1.0
25,22,2017-04-03,0,4,0,14,1.0,1.0
11,8,2017-04-10,0,3,0,0,1.0,1.0
9,3,2017-04-17,1,2,0,1,1.0,0.9
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
2,1,2017-05-08,0,1,0,0,1.0,1.0
6,5,2017-05-15,0,1,0,0,1.0,1.0
4,0,2017-05-22,0,1,0,0,1.0,0.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
56,155,2017-06-12,6,6,0,0,1.0,0.8333333333333334
6,4,2017-06-19,0,2,0,0,1.0,1.0
12,12,2017-06-26,0,3,0,0,1.0,1.0
28,36,2017-07-03,0,4,0,0,1.0,1.0
30,67,2017-07-10,0,3,0,0,1.0,1.0
58,37,2017-07-17,0,8,0,0,1.0,1.0
70,75,2017-07-24,0,8,0,11,1.0,1.0
8,8,2017-07-31,0,2,0,0,1.0,1.0
20,32,2017-08-07,0,2,0,0,1.0,1.0
13,15,2017-08-14,0,2,0,1,1.0,1.0
6,4,2017-08-21,0,2,0,0,1.0,1.0
40,36,2017-08-28,0,6,0,0,1.0,1.0
50,56,2017-09-04,0,9,0,0,1.0,1.0
25,21,2017-09-11,0,6,0,0,1.0,0.9583333333333334
4,4,2017-09-18,0,1,0,0,1.0,1.0
