cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
5,0,2016-06-13,0,1,0,0,1.0,1.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
16,14,2017-03-13,0,1,0,14,1.0,1.0
5,3,2017-03-20,0,2,0,0,1.0,1.0
21,18,2017-03-27,0,6,0,0,1.0,1.0
9,7,2017-04-03,0,3,0,0,1.0,1.0
26,6,2017-04-10,0,5,0,0,1.0,1.0
3,1,2017-04-17,0,1,0,1,1.0,1.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
4,0,2017-05-08,0,1,0,0,1.0,1.0
7,0,2017-05-15,0,2,0,0,1.0,1.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
8,6,2017-05-29,0,2,0,0,1.0,1.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
24,9,2017-06-12,0,6,0,0,1.0,1.0
11,9,2017-06-19,0,2,0,0,1.0,1.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
22,14,2017-07-03,0,4,0,0,1.0,1.0
5,4,2017-07-10,0,1,0,0,1.0,1.0
40,28,2017-07-17,0,4,0,0,1.0,1.0
9,4,2017-07-24,0,2,0,0,1.0,1.0
5,4,2017-07-31,0,1,0,0,1.0,1.0
19,26,2017-08-07,0,3,0,0,1.0,1.0
26,42,2017-08-14,0,2,0,0,1.0,1.0
12,4,2017-08-21,0,2,0,0,1.0,1.0
11,0,2017-08-28,0,1,0,0,1.0,1.0
11,8,2017-09-04,0,3,0,0,1.0,1.0
16,14,2017-09-11,0,2,0,0,1.0,1.0
4,0,2017-09-18,0,1,0,0,1.0,1.0
