cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,1,2016-02-08,0,1,0,0,1.0,1.0
4,1,2016-02-15,0,1,0,0,0.6699999999999999,1.0
0,0,2016-02-22,0,0,0,0,0.0,0.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
2,1,2016-03-14,0,1,0,0,1.0,1.0
2,1,2016-03-21,0,1,1,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
2,1,2016-04-04,0,1,0,0,1.0,1.0
10,11,2016-04-11,0,2,0,0,1.0,1.0
9,4,2016-04-18,0,4,0,0,1.0,1.0
14,13,2016-04-25,0,4,0,0,1.0,1.0
4,2,2016-05-02,0,2,0,0,1.0,1.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
7,12,2016-05-16,0,1,0,0,1.0,1.0
4,0,2016-05-23,0,1,0,0,0.0,1.0
9,3,2016-05-30,0,3,0,0,0.6666666666666666,1.0
47,30,2016-06-06,0,14,0,0,0.9642857142857144,0.9642857142857144
24,20,2016-06-13,0,6,0,0,0.9166666666666666,1.0
15,17,2016-06-20,0,4,0,0,1.0,1.0
13,12,2016-06-27,0,4,0,0,1.0,1.0
14,15,2016-07-04,0,3,0,0,0.9533333333333333,1.0
13,9,2016-07-11,0,3,0,0,1.0,1.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
2,1,2016-09-19,0,1,0,0,1.0,1.0
2,1,2016-09-26,0,1,1,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
0,0,2017-03-20,0,0,0,0,0.0,0.0
0,0,2017-03-27,0,0,0,0,0.0,0.0
0,0,2017-04-03,0,0,0,0,0.0,0.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
0,0,2017-05-08,0,0,0,0,0.0,0.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
2,1,2017-05-22,0,1,0,0,1.0,1.0
