cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,3,2018-11-05,0,1,0,0,1.0,1.0
2,1,2018-11-12,0,1,0,0,1.0,1.0
9,7,2018-11-19,0,2,0,0,1.0,1.0
0,0,2018-11-26,0,0,0,0,0.0,0.0
4,4,2018-12-03,0,1,0,0,1.0,1.0
0,0,2018-12-10,0,0,0,0,0.0,0.0
4,2,2018-12-17,0,1,0,0,1.0,1.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
0,0,2019-01-07,0,0,0,0,0.0,0.0
0,0,2019-01-14,0,0,0,0,0.0,0.0
2,1,2019-01-21,0,1,1,0,0.0,0.0
2,1,2019-01-28,0,1,0,0,1.0,1.0
0,0,2019-02-04,0,0,0,0,0.0,0.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
3,2,2019-02-18,0,1,0,0,1.0,1.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
11,9,2019-03-04,0,2,0,0,1.0,0.75
3,0,2019-03-11,0,1,0,0,1.0,1.0
