cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,4,2016-04-18,0,1,0,0,1.0,1.0
6,3,2016-04-25,0,2,0,0,1.0,0.5
5,4,2016-05-02,0,1,0,0,1.0,1.0
6,4,2016-05-09,0,1,0,0,1.0,1.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
13,5,2016-05-23,0,3,3,0,0.6666666666666666,0.8733333333333334
32,38,2016-05-30,0,7,0,0,1.0,1.0
4,1,2016-06-06,0,2,0,0,0.5,1.0
3,2,2016-06-13,0,1,0,0,1.0,1.0
26,24,2016-06-20,0,7,0,0,0.98,1.0
16,18,2016-06-27,0,4,0,0,1.0,1.0
36,26,2016-07-04,0,8,0,0,1.0,0.89625
19,14,2016-07-11,0,5,0,0,1.0,1.0
