cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2016-08-15,0,1,0,0,1.0,1.0
8,6,2016-08-22,0,2,0,0,1.0,1.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
2,1,2016-09-05,0,1,0,0,1.0,1.0
2,1,2016-09-12,0,1,0,0,1.0,1.0
5,0,2016-09-19,0,2,0,0,1.0,0.25
2,0,2016-09-26,0,1,0,0,1.0,0.0
5,3,2016-10-03,0,1,0,0,1.0,1.0
4,2,2016-10-10,0,2,0,0,1.0,1.0
5,1,2016-10-17,0,2,0,0,0.5,1.0
10,2,2016-10-24,0,4,0,0,0.625,1.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
2,0,2016-11-07,0,1,0,0,0.0,1.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
2,1,2016-11-21,0,1,0,0,1.0,1.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
9,3,2016-12-05,0,3,0,0,0.6666666666666666,1.0
3,2,2016-12-12,0,1,0,0,1.0,1.0
8,1,2016-12-19,1,3,0,0,0.89,1.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
5,1,2017-01-02,0,2,0,0,1.0,1.0
5,3,2017-01-09,0,2,0,0,1.0,1.0
