cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
8,3,2016-06-13,0,3,0,0,1.0,0.6666666666666666
12,3,2016-06-20,1,2,0,1,0.6799999999999999,1.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
2,1,2016-07-11,0,1,0,0,1.0,1.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
16,8,2016-07-25,0,4,0,0,1.0,0.75
3,2,2016-08-01,0,1,0,0,1.0,1.0
2,1,2016-08-08,0,1,0,0,1.0,1.0
7,3,2016-08-15,0,3,0,0,1.0,1.0
4,3,2016-08-22,0,1,0,0,1.0,1.0
13,8,2016-08-29,0,4,0,0,1.0,1.0
2,1,2016-09-05,0,1,0,0,1.0,1.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
5,6,2016-12-05,0,1,0,0,1.0,1.0
4,0,2016-12-12,0,1,0,0,1.0,1.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
3,2,2017-01-23,0,1,0,0,1.0,1.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
9,2,2017-02-27,1,3,0,0,0.89,1.0
