name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
jtattermusch,matt-kwong,20170,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
ctiller,yang-g,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
nicolasnoble,yang-g,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nicolasnoble,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,iamqizhao,20150,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.0
ctiller,nicolasnoble,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nicolasnoble,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,murgatroid99,20150,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
jboeuf,vjpai,20151,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,vjpai,20151,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,jboeuf,20151,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,mehrdada,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
AspirinSJL,ctiller,20171,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,markdroth,20171,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
AspirinSJL,markdroth,20171,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,dgquintas,20151,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
ctiller,nicolasnoble,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,jboeuf,20150,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
murgatroid99,yang-g,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
nathanielmanistaatgoogle,nicolasnoble,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,murgatroid99,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,dklempner,20150,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
ctiller,yang-g,20150,1,0,0,1,0.5,0.0,0.0,0.5,3,1,0.5,0.0
dklempner,yang-g,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
ctiller,nicolasnoble,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jcanizales,jtattermusch,20151,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,tbetbetbe,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,nathanielmanistaatgoogle,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,murgatroid99,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,jtattermusch,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jtattermusch,nicolasnoble,20151,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,jboeuf,20150,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
jboeuf,yang-g,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,yang-g,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nicolasnoble,20150,0,1,0,0,0.0,0.5,0.0,0.0,3,1,1.0,0.0
jboeuf,murgatroid99,20150,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,jboeuf,20151,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
jayantkolhe,jboeuf,20151,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,jayantkolhe,20151,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
