name1,name2,period,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0oneo,googlebot,20171,1.0,0.0,1.0,0.0,1.0,1.0,2,0,2,0,1,3
0oneo,grpc-kokoro,20171,1.0,0.0,1.0,0.0,1.0,1.0,10,0,10,0,1,11
0oneo,grpc-testing,20171,1.0,0.0,1.0,0.0,1.0,1.0,5,0,5,0,1,6
0oneo,jtattermusch,20171,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
0oneo,mehrdada,20180,0.835,0.0,0.0,0.0,1.0,1.0,3,0,0,0,2,6
0oneo,muxi,20180,0.67,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
0oneo,srini100,20180,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,2,6
0x1997,ctiller,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0x1997,stanley-cheung,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
0x1997,thinkerou,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0x1997,vjpai,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0xC0D3D00D,chrisgillis,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0xC0D3D00D,idevz,20161,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
0xC0D3D00D,stanley-cheung,20161,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
0xC0D3D00D,thinkerou,20161,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
0xC0D3D00D,vjpai,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0xf10413,htuch,20181,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,2
1N50MN14,murgatroid99,20160,0.6,0.05,0.0,0.0,1.0,0.75,12,1,0,0,1,9
1N50MN14,murgatroid99,20161,0.4,0.0,0.0,0.0,0.8,1.0,6,0,0,0,1,8
24,atomextranova,20171,0.5,0.0,0.0,0.0,0.75,1.0,2,0,0,0,1,5
24,dgquintas,20170,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
24601,bond-,20181,0.0,0.06,0.0,0.0,1.0,0.94,0,1,0,0,2,11
24601,hsaliak,20181,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
24601,murgatroid99,20171,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
24601,muxi,20181,0.625,0.125,0.625,0.0,1.0,0.875,3,2,3,0,2,11
24601,nicolasnoble,20181,0.125,0.25,0.125,0.0,1.0,0.75,1,1,1,0,2,8
24601,wilhuff,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
253056965,echoma,20171,0.5,0.0,0.0,0.0,1.0,0.5,2,0,0,0,1,4
