name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0x1997,ctiller,20170,1.0,1.0,1,0,0,0,1,2
0x1997,stanley-cheung,20170,1.0,1.0,0,0,0,0,1,2
0x1997,vjpai,20170,1.0,1.0,1,0,0,0,1,2
24,dgquintas,20170,1.0,1.0,1,0,0,0,1,3
7anner,googlebot,20170,1.0,1.0,2,0,2,0,1,6
7anner,grpc-kokoro,20170,1.0,1.0,6,0,6,0,1,10
7anner,grpc-testing,20170,1.0,1.0,8,0,8,0,1,12
7anner,jtattermusch,20170,1.0,0.5,6,2,0,0,1,8
AhmadChaker,jtattermusch,20170,1.0,1.0,6,0,0,0,2,8
Aneurin,donalmacc,20170,1.0,1.0,1,0,1,0,1,2
Aneurin,jtattermusch,20170,1.0,1.0,0,0,0,0,1,3
AngryLemonn,bharathsjois,20170,0.75,0.0,1,0,0,1,1,5
AngryLemonn,jboeuf,20170,0.33,1.0,1,4,0,0,1,6
AngryLemonn,jcanizales,20170,0.33,1.0,0,2,0,0,1,4
AngryLemonn,ncteisen,20170,1.0,1.0,1,0,0,0,1,2
AngryLemonn,patricia93sousa,20170,0.33,1.0,1,2,0,0,1,5
AngryLemonn,stanley-cheung,20170,1.0,1.0,2,0,0,0,1,3
AngryLemonn,tuxagon,20170,0.33,0.5,3,0,0,2,1,5
AngryLemonn,victorlin0,20170,0.75,1.0,3,0,0,0,1,5
AngryLemonn,vish74,20170,0.75,1.0,6,4,0,0,1,10
AngryLemonn,yang-g,20170,1.0,1.0,0,0,0,0,1,3
Arun-KumarH,dcodeIO,20170,1.0,1.0,1,0,0,0,1,2
Arun-KumarH,grpc-kokoro,20170,1.0,1.0,5,0,0,0,1,6
Arun-KumarH,murgatroid99,20170,1.0,0.9266666666666667,13,0,0,0,3,17
Arun-KumarH,nicolasnoble,20170,1.0,1.0,2,0,0,0,1,3
Arun-KumarH,paralin,20170,1.0,0.9,7,0,0,0,2,10
Arun-KumarH,vanthome,20170,1.0,1.0,2,0,0,0,1,3
Asara,blerest,20170,1.0,1.0,0,0,0,0,1,2
Asara,cyberflohr,20170,1.0,1.0,0,0,0,0,1,2
Asara,jboeuf,20170,1.0,1.0,4,0,0,0,1,7
Asara,jtattermusch,20170,1.0,1.0,1,0,0,0,1,2
Asara,murgatroid99,20170,1.0,1.0,1,0,0,0,1,2
Asara,sackio,20170,1.0,1.0,0,0,0,0,1,2
Axiverse,jtattermusch,20170,1.0,1.0,2,0,0,0,1,3
Azert-Mark,dgquintas,20170,1.0,0.0,0,1,0,0,1,2
Azert-Mark,jtattermusch,20170,1.0,1.0,0,0,0,0,1,3
Binarytales,kaiwu,20170,1.0,1.0,1,0,0,0,1,2
Binarytales,lnshi,20170,1.0,1.0,1,0,0,0,1,2
Binarytales,sagikazarmark,20170,1.0,1.0,1,0,0,0,1,2
Blanen,Disturbing,20170,1.0,0.8,6,0,0,0,1,7
Blanen,g-ericso,20170,1.0,1.0,2,0,0,0,1,3
Blanen,vjpai,20170,1.0,1.0,2,0,0,0,1,3
BusyJay,googlebot,20170,1.0,1.0,1,0,1,0,1,3
