name1,name2,period,issue_num,p1,p2
"jtattermusch","matt-kwong","20170","2","0","02"
"ctiller","yang-g","20150","4","22","2"
"nicolasnoble","yang-g","20150","4","2","2"
"ctiller","nicolasnoble","20150","4","22","2"
"ctiller","iamqizhao","20150","13","22","0"
"ctiller","nicolasnoble","20150","25","2","02"
"ctiller","nicolasnoble","20150","40","2","22"
"ctiller","murgatroid99","20150","46","2222","2"
"jboeuf","vjpai","20151","55","1","2"
"ctiller","vjpai","20151","55","2","2"
"ctiller","jboeuf","20151","55","2","1"
"ctiller","mehrdada","20170","59","2","2"
"AspirinSJL","ctiller","20171","59","2","22"
"ctiller","markdroth","20171","59","22","22"
"AspirinSJL","markdroth","20171","59","2","22"
"ctiller","dgquintas","20151","61","0","2"
"ctiller","nicolasnoble","20150","72","2","02"
"ctiller","jboeuf","20150","83","222","022"
"murgatroid99","yang-g","20150","84","22","02"
"nathanielmanistaatgoogle","nicolasnoble","20150","92","1","2"
"ctiller","murgatroid99","20150","95","2","2"
"ctiller","dklempner","20150","104","20","2"
"ctiller","yang-g","20150","104","20","00"
"dklempner","yang-g","20150","104","2","00"
"ctiller","nicolasnoble","20150","106","2","2"
"jcanizales","jtattermusch","20151","113","2","2"
"ctiller","tbetbetbe","20150","115","2","22"
"ctiller","nathanielmanistaatgoogle","20150","117","2","2"
"ctiller","murgatroid99","20150","119","2","22"
"ctiller","jtattermusch","20150","124","2","2"
"jtattermusch","nicolasnoble","20151","130","2","2"
"ctiller","jboeuf","20150","141","1","22"
"jboeuf","yang-g","20150","141","22","2"
"ctiller","yang-g","20150","141","1","2"
"ctiller","nicolasnoble","20150","151","21","0"
"jboeuf","murgatroid99","20150","161","1","22"
"ctiller","jboeuf","20151","161","22","2"
"jayantkolhe","jboeuf","20151","161","2","2"
"ctiller","jayantkolhe","20151","161","22","2"
"jboeuf","tbetbetbe","20150","162","1","2"
"ctiller","jboeuf","20151","162","2","2"
"ctiller","jboeuf","20151","163","2","2"
"ctiller","nathanielmanistaatgoogle","20151","163","2","2"
"jboeuf","nathanielmanistaatgoogle","20151","163","2","2"
"a-veitch","maxwell-demon","20150","167","2","2"
"jboeuf","nicolasnoble","20150","168","0212","2222222"
"ctiller","nicolasnoble","20150","168","02222","2222222"
"ctiller","jboeuf","20150","168","02222","0212"
"ctiller","tbetbetbe","20150","175","2","22"
"ctiller","murgatroid99","20150","177","2","22"
"ctiller","jboeuf","20150","179","2","2"
"jboeuf","nicolasnoble","20150","182","2221","22"
"ctiller","iamqizhao","20150","186","2","202"
"murgatroid99","nicolasnoble","20150","194","2","2"
"nicolasnoble","tbetbetbe","20150","194","2","2"
