developer1,developer2,cr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
takluyver,minrk,0.568,1237,9137,8993
takluyver,Carreau,0.524,1137,9137,8043
takluyver,ellisonbg,0.498,572,9137,3314
takluyver,fperez,0.368,451,9137,3249
takluyver,jdfreder,0.532,318,9137,1840
takluyver,ivanov,0.561,288,9137,1055
takluyver,damianavila,0.488,252,9137,900
takluyver,bfroehle,0.584,190,9137,665
takluyver,jasongrout,0.555,203,9137,561
takluyver,rgbkrk,0.544,145,9137,394
takluyver,SylvainCorlay,0.584,122,9137,334
takluyver,dsblank,0.507,119,9137,312
takluyver,tkf,0.447,83,9137,269
takluyver,asmeurer,0.53,88,9137,242
takluyver,jakobgager,0.492,76,9137,225
takluyver,epatters,0.469,73,9137,194
takluyver,ssanderson,0.61,62,9137,175
takluyver,tacaswell,0.639,81,9137,167
takluyver,jhamrick,0.489,57,9137,167
takluyver,jstenar,0.562,80,9137,164
takluyver,ahmadia,0.48,63,9137,164
takluyver,dpsanders,0.521,20,9137,159
takluyver,jonathanslenders,0.452,70,9137,158
takluyver,ccordoba12,0.432,74,9137,156
takluyver,juhasch,0.49,73,9137,153
takluyver,rsmith31415,0.506,56,9137,149
takluyver,juliantaylor,0.642,81,9137,146
takluyver,rkern,0.554,81,9137,142
takluyver,jenshnielsen,0.509,86,9137,141
takluyver,stonebig,0.605,51,9137,140
takluyver,jankatins,0.517,51,9137,136
takluyver,ghost,0.461,63,9137,132
takluyver,willingc,0.435,61,9137,130
takluyver,travisbot,0.612,14,9137,104
takluyver,klonuo,0.56,36,9137,101
takluyver,anntzer,0.563,55,9137,95
takluyver,stefanv,0.613,45,9137,94
takluyver,jdmarch,0.631,37,9137,94
takluyver,michaelaye,0.602,49,9137,93
takluyver,jorisvandenbossche,0.38,46,9137,89
takluyver,rossant,0.564,49,9137,87
takluyver,blink1073,0.532,29,9137,86
takluyver,jakirkham,0.56,17,9137,75
takluyver,bollwyvl,0.334,38,9137,74
takluyver,westurner,0.52,12,9137,70
takluyver,piti118,0.589,25,9137,70
takluyver,ArcTanSusan,0.662,22,9137,68
takluyver,rmcgibbo,0.353,18,9137,68
takluyver,cancan101,0.678,23,9137,66
takluyver,srinivasreddy,0.539,23,9137,65
takluyver,stevengj,0.583,33,9137,64
takluyver,LucianaMarques,0.4,1,9137,61
takluyver,fonnesbeck,0.46,34,9137,61
takluyver,njsmith,0.451,27,9137,60
takluyver,meeseeksdev[bot],0.619,22,9137,56
takluyver,memeplex,0.493,19,9137,55
takluyver,v923z,0.442,20,9137,55
takluyver,denfromufa,0.616,23,9137,54
takluyver,mspacek,0.363,15,9137,54
takluyver,kaazoo,0.539,28,9137,54
takluyver,tomspur,0.521,27,9137,53
takluyver,dwf,0.38,19,9137,51
takluyver,pablooliveira,0.417,27,9137,51
takluyver,davclark,0.523,34,9137,51
takluyver,abalkin,0.649,13,9137,50
takluyver,astrofrog,0.558,17,9137,49
takluyver,mcelrath,0.461,17,9137,49
takluyver,dhirschfeld,0.368,26,9137,48
takluyver,techtonik,0.612,15,9137,47
takluyver,gibiansky,0.519,20,9137,47
takluyver,jdemeyer,0.636,18,9137,43
takluyver,drevicko,0.53,28,9137,43
takluyver,jakevdp,0.493,24,9137,42
takluyver,Zsailer,0.513,20,9137,42
takluyver,mathieu1,0.616,24,9137,42
takluyver,cel4,0.445,23,9137,41
takluyver,certik,0.355,19,9137,40
takluyver,lgautier,0.579,17,9137,39
takluyver,akhmerov,0.343,12,9137,37
takluyver,jseabold,0.473,16,9137,37
takluyver,dbarbeau,0.436,21,9137,36
takluyver,twiecki,0.549,15,9137,35
takluyver,satra,0.474,16,9137,34
takluyver,tritemio,0.51,15,9137,34
takluyver,jzf2101,0.397,5,9137,33
takluyver,mdboom,0.53,21,9137,32
takluyver,pleabargain,0.33,10,9137,32
takluyver,ngoldbaum,0.574,17,9137,31
takluyver,mgaitan,0.601,15,9137,31
takluyver,eteq,0.589,17,9137,31
takluyver,efiring,0.405,13,9137,30
takluyver,andreabedini,0.551,10,9137,29
takluyver,chebee7i,0.394,13,9137,29
takluyver,KesterTong,0.374,19,9137,29
takluyver,matthew-brett,0.476,9,9137,28
takluyver,flying-sheep,0.628,16,9137,28
takluyver,mwaskom,0.292,11,9137,28
takluyver,parente,0.626,17,9137,28
takluyver,thisch,0.477,16,9137,28
takluyver,echatelet,0.435,8,9137,28
takluyver,amelio-vazquez-reina,0.206,16,9137,27
takluyver,filmor,0.473,15,9137,27
takluyver,Achifaifa,0.394,9,9137,27
takluyver,kalibri1798,0.578,8,9137,27
takluyver,gregcaporaso,0.42,18,9137,26
takluyver,wolever,0.452,13,9137,26
takluyver,vbraun,0.503,9,9137,25
takluyver,ketch,0.47,14,9137,25
takluyver,carlsmith,0.317,12,9137,25
takluyver,cschin,0.474,8,9137,25
takluyver,pierre-haessig,0.465,12,9137,25
takluyver,jnothman,0.446,12,9137,25
takluyver,dashesy,0.534,12,9137,24
takluyver,Drekin,0.498,13,9137,24
takluyver,gnestor,0.568,13,9137,24
takluyver,keflavich,0.46,13,9137,24
takluyver,mmckerns,0.492,9,9137,24
takluyver,joonro,0.202,10,9137,23
takluyver,arsenovic,0.429,6,9137,23
takluyver,amueller,0.228,8,9137,22
takluyver,mpacer,0.581,8,9137,22
takluyver,dalejung,0.556,10,9137,22
takluyver,cdeil,0.532,14,9137,22
takluyver,chronitis,0.532,13,9137,22
takluyver,koenvb,0.478,8,9137,22
takluyver,wesm,0.432,9,9137,21
takluyver,priyanksh,0.592,6,9137,21
takluyver,hadim,0.436,10,9137,21
takluyver,mwiebe,0.631,10,9137,20
takluyver,stas00,0.062,2,9137,20
takluyver,anderwm,0.595,8,9137,20
takluyver,markvoorhies,0.37,7,9137,19
takluyver,hugadams,0.275,9,9137,19
takluyver,kmike,0.427,10,9137,18
takluyver,bilderbuchi,0.569,7,9137,18
takluyver,benjiec,0.333,3,9137,18
takluyver,yogeshc,0.497,4,9137,18
takluyver,remram44,0.607,10,9137,18
takluyver,minad,0.591,9,9137,18
takluyver,ghjc,0.369,15,9137,18
takluyver,tarzzz,0.558,8,9137,18
takluyver,MechCoder,0.413,4,9137,18
takluyver,bfredl,0.372,8,9137,17
takluyver,vincentwoo,0.592,7,9137,17
takluyver,embray,0.56,9,9137,17
takluyver,cboos,0.298,9,9137,17
takluyver,hmeine,0.469,7,9137,17
takluyver,cpcloud,0.586,8,9137,17
takluyver,Norfeldt,0.571,3,9137,17
takluyver,benjaminabel,0.619,8,9137,17
takluyver,adityausathe,0.556,5,9137,16
takluyver,thomasballinger,0.417,7,9137,16
takluyver,CRP,0.441,8,9137,16
takluyver,moorepants,0.547,7,9137,16
takluyver,vext01,0.334,8,9137,16
takluyver,montefra,0.651,9,9137,16
takluyver,mattvonrocketstein,0.507,7,9137,16
takluyver,porterjamesj,0.207,7,9137,16
takluyver,Zaharid,0.552,11,9137,16
takluyver,nevion,0.45,6,9137,16
takluyver,dot27,0.555,2,9137,16
takluyver,Madhu94,0.334,7,9137,15
takluyver,Sharpie,0.667,4,9137,15
takluyver,ogrisel,0.282,9,9137,15
takluyver,tmbdev,0.43,10,9137,15
takluyver,reckoner,0.314,10,9137,15
takluyver,jamesgao,0.429,3,9137,15
takluyver,paweljasinski,0.625,8,9137,15
takluyver,jvns,0.314,8,9137,15
takluyver,antoine-levitt,0.295,5,9137,14
takluyver,pfmoore,0.117,7,9137,14
takluyver,bialix,0.601,4,9137,14
takluyver,niallrobinson,0.431,8,9137,14
takluyver,gbrandonp,0.675,7,9137,14
takluyver,dartdog,0.25,6,9137,14
takluyver,timmie,0.674,5,9137,14
takluyver,lebigot,0.112,9,9137,14
takluyver,daf,0.419,9,9137,14
takluyver,ddale,0.269,3,9137,14
takluyver,wkerzendorf,0.29,3,9137,14
takluyver,nehalecky,0.171,10,9137,14
takluyver,pelson,0.308,12,9137,14
takluyver,cioc,0.455,4,9137,14
takluyver,chrisgmorton,0.219,2,9137,13
takluyver,ozak,0.326,8,9137,13
takluyver,rabbitmcrabbit,0.389,6,9137,13
takluyver,mrshu,0.588,4,9137,13
takluyver,wking,0.261,6,9137,13
takluyver,wilsaj,0.361,5,9137,13
takluyver,ctb,0.208,7,9137,13
takluyver,invisibleroads,0.354,4,9137,13
takluyver,crbates,0.747,6,9137,13
takluyver,jonathan-taylor,0.475,10,9137,13
takluyver,m3nu,0.466,8,9137,13
takluyver,nilsbecker,0.753,5,9137,13
takluyver,davidtrem,0.487,13,9137,13
