"name1","name2","issue_num","p1","p2"
"Carreau","tomspur","2","0","2"
"fperez","tomspur","2","21","2"
"Carreau","fperez","2","0","21"
"ellisonbg","ipython","8","2","2221"
"fperez","ipython","8","2220100","2221"
"epatters","ipython","8","222022","2221"
"ellisonbg","fperez","8","2","2220100"
"epatters","fperez","8","222022","2220100"
"ipython","unidesigner","8","2221","21"
"ellisonbg","unidesigner","8","2","21"
"fperez","unidesigner","8","2220100","21"
"epatters","unidesigner","8","222022","21"
"rkern","unidesigner","8","2","21"
"minrk","unidesigner","8","2120","21"
"ellisonbg","epatters","8","2","222022"
"ipython","rkern","8","2221","2"
"ellisonbg","rkern","8","2","2"
"fperez","rkern","8","2220100","2"
"epatters","rkern","8","222022","2"
"minrk","rkern","8","2120","2"
"ipython","minrk","8","2221","2120"
"ellisonbg","minrk","8","2","2120"
"fperez","minrk","8","2220100","2120"
"epatters","minrk","8","222022","2120"
"ellisonbg","ipython","9","2","221"
"bfroehle","minrk","10","2","2"
"ellisonbg","fperez","12","2","0"
"Carreau","fperez","12","2","0"
"damianavila","fperez","12","1","0"
"Carreau","ellisonbg","12","2","2"
"damianavila","ellisonbg","12","1","2"
"Carreau","damianavila","12","2","1"
"fperez","takluyver","12","0","1"
"ellisonbg","takluyver","12","2","1"
"Carreau","takluyver","12","2","1"
"damianavila","takluyver","12","1","1"
"ellisonbg","ipython","13","21","0"
"fperez","ipython","13","201","0"
"ellisonbg","fperez","13","21","201"
"ipython","takluyver","13","0","2"
"ellisonbg","takluyver","13","21","2"
"fperez","takluyver","13","201","2"
"minrk","takluyver","13","2","2"
"ipython","minrk","13","0","2"
"ellisonbg","minrk","13","21","2"
"fperez","minrk","13","201","2"
"ellisonbg","ipython","14","2","11"
"Carreau","ipython","14","2","11"
"ipython","takluyver","14","11","2"
"ellisonbg","takluyver","14","2","2"
"minrk","takluyver","14","2","2"
"Carreau","takluyver","14","2","2"
"Carreau","ellisonbg","14","2","2"
"ipython","minrk","14","11","2"
"ellisonbg","minrk","14","2","2"
"Carreau","minrk","14","2","2"
"ellisonbg","fperez","15","2","1"
"fperez","ipython","16","02","2"
"ipython","takluyver","16","2","2"
"fperez","takluyver","16","02","2"
"Drekin","ipython","17","2200","2"
"fperez","ipython","17","2","2"
"Carreau","ipython","17","1","2"
"Carreau","Drekin","17","1","2200"
"ipython","takluyver","17","2","222"
"Drekin","takluyver","17","2200","222"
"fperez","takluyver","17","2","222"
"Carreau","takluyver","17","1","222"
"Drekin","fperez","17","2200","2"
"Carreau","fperez","17","1","2"
"fperez","minrk","19","02","2"
"fperez","ipython","20","0","2"
"asmeurer","ipython","21","2202022","2"
"boxed","ipython","21","2","2"
"Carreau","ipython","21","12","2"
"cottrell","ipython","21","2","2"
"ipython","minrk","21","2","0222"
"asmeurer","minrk","21","2202022","0222"
"boxed","minrk","21","2","0222"
"Carreau","minrk","21","12","0222"
"cottrell","minrk","21","2","0222"
"asmeurer","boxed","21","2202022","2"
"asmeurer","Carreau","21","2202022","12"
"boxed","Carreau","21","2","12"
"asmeurer","cottrell","21","2202022","2"
"boxed","cottrell","21","2","2"
"Carreau","cottrell","21","12","2"
"ipython","takluyver","21","2","2"
"asmeurer","takluyver","21","2202022","2"
"minrk","takluyver","21","0222","2"
"boxed","takluyver","21","2","2"
"Carreau","takluyver","21","12","2"
"cottrell","takluyver","21","2","2"
"fperez","takluyver","22","22011","22"
"paykroyd","takluyver","22","22","22"
"fperez","paykroyd","22","22011","22"
"fperez","minrk","23","2","22"
"fperez","ipython","24","0","111012111012"
"fperez","ipython","25","022","22220222000022221"
"ipython","takluyver","25","22220222000022221","2"
"fperez","takluyver","25","022","2"
"jrus","takluyver","25","2","2"
"minrk","takluyver","25","2","2"
"ipython","jrus","25","22220222000022221","2"
"fperez","jrus","25","022","2"
"ipython","minrk","25","22220222000022221","2"
"fperez","minrk","25","022","2"
"jrus","minrk","25","2","2"
"ellisonbg","takluyver","26","2","2"
"minrk","takluyver","26","2","2"
"ellisonbg","minrk","26","2","2"
"fperez","takluyver","27","1","2"
"fperez","ipython","29","10011","222022"
"dwf","ipython","29","2","222022"
"ipython","minrk","29","222022","0222"
"fperez","minrk","29","10011","0222"
"dwf","minrk","29","2","0222"
"dwf","fperez","29","2","10011"
"ipython","takluyver","29","222022","2"
"minrk","takluyver","29","0222","2"
"fperez","takluyver","29","10011","2"
"dwf","takluyver","29","2","2"
"minrk","takluyver","30","02","2"
"emaror","ipython","32","2","0"
"fperez","ipython","32","1","0"
"bfroehle","ipython","32","2","0"
"ipython","tknbamn","32","0","2"
"emaror","tknbamn","32","2","2"
"fperez","tknbamn","32","1","2"
"bfroehle","tknbamn","32","2","2"
"bfroehle","emaror","32","2","2"
"emaror","fperez","32","2","1"
"bfroehle","fperez","32","2","1"
"fperez","ipython","33","2","2"
"ipython","takluyver","33","2","2"
"fperez","takluyver","33","2","2"
"ipython","Shougo","35","22","0220"
"methane","Shougo","35","2","0220"
"minrk","Shougo","35","2","0220"
"ipython","methane","35","22","2"
"ipython","minrk","35","22","2"
"methane","minrk","35","2","2"
"batz","ipython","36","2","222"
"fperez","ipython","36","1","222"
"batz","fperez","36","2","1"
"fperez","ipython","38","2","22202122002"
"ipython","takluyver","38","22202122002","2"
"fperez","takluyver","38","2","2"
"minrk","tomspur","39","2","2"
"fperez","ipython","40","2","2"
"ipython","takluyver","40","2","2"
"fperez","takluyver","40","2","2"
"Carreau","ipython","42","1","2"
"fperez","ipython","44","2","22"
"ipython","takluyver","44","22","2"
"fperez","takluyver","44","2","2"
"ipython","takluyver","46","2","0"
"ellisonbg","ipython","47","2","200"
"ipython","minrk","48","2","2"
"ivanov","minrk","48","2","2"
"ipython","ivanov","48","2","2"
"ipython","takluyver","51","22","2"
"ipython","takluyver","53","1","2"
"minrk","takluyver","53","2","2"
"ipython","minrk","53","1","2"
"ipython","takluyver","54","2122222","2"
"minrk","takluyver","54","2","2"
"ipython","minrk","54","2122222","2"
"ipython","takluyver","55","2","22"
"fperez","ipython","56","1","1"
"fperez","ipython","57","2","22111112"
"ipython","nealmcb","57","22111112","2"
"fperez","nealmcb","57","2","2"
"haosdent","ipython","58","2021","22210"
"ipython","xiaket","58","22210","2"
"takluyver","xiaket","58","22220","2"
"haosdent","xiaket","58","2021","2"
"ipython","takluyver","58","22210","22220"
"haosdent","takluyver","58","2021","22220"
"fperez","ipython","59","22","2200"
