name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
Carreau,fperez,2011-11-07,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
ellisonbg,ipython,2010-05-03,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,1.0
fperez,unidesigner,2011-04-04,1,0,1,0,0.5,0.0,0.5,0.0,3,1,1.0,1.0
epatters,rkern,2011-05-23,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
epatters,minrk,2011-06-20,7,1,0,1,0.44,0.06,0.0,0.06,8,1,0.75,0.75
Carreau,damianavila,2014-06-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,takluyver,2014-06-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
damianavila,takluyver,2014-06-09,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
ellisonbg,fperez,2011-03-28,0,1,0,0,0.0,0.5,0.0,0.0,3,1,1.0,0.5
ellisonbg,minrk,2011-05-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,2011-03-14,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
Drekin,takluyver,2014-08-25,6,0,0,0,0.5,0.0,0.0,0.0,7,1,0.5,1.0
fperez,takluyver,2014-08-25,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Drekin,fperez,2014-08-25,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.5,1.0
asmeurer,minrk,2011-08-15,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
asmeurer,minrk,2011-08-22,9,0,0,0,0.75,0.0,0.0,0.0,7,1,0.75,1.0
boxed,Carreau,2013-04-01,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
cottrell,takluyver,2018-01-22,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,paykroyd,2011-11-21,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,paykroyd,2011-11-28,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
jrus,minrk,2011-05-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,2011-03-14,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
dwf,fperez,2011-03-28,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,0.5
fperez,minrk,2011-03-28,0,0,0,0,0.0,0.0,0.0,0.0,6,1,0.5,1.0
dwf,minrk,2011-03-28,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
fperez,takluyver,2011-04-04,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,2011-03-28,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
methane,Shougo,2012-03-19,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
batz,fperez,2010-10-11,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,2011-03-14,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
minrk,takluyver,2011-03-14,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
haosdent,takluyver,2013-06-17,3,1,0,1,0.38,0.12,0.0,0.12,6,1,0.75,0.5
fperez,takluyver,2011-05-16,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
daf,takluyver,2012-01-30,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.5,1.0
fperez,liokm,2012-04-16,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
liokm,takluyver,2012-04-16,6,0,0,0,0.67,0.0,0.0,0.0,6,1,1.0,1.0
fperez,takluyver,2012-04-16,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
fletom,takluyver,2012-09-17,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
bkvirendra,minrk,2013-08-05,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
Carreau,minrk,2013-08-05,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
bkvirendra,Carreau,2013-08-05,0,1,0,0,0.0,0.5,0.0,0.0,3,1,1.0,0.0
anfedorov,Erotemic,2016-10-10,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
