name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0x0L,Carreau,2013-12-02,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
10p10110111xxi11p00100100,Carreau,2014-10-27,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
10p10110111xxi11p00100100,jstenar,2014-11-17,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
1520588207,Carreau,2015-05-18,0.33,0.17,0.17,0.0,1.0,0.6699999999999999,2,1,1,0,1,5
1600,karolyi,2018-01-22,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
1st,Carreau,2013-05-13,0.4,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,6
1st,minrk,2013-05-13,0.4,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,8
1st,takluyver,2013-05-13,0.3,0.15,0.0,0.0,1.0,0.75,6,3,0,0,1,9
2DSharp,Carreau,2018-10-08,0.5,0.0,0.0,0.0,0.5,1.0,4,0,0,0,2,10
2sn,Carreau,2013-07-08,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
2sn,ProbonoBonobo,2018-07-23,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
2sn,juhasch,2016-06-27,0.33,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,4
2sn,takluyver,2013-07-01,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
2sn,takluyver,2016-06-27,0.33,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,4
2t7,Carreau,2014-10-20,0.33,0.08,0.0,0.08,0.6699999999999999,0.75,4,1,0,1,1,7
2t7,takluyver,2014-10-20,0.33,0.0,0.0,0.0,0.6699999999999999,1.0,2,0,0,0,1,5
2tolik,Carreau,2013-08-05,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
2tolik,Carreau,2013-08-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
2tolik,ivanov,2013-08-05,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
2tolik,ivanov,2013-08-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
2tolik,jdfreder,2013-08-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
2tolik,minrk,2013-08-05,0.5,0.0,0.0,0.0,0.5,1.0,2,0,0,0,2,5
2tolik,takluyver,2013-08-05,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
2tolik,takluyver,2013-08-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
372046933,Carreau,2017-10-30,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
3kwa,bfroehle,2013-04-22,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
3kwa,minrk,2013-04-15,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
3kwa,minrk,2013-04-22,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
3lnc,Carreau,2017-02-27,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
3lnc,nosarthur,2017-02-27,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
8one6,minrk,2014-03-03,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AGS-Knight,takluyver,2015-03-16,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AJRenold,Carreau,2013-09-16,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AKuederle,Carreau,2015-06-22,0.44,0.0,0.22,0.0,1.0,1.0,4,0,2,0,1,6
ASing0,khrystyna-skopyk,2018-01-08,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
ASing0,takluyver,2018-01-01,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
ASing0,takluyver,2018-01-08,0.5,0.0,0.0,0.0,1.0,0.5,1,0,0,0,1,3
AaronParsons,minrk,2015-08-10,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AaronParsons,nxzwt,2015-08-10,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AaronWatters,SylvainCorlay,2016-06-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AaronWatters,minrk,2016-06-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
AaronWatters,takluyver,2016-06-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Achifaifa,Carreau,2015-08-17,0.25,0.5,0.0,0.25,0.75,0.0,2,3,0,2,2,9
Achifaifa,Carreau,2015-08-24,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,4,0,0,0,1,5
Achifaifa,Carreau,2016-02-01,0.33,0.17,0.17,0.0,0.6699999999999999,1.0,2,1,1,0,1,5
Achifaifa,Carreau,2016-02-08,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
Achifaifa,Carreau,2016-05-30,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
Achifaifa,anntzer,2015-10-05,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Achifaifa,ellisonbg,2015-08-24,1.0,0.0,0.0,0.0,1.0,1.0,8,0,0,0,1,6
Achifaifa,fperez,2015-08-24,0.56,0.0,0.0,0.0,1.0,0.6699999999999999,10,0,0,0,1,11
Achifaifa,fperez,2016-08-15,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
Achifaifa,jorisvandenbossche,2015-10-05,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Achifaifa,minrk,2015-08-17,0.0,0.25,0.0,0.0,0.75,1.0,0,2,0,0,2,9
Achifaifa,minrk,2015-10-05,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
Achifaifa,minrk,2015-11-02,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Achifaifa,minrk,2016-02-29,0.5,0.0,0.25,0.0,1.0,1.0,2,0,1,0,1,4
Achifaifa,rgbkrk,2015-08-24,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
Achifaifa,takluyver,2016-01-11,0.0,0.5,0.0,0.0,0.0,1.0,0,1,0,0,1,3
Achifaifa,takluyver,2016-02-01,0.165,0.085,0.085,0.0,0.835,0.5,2,1,1,0,2,7
Achifaifa,takluyver,2016-02-29,0.25,0.0,0.0,0.0,1.0,1.0,1,0,0,0,2,5
Achifaifa,vincentwoo,2016-02-29,0.5,0.0,0.5,0.0,1.0,1.0,2,0,2,0,1,4
Acomfort,minrk,2014-08-25,0.11,0.22,0.0,0.11,0.6699999999999999,0.6699999999999999,1,2,0,1,1,6
ActionPace,tacaswell,2015-08-31,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AdamSLevy,minrk,2013-12-23,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
Adish,takluyver,2011-02-07,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlJohri,fperez,2018-02-26,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AlJohri,takluyver,2018-02-26,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlbertHilb,Carreau,2014-04-14,0.375,0.125,0.125,0.0,1.0,0.875,2,1,1,0,2,8
AlbertHilb,Carreau,2014-04-21,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AlbertHilb,ellisonbg,2014-06-02,0.5,0.0,0.0,0.5,0.0,0.5,1,0,0,1,1,3
AlbertHilb,minrk,2014-04-14,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AlbinB,Carreau,2015-10-26,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlbinB,minrk,2015-10-26,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AleXY42,jonathanslenders,2016-07-25,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
AleXY42,takluyver,2016-07-25,0.25,0.0,0.25,0.0,1.0,1.0,1,0,1,0,1,5
AleXY42,taogao,2016-07-25,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AleXY42,ttolttol2,2016-07-25,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AlexeyG,minrk,2014-02-10,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
