cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
8,4,2014-10-20,0,2,1,1,0.5,0.75
5,3,2014-10-27,0,1,0,0,1.0,1.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
0,0,2014-11-24,0,0,0,0,0.0,0.0
0,0,2014-12-01,0,0,0,0,0.0,0.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
2,0,2015-01-26,0,1,0,0,1.0,0.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
4,2,2015-02-09,0,1,1,0,0.5,0.5
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
3,0,2015-03-23,0,1,0,0,1.0,1.0
4,1,2015-03-30,0,1,1,0,0.0,0.6699999999999999
