cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
17,16,2018-10-08,10,2,0,12,0.8,1.0
21,12,2018-10-15,1,4,0,6,0.875,1.0
13,7,2018-10-22,0,3,0,3,1.0,1.0
2,0,2018-10-29,0,1,0,0,1.0,0.0
0,0,2018-11-05,0,0,0,0,0.0,0.0
0,0,2018-11-12,0,0,0,0,0.0,0.0
0,0,2018-11-19,0,0,0,0,0.0,0.0
0,0,2018-11-26,0,0,0,0,0.0,0.0
0,0,2018-12-03,0,0,0,0,0.0,0.0
0,0,2018-12-10,0,0,0,0,0.0,0.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
3,0,2019-01-07,0,1,0,0,1.0,1.0
2,1,2019-01-14,0,1,0,0,1.0,1.0
0,0,2019-01-21,0,0,0,0,0.0,0.0
5,1,2019-01-28,1,2,0,0,0.5,1.0
2,1,2019-02-04,0,1,0,1,1.0,1.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
25,17,2019-02-18,1,6,0,9,0.9166666666666666,1.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
0,0,2019-03-04,0,0,0,0,0.0,0.0
0,0,2019-03-11,0,0,0,0,0.0,0.0
0,0,2019-03-18,0,0,0,0,0.0,0.0
0,0,2019-03-25,0,0,0,0,0.0,0.0
6,2,2019-04-01,0,2,0,1,1.0,1.0
