cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,1,2012-07-02,0,1,0,1,1.0,1.0
0,0,2012-07-09,0,0,0,0,0.0,0.0
0,0,2012-07-16,0,0,0,0,0.0,0.0
0,0,2012-07-23,0,0,0,0,0.0,0.0
0,0,2012-07-30,0,0,0,0,0.0,0.0
0,0,2012-08-06,0,0,0,0,0.0,0.0
0,0,2012-08-13,0,0,0,0,0.0,0.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
0,0,2012-08-27,0,0,0,0,0.0,0.0
0,0,2012-09-03,0,0,0,0,0.0,0.0
0,0,2012-09-10,0,0,0,0,0.0,0.0
0,0,2012-09-17,0,0,0,0,0.0,0.0
0,0,2012-09-24,0,0,0,0,0.0,0.0
0,0,2012-10-01,0,0,0,0,0.0,0.0
0,0,2012-10-08,0,0,0,0,0.0,0.0
0,0,2012-10-15,0,0,0,0,0.0,0.0
0,0,2012-10-22,0,0,0,0,0.0,0.0
0,0,2012-10-29,0,0,0,0,0.0,0.0
0,0,2012-11-05,0,0,0,0,0.0,0.0
0,0,2012-11-12,0,0,0,0,0.0,0.0
0,0,2012-11-19,0,0,0,0,0.0,0.0
0,0,2012-11-26,0,0,0,0,0.0,0.0
22,55,2012-12-03,3,1,15,0,0.62,0.64
6,2,2012-12-10,2,1,1,0,0.5,0.75
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
0,0,2012-12-31,0,0,0,0,0.0,0.0
10,5,2013-01-07,0,1,0,0,1.0,0.4
0,0,2013-01-14,0,0,0,0,0.0,0.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
2,0,2013-03-11,0,1,0,0,1.0,1.0
6,3,2013-03-18,0,1,0,0,1.0,0.6699999999999999
0,0,2013-03-25,0,0,0,0,0.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
3,2,2013-04-29,0,1,0,0,1.0,1.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
25,16,2013-07-01,1,6,0,5,1.0,0.8099999999999999
49,48,2013-07-08,2,9,0,2,0.9588888888888888,0.9555555555555556
11,1,2013-07-15,3,2,0,0,0.785,1.0
33,19,2013-07-22,2,6,0,1,0.8333333333333334,0.955
7,2,2013-07-29,0,2,0,0,0.5,1.0
21,19,2013-08-05,4,3,8,0,0.5399999999999999,0.89
11,8,2013-08-12,1,1,0,1,0.89,1.0
2,1,2013-08-19,0,1,0,0,1.0,1.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
9,4,2013-09-09,0,2,0,4,1.0,1.0
0,0,2013-09-16,0,0,0,0,0.0,0.0
17,5,2013-09-23,0,7,0,1,1.0,1.0
53,16,2013-09-30,1,17,4,2,0.9411764705882352,0.9235294117647058
26,13,2013-10-07,1,7,0,0,0.8571428571428571,0.8571428571428571
5,2,2013-10-14,1,2,1,0,0.5,0.75
10,3,2013-10-21,0,3,0,0,1.0,0.9166666666666666
8,2,2013-10-28,0,4,0,2,1.0,1.0
3,2,2013-11-04,0,1,0,0,1.0,1.0
7,2,2013-11-11,0,3,0,0,1.0,0.6666666666666666
