cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
8,2,2011-09-05,6,1,2,0,0.5,0.75
7,3,2011-09-12,2,1,0,2,0.6,1.0
2,1,2011-09-19,0,1,0,0,1.0,1.0
0,0,2011-09-26,0,0,0,0,0.0,0.0
7,2,2011-10-03,1,1,0,2,0.83,1.0
0,0,2011-10-10,0,0,0,0,0.0,0.0
0,0,2011-10-17,0,0,0,0,0.0,0.0
0,0,2011-10-24,0,0,0,0,0.0,0.0
0,0,2011-10-31,0,0,0,0,0.0,0.0
0,0,2011-11-07,0,0,0,0,0.0,0.0
0,0,2011-11-14,0,0,0,0,0.0,0.0
0,0,2011-11-21,0,0,0,0,0.0,0.0
0,0,2011-11-28,0,0,0,0,0.0,0.0
0,0,2011-12-05,0,0,0,0,0.0,0.0
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
5,0,2012-01-09,0,1,0,0,0.0,1.0
2,1,2012-01-16,0,1,0,0,1.0,1.0
