cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,4,2011-09-05,2,1,2,0,0.5,0.6699999999999999
2,0,2011-09-12,0,1,0,0,0.0,1.0
0,0,2011-09-19,0,0,0,0,0.0,0.0
4,2,2011-09-26,0,1,0,0,1.0,1.0
14,6,2011-10-03,3,3,1,2,0.9433333333333334,0.5566666666666666
15,12,2011-10-10,9,1,5,4,0.6699999999999999,0.5800000000000001
0,0,2011-10-17,0,0,0,0,0.0,0.0
2,1,2011-10-24,0,1,0,0,1.0,1.0
18,12,2011-10-31,0,3,4,0,0.6333333333333333,0.5566666666666666
17,6,2011-11-07,3,4,1,1,0.605,0.95
17,5,2011-11-14,2,5,2,2,0.72,0.9
51,30,2011-11-21,19,10,12,12,0.79,0.735
12,3,2011-11-28,0,4,0,0,1.0,0.7
14,6,2011-12-05,0,4,0,0,1.0,0.9175
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
5,1,2011-12-26,0,1,0,0,1.0,1.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
9,3,2012-01-09,1,3,1,0,0.5,0.6666666666666666
19,4,2012-01-16,6,4,1,0,0.625,0.8175
16,4,2012-01-23,3,3,1,0,0.6666666666666666,0.82
0,0,2012-01-30,0,0,0,0,0.0,0.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
3,2,2012-02-13,0,1,0,2,1.0,1.0
4,1,2012-02-20,0,1,0,0,1.0,0.33
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
7,2,2012-04-02,0,3,0,0,1.0,0.3333333333333333
9,10,2012-04-09,1,1,1,0,0.75,0.8
16,8,2012-04-16,0,4,4,0,0.75,0.8325
3,0,2012-04-23,0,1,0,0,1.0,1.0
8,1,2012-04-30,2,2,0,1,0.8,1.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
8,2,2012-05-14,0,3,0,0,1.0,0.6666666666666666
24,6,2012-05-21,1,7,1,3,0.9528571428571428,0.7142857142857143
34,16,2012-05-28,10,6,2,7,0.6466666666666666,0.8166666666666668
17,19,2012-06-04,1,4,0,0,0.6875,1.0
7,2,2012-06-11,1,3,0,0,0.6666666666666666,1.0
24,10,2012-06-18,0,6,0,2,0.8333333333333334,0.9166666666666666
33,15,2012-06-25,2,9,1,0,0.8522222222222222,0.9444444444444444
2,0,2012-07-02,1,1,0,0,0.0,1.0
12,3,2012-07-09,1,4,0,0,0.875,1.0
30,12,2012-07-16,4,7,1,6,0.9757142857142858,0.8571428571428571
7,4,2012-07-23,0,2,0,2,1.0,1.0
2,1,2012-07-30,0,1,0,0,1.0,1.0
2,0,2012-08-06,0,1,0,0,1.0,1.0
0,0,2012-08-13,0,0,0,0,0.0,0.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
2,1,2012-08-27,0,1,0,0,1.0,1.0
0,0,2012-09-03,0,0,0,0,0.0,0.0
0,0,2012-09-10,0,0,0,0,0.0,0.0
2,0,2012-09-17,0,1,0,0,1.0,1.0
12,6,2012-09-24,0,2,2,0,0.7,0.5
4,1,2012-10-01,1,1,0,0,0.5,1.0
0,0,2012-10-08,0,0,0,0,0.0,0.0
2,0,2012-10-15,0,1,0,0,1.0,1.0
4,0,2012-10-22,0,1,0,0,1.0,0.0
0,0,2012-10-29,0,0,0,0,0.0,0.0
11,9,2012-11-05,0,3,0,0,1.0,1.0
0,0,2012-11-12,0,0,0,0,0.0,0.0
0,0,2012-11-19,0,0,0,0,0.0,0.0
0,0,2012-11-26,0,0,0,0,0.0,0.0
0,0,2012-12-03,0,0,0,0,0.0,0.0
0,0,2012-12-10,0,0,0,0,0.0,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
0,0,2012-12-31,0,0,0,0,0.0,0.0
0,0,2013-01-07,0,0,0,0,0.0,0.0
0,0,2013-01-14,0,0,0,0,0.0,0.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
2,0,2013-03-25,0,1,0,0,1.0,1.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
4,0,2013-04-29,0,2,0,0,0.5,1.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
2,0,2013-05-13,0,1,0,0,0.0,1.0
7,4,2013-05-20,0,2,0,0,1.0,1.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
14,11,2013-06-03,0,2,0,0,1.0,0.8
0,0,2013-06-10,0,0,0,0,0.0,0.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
6,1,2013-07-01,1,2,0,0,1.0,0.835
2,1,2013-07-08,0,1,0,0,1.0,1.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
5,2,2013-07-22,0,2,0,0,1.0,1.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
7,2,2013-08-05,0,2,0,0,0.625,1.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
3,2,2013-09-16,0,1,0,0,1.0,1.0
4,4,2013-09-23,0,1,0,0,1.0,1.0
4,0,2013-09-30,0,2,0,0,1.0,1.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
2,0,2013-10-21,0,1,0,0,1.0,1.0
2,1,2013-10-28,0,1,0,1,1.0,1.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
4,2,2013-12-02,0,1,0,2,1.0,1.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
2,1,2013-12-30,0,1,0,0,1.0,1.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
5,2,2014-01-27,0,1,0,0,0.5,1.0
2,1,2014-02-03,0,1,0,0,1.0,1.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
3,0,2014-02-17,1,1,0,0,0.0,1.0
4,0,2014-02-24,0,1,0,0,1.0,0.5
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
2,1,2014-04-21,0,1,0,0,1.0,1.0
0,0,2014-04-28,0,0,0,0,0.0,0.0
6,4,2014-05-05,0,1,0,0,1.0,1.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
5,1,2014-06-16,1,1,1,0,0.0,0.75
0,0,2014-06-23,0,0,0,0,0.0,0.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
7,4,2014-07-21,0,1,4,0,0.33,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
9,3,2014-08-04,0,2,3,0,0.7,0.5
2,0,2014-08-11,0,1,0,0,0.0,1.0
4,1,2014-08-18,0,1,0,0,1.0,0.6699999999999999
15,11,2014-08-25,4,2,5,0,0.3,0.575
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
0,0,2014-09-15,0,0,0,0,0.0,0.0
7,3,2014-09-22,0,2,0,0,1.0,1.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
3,1,2014-10-20,0,1,0,1,1.0,1.0
3,0,2014-10-27,0,1,0,0,1.0,1.0
2,0,2014-11-03,0,1,0,0,1.0,1.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
0,0,2014-11-24,0,0,0,0,0.0,0.0
0,0,2014-12-01,0,0,0,0,0.0,0.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
14,10,2014-12-15,1,2,0,0,0.455,1.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
3,2,2015-01-12,0,1,0,0,1.0,1.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
2,1,2015-01-26,0,1,0,0,1.0,1.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
2,1,2015-02-09,0,1,0,0,1.0,1.0
5,3,2015-02-16,0,1,0,1,1.0,1.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
3,2,2015-04-20,0,1,0,0,1.0,1.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
0,0,2015-05-11,0,0,0,0,0.0,0.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
0,0,2015-05-25,0,0,0,0,0.0,0.0
0,0,2015-06-01,0,0,0,0,0.0,0.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
