cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
13,4,2013-07-01,1,5,0,1,0.9,0.8
18,9,2013-07-08,0,5,0,1,0.7340000000000001,1.0
26,14,2013-07-15,2,4,0,0,0.855,0.97
45,29,2013-07-22,0,11,0,0,0.9545454545454546,1.0
5,1,2013-07-29,0,2,0,0,1.0,1.0
67,35,2013-08-05,3,13,1,1,0.936153846153846,0.9807692307692308
16,10,2013-08-12,0,4,0,0,0.7925,0.875
2,1,2013-08-19,0,1,1,0,0.0,0.0
2,0,2013-08-26,0,1,0,0,0.0,1.0
2,1,2013-09-02,0,1,0,0,1.0,1.0
18,19,2013-09-09,0,3,0,0,1.0,1.0
0,0,2013-09-16,0,0,0,0,0.0,0.0
22,28,2013-09-23,1,5,0,1,1.0,0.7
7,3,2013-09-30,1,2,0,0,1.0,0.835
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
3,1,2013-10-21,0,1,0,0,1.0,1.0
8,5,2013-10-28,0,3,0,2,1.0,1.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
3,2,2013-12-02,0,1,0,0,1.0,1.0
6,2,2013-12-09,0,2,0,0,0.75,1.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
3,1,2013-12-30,0,1,0,1,1.0,1.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
2,1,2014-01-20,0,1,0,1,1.0,1.0
5,6,2014-01-27,0,1,0,0,1.0,1.0
5,2,2014-02-03,0,2,0,0,1.0,1.0
9,5,2014-02-10,0,2,0,0,1.0,0.9
5,1,2014-02-17,0,2,0,0,1.0,0.5
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
2,1,2014-03-10,0,1,0,0,1.0,1.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
7,3,2014-04-14,0,2,0,2,1.0,1.0
14,12,2014-04-21,0,3,0,0,1.0,1.0
4,2,2014-04-28,0,1,0,1,1.0,1.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
