cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
10,3,2013-07-22,0,3,0,0,1.0,0.8333333333333334
9,9,2013-07-29,0,1,0,6,1.0,1.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
0,0,2013-09-16,0,0,0,0,0.0,0.0
0,0,2013-09-23,0,0,0,0,0.0,0.0
0,0,2013-09-30,0,0,0,0,0.0,0.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
27,19,2014-04-14,0,7,0,3,0.9642857142857144,0.9285714285714286
5,2,2014-04-21,1,1,1,0,0.5,0.6699999999999999
4,2,2014-04-28,0,1,0,0,1.0,0.6699999999999999
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
