cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
5,2,2011-09-05,0,1,0,0,0.5,1.0
2,0,2011-09-12,0,1,0,0,0.0,1.0
0,0,2011-09-19,0,0,0,0,0.0,0.0
0,0,2011-09-26,0,0,0,0,0.0,0.0
12,4,2011-10-03,1,3,0,2,0.61,1.0
18,15,2011-10-10,5,1,5,0,0.6699999999999999,0.6699999999999999
0,0,2011-10-17,0,0,0,0,0.0,0.0
0,0,2011-10-24,0,0,0,0,0.0,0.0
13,8,2011-10-31,0,2,3,0,0.45,0.625
4,1,2011-11-07,0,1,1,0,0.6699999999999999,0.0
0,0,2011-11-14,0,0,0,0,0.0,0.0
21,10,2011-11-21,2,4,2,1,0.8925,0.75
17,13,2011-11-28,1,4,1,0,0.95,0.4375
11,2,2011-12-05,1,5,0,0,0.8,0.7
0,0,2011-12-12,0,0,0,0,0.0,0.0
5,0,2011-12-19,0,2,0,0,0.5,1.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
0,0,2012-01-09,0,0,0,0,0.0,0.0
0,0,2012-01-16,0,0,0,0,0.0,0.0
6,3,2012-01-23,0,2,0,0,1.0,1.0
0,0,2012-01-30,0,0,0,0,0.0,0.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
0,0,2012-02-13,0,0,0,0,0.0,0.0
2,1,2012-02-20,0,1,0,0,1.0,1.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
4,2,2012-03-05,0,1,0,0,1.0,1.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
4,2,2012-04-02,0,2,0,0,1.0,1.0
16,14,2012-04-09,0,3,2,2,0.9166666666666666,0.8666666666666667
6,3,2012-04-16,0,2,0,0,1.0,1.0
21,10,2012-04-23,1,6,1,3,0.75,0.8333333333333334
6,2,2012-04-30,0,1,0,0,0.6,1.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
6,3,2012-05-14,0,2,0,0,1.0,1.0
14,9,2012-05-21,0,4,0,0,0.9175,1.0
15,8,2012-05-28,0,3,0,0,0.6666666666666666,0.7933333333333333
35,30,2012-06-04,1,7,2,0,0.7185714285714286,0.7857142857142857
5,1,2012-06-11,1,1,1,0,0.0,0.75
11,4,2012-06-18,1,5,0,0,0.8,0.8
15,15,2012-06-25,0,3,0,0,0.6666666666666666,1.0
35,20,2012-07-02,5,9,0,1,0.7744444444444444,0.8888888888888888
8,4,2012-07-09,1,2,0,0,0.835,0.5
42,49,2012-07-16,2,6,2,3,0.9116666666666666,0.9383333333333334
21,15,2012-07-23,1,4,0,0,0.6875,1.0
0,0,2012-07-30,0,0,0,0,0.0,0.0
5,3,2012-08-06,0,1,0,0,0.75,1.0
12,4,2012-08-13,0,3,0,0,0.9333333333333332,0.6666666666666666
20,11,2012-08-20,0,6,0,0,0.745,1.0
25,9,2012-08-27,2,5,2,0,0.9,0.424
2,0,2012-09-03,0,1,0,0,1.0,1.0
7,3,2012-09-10,0,2,1,0,0.75,0.5
11,7,2012-09-17,1,2,0,0,0.835,0.75
11,7,2012-09-24,0,2,0,0,0.8,0.835
0,0,2012-10-01,0,0,0,0,0.0,0.0
4,0,2012-10-08,2,1,0,0,0.5,1.0
0,0,2012-10-15,0,0,0,0,0.0,0.0
7,4,2012-10-22,0,2,0,0,1.0,1.0
0,0,2012-10-29,0,0,0,0,0.0,0.0
3,0,2012-11-05,0,1,0,0,1.0,1.0
0,0,2012-11-12,0,0,0,0,0.0,0.0
0,0,2012-11-19,0,0,0,0,0.0,0.0
11,9,2012-11-26,0,1,5,0,0.5,0.44
12,7,2012-12-03,1,3,2,0,0.6666666666666666,0.5833333333333334
0,0,2012-12-10,0,0,0,0,0.0,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
4,2,2012-12-31,0,2,0,0,1.0,1.0
3,2,2013-01-07,0,1,0,0,1.0,1.0
22,10,2013-01-14,2,5,0,2,1.0,0.72
21,6,2013-01-21,1,7,1,0,0.6428571428571429,0.7142857142857143
2,1,2013-01-28,0,1,0,0,1.0,1.0
14,7,2013-02-04,0,5,1,0,0.8,0.9
32,19,2013-02-11,0,10,1,2,0.8710000000000001,0.8
9,4,2013-02-18,2,2,2,1,0.335,0.585
4,2,2013-02-25,0,1,0,1,1.0,1.0
3,0,2013-03-04,0,1,0,0,0.0,1.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
33,18,2013-03-18,2,10,1,1,0.95,0.917
33,16,2013-03-25,0,12,1,2,0.9583333333333334,0.9725
4,2,2013-04-01,0,1,0,0,0.5,1.0
18,5,2013-04-08,0,6,2,1,0.8333333333333334,0.4716666666666667
5,1,2013-04-15,0,2,0,0,0.5,1.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
14,5,2013-04-29,1,6,0,0,0.8333333333333334,0.9166666666666666
5,1,2013-05-06,0,2,1,0,0.0,0.75
35,25,2013-05-13,0,7,1,2,0.8571428571428571,0.9714285714285714
9,6,2013-05-20,0,3,0,0,1.0,1.0
59,51,2013-05-27,1,14,2,0,0.905,0.9528571428571428
35,38,2013-06-03,0,5,0,1,0.912,1.0
11,10,2013-06-10,6,1,4,2,0.6,0.6699999999999999
4,1,2013-06-17,0,2,0,0,1.0,1.0
2,1,2013-06-24,0,1,0,0,1.0,1.0
96,69,2013-07-01,0,25,0,1,0.93,0.9656
63,41,2013-07-08,0,15,2,3,0.892,0.8
73,49,2013-07-15,2,16,1,0,0.811875,0.8625
53,47,2013-07-22,0,14,0,0,0.905,1.0
43,24,2013-07-29,0,12,0,0,0.875,1.0
103,66,2013-08-05,1,25,1,0,0.7924000000000001,0.9136
72,57,2013-08-12,1,15,5,0,0.8593333333333334,0.8813333333333334
8,3,2013-08-19,0,3,0,0,1.0,0.5566666666666666
14,7,2013-08-26,0,5,0,0,0.6,1.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
14,9,2013-09-09,0,4,2,1,0.8325,0.75
17,6,2013-09-16,1,5,1,0,0.9,0.884
56,47,2013-09-23,0,13,3,0,0.7438461538461538,0.8053846153846155
27,16,2013-09-30,0,7,0,2,1.0,0.9528571428571428
17,10,2013-10-07,0,4,1,0,0.875,0.75
12,4,2013-10-14,0,5,0,0,1.0,1.0
40,25,2013-10-21,0,10,0,0,0.975,0.9670000000000001
24,9,2013-10-28,1,9,0,1,0.8888888888888888,0.8055555555555556
42,32,2013-11-04,0,11,0,0,0.9090909090909092,1.0
42,44,2013-11-11,1,10,0,0,0.963,1.0
9,4,2013-11-18,0,4,0,0,1.0,1.0
8,2,2013-11-25,1,4,0,0,0.75,1.0
41,20,2013-12-02,1,14,0,0,0.8571428571428571,0.7857142857142857
21,5,2013-12-09,0,6,1,0,0.5,0.9583333333333334
20,11,2013-12-16,2,5,0,0,1.0,0.95
2,0,2013-12-23,0,1,0,0,0.0,1.0
6,2,2013-12-30,0,3,0,0,1.0,1.0
4,3,2014-01-06,0,1,0,0,1.0,1.0
7,2,2014-01-13,0,3,0,0,1.0,1.0
51,31,2014-01-20,4,12,1,2,0.8816666666666667,0.925
44,29,2014-01-27,2,11,1,0,0.8336363636363636,0.7272727272727273
6,2,2014-02-03,0,3,0,0,0.6666666666666666,1.0
8,3,2014-02-10,0,4,0,0,0.75,1.0
10,7,2014-02-17,0,3,0,0,1.0,1.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
4,2,2014-03-03,0,2,0,0,1.0,1.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
6,2,2014-04-07,1,1,2,0,0.0,0.6
32,16,2014-04-14,2,9,0,1,0.9633333333333334,0.7411111111111109
11,5,2014-04-21,0,3,0,0,0.8333333333333334,0.8333333333333334
13,7,2014-04-28,0,4,0,1,1.0,0.75
10,5,2014-05-05,0,3,0,0,0.6666666666666666,1.0
2,0,2014-05-12,1,1,0,0,0.0,1.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
2,1,2014-05-26,0,1,0,0,1.0,1.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
7,1,2014-06-09,0,3,0,0,1.0,0.3333333333333333
8,3,2014-06-16,0,3,0,0,0.6666666666666666,1.0
9,9,2014-06-23,0,2,0,0,1.0,1.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
13,7,2014-07-07,1,4,0,0,0.75,0.9175
18,22,2014-07-14,0,5,1,0,0.6,0.5660000000000001
33,22,2014-07-21,0,10,0,0,1.0,1.0
36,24,2014-07-28,0,9,0,2,0.8077777777777777,0.8333333333333334
8,3,2014-08-04,0,2,3,0,0.2,0.5
37,34,2014-08-11,0,9,0,0,0.8888888888888888,0.9811111111111112
10,4,2014-08-18,0,4,0,0,1.0,0.9175
9,2,2014-08-25,2,3,0,2,1.0,0.89
22,10,2014-09-01,0,8,0,0,1.0,1.0
4,2,2014-09-08,0,2,0,0,1.0,1.0
6,4,2014-09-15,0,2,0,0,1.0,1.0
39,19,2014-09-22,3,9,3,1,0.8111111111111111,0.7588888888888891
38,14,2014-09-29,0,13,0,0,0.6284615384615384,0.9230769230769232
52,40,2014-10-06,0,14,3,0,0.8692857142857143,0.905
58,34,2014-10-13,0,20,0,0,0.9875,0.9
23,5,2014-10-20,3,8,0,0,0.6875,0.875
18,15,2014-10-27,0,3,0,0,0.89,0.75
15,9,2014-11-03,0,4,0,0,1.0,1.0
5,3,2014-11-10,0,2,0,0,1.0,1.0
35,35,2014-11-17,0,9,0,0,0.9444444444444444,0.8888888888888888
34,33,2014-11-24,0,8,0,0,0.83375,1.0
36,22,2014-12-01,0,11,0,2,1.0,0.94
84,39,2014-12-08,4,24,0,0,0.95,0.9241666666666668
30,25,2014-12-15,0,7,0,0,0.9285714285714286,0.7957142857142857
42,21,2014-12-22,0,13,1,0,0.8784615384615384,0.7692307692307693
8,2,2014-12-29,1,3,0,0,0.6666666666666666,1.0
25,13,2015-01-05,0,9,1,0,0.6666666666666666,0.8888888888888888
54,25,2015-01-12,3,14,1,1,0.89,0.8014285714285714
89,78,2015-01-19,2,20,2,1,0.8815000000000002,0.929
40,31,2015-01-26,0,12,0,0,1.0,0.9791666666666666
10,4,2015-02-02,0,4,0,0,0.75,0.75
60,37,2015-02-09,2,16,0,0,0.76875,0.96875
9,4,2015-02-16,0,3,0,0,1.0,1.0
35,23,2015-02-23,0,12,3,0,0.8833333333333333,0.8958333333333334
26,13,2015-03-02,0,10,0,0,0.9,0.975
34,10,2015-03-09,1,12,0,0,0.8333333333333334,0.8925000000000001
17,18,2015-03-16,0,5,0,0,1.0,0.8
70,59,2015-03-23,2,16,3,2,0.875,0.875
33,23,2015-03-30,0,8,0,0,1.0,0.8125
38,19,2015-04-06,1,12,0,0,0.6808333333333333,1.0
14,5,2015-04-13,0,5,0,0,0.76,1.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
2,0,2015-05-11,0,1,0,0,0.0,1.0
2,1,2015-05-18,0,1,0,0,1.0,1.0
16,12,2015-05-25,0,2,0,0,0.94,0.5
3,2,2015-06-01,0,1,0,0,1.0,1.0
6,3,2015-06-08,0,3,0,0,1.0,1.0
4,2,2015-06-15,0,1,0,0,1.0,0.6699999999999999
0,0,2015-06-22,0,0,0,0,0.0,0.0
