cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
10,3,2011-09-12,0,2,1,0,0.3,0.75
0,0,2011-09-19,0,0,0,0,0.0,0.0
3,2,2011-09-26,0,1,0,0,1.0,1.0
2,1,2011-10-03,0,1,0,0,1.0,1.0
0,0,2011-10-10,0,0,0,0,0.0,0.0
0,0,2011-10-17,0,0,0,0,0.0,0.0
0,0,2011-10-24,0,0,0,0,0.0,0.0
14,11,2011-10-31,3,2,1,0,0.45,0.5
0,0,2011-11-07,0,0,0,0,0.0,0.0
9,3,2011-11-14,1,3,1,0,0.6666666666666666,0.5566666666666666
13,6,2011-11-21,2,3,2,1,0.9033333333333332,0.5
5,6,2011-11-28,0,1,0,0,1.0,1.0
2,1,2011-12-05,0,1,0,0,1.0,1.0
5,0,2011-12-12,2,1,0,0,0.5,1.0
4,2,2011-12-19,0,1,0,0,1.0,1.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
4,3,2012-01-09,0,1,0,0,1.0,1.0
10,7,2012-01-16,1,1,2,0,0.5,0.75
16,18,2012-01-23,1,3,0,1,0.6666666666666666,0.9333333333333332
0,0,2012-01-30,0,0,0,0,0.0,0.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
9,1,2012-02-13,2,1,0,1,1.0,0.75
2,1,2012-02-20,0,1,0,0,1.0,1.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
3,1,2012-03-05,0,1,0,0,1.0,1.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
0,0,2012-04-02,0,0,0,0,0.0,0.0
9,15,2012-04-09,0,1,0,0,0.75,1.0
5,1,2012-04-16,0,2,0,0,0.5,1.0
4,0,2012-04-23,1,2,0,0,1.0,0.0
2,1,2012-04-30,0,1,1,0,0.0,0.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
9,3,2012-05-14,0,3,0,0,1.0,0.5
31,23,2012-05-21,0,9,1,0,0.8888888888888888,0.8611111111111112
19,11,2012-05-28,0,4,0,1,1.0,0.875
49,84,2012-06-04,4,4,8,2,0.7575000000000001,0.825
9,0,2012-06-11,1,3,0,0,0.5566666666666666,0.6666666666666666
4,2,2012-06-18,0,1,0,0,1.0,0.5
23,46,2012-06-25,0,3,0,0,1.0,0.9333333333333332
10,8,2012-07-02,0,2,0,0,1.0,1.0
16,9,2012-07-09,2,3,1,1,0.89,0.9166666666666666
41,30,2012-07-16,2,7,0,2,0.9714285714285714,0.8571428571428571
45,36,2012-07-23,1,11,0,0,0.9518181818181816,1.0
12,7,2012-07-30,0,3,0,0,1.0,0.75
8,2,2012-08-06,0,1,0,0,1.0,0.5700000000000001
2,1,2012-08-13,0,1,0,0,1.0,1.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
8,6,2012-08-27,0,2,0,0,1.0,0.835
3,0,2012-09-03,0,1,0,0,1.0,1.0
3,0,2012-09-10,0,1,0,0,1.0,1.0
12,2,2012-09-17,1,5,0,0,1.0,0.9
2,1,2012-09-24,0,1,0,0,1.0,1.0
0,0,2012-10-01,0,0,0,0,0.0,0.0
5,1,2012-10-08,0,2,0,0,0.75,1.0
3,2,2012-10-15,0,1,0,0,1.0,1.0
9,4,2012-10-22,1,2,0,1,0.625,1.0
8,1,2012-10-29,1,2,0,1,0.5,1.0
19,5,2012-11-05,0,6,2,0,0.6666666666666666,0.5566666666666666
24,19,2012-11-12,0,5,0,0,0.6,0.91
7,2,2012-11-19,0,3,0,0,0.6666666666666666,1.0
15,5,2012-11-26,1,6,1,0,0.75,0.6666666666666666
14,7,2012-12-03,0,5,0,0,0.934,1.0
15,3,2012-12-10,4,2,0,0,0.5,0.8
2,1,2012-12-17,0,1,0,0,1.0,1.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
5,3,2012-12-31,0,2,0,0,1.0,1.0
4,2,2013-01-07,0,1,0,0,1.0,0.6699999999999999
9,6,2013-01-14,0,2,0,0,1.0,1.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
7,2,2013-02-04,0,3,0,0,0.3333333333333333,1.0
12,10,2013-02-11,0,3,1,0,0.5566666666666666,0.9333333333333332
7,1,2013-02-18,1,2,0,1,0.835,1.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
4,2,2013-03-04,0,1,0,0,0.5,1.0
2,0,2013-03-11,0,1,0,0,1.0,1.0
12,3,2013-03-18,0,4,0,0,1.0,0.4
2,0,2013-03-25,0,1,0,0,1.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
2,1,2013-04-08,0,1,1,0,0.0,0.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
3,0,2013-04-29,0,1,0,0,1.0,1.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
13,6,2013-05-13,1,4,1,0,0.5,0.6875
2,1,2013-05-20,0,1,0,0,1.0,1.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
6,2,2013-06-03,0,2,0,0,1.0,1.0
