cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2011-11-21,0,1,0,0,1.0,1.0
0,0,2011-11-28,0,0,0,0,0.0,0.0
2,1,2011-12-05,0,1,0,0,1.0,1.0
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
3,1,2011-12-26,0,1,1,0,0.5,0.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
0,0,2012-01-09,0,0,0,0,0.0,0.0
0,0,2012-01-16,0,0,0,0,0.0,0.0
0,0,2012-01-23,0,0,0,0,0.0,0.0
0,0,2012-01-30,0,0,0,0,0.0,0.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
0,0,2012-02-13,0,0,0,0,0.0,0.0
0,0,2012-02-20,0,0,0,0,0.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
0,0,2012-04-02,0,0,0,0,0.0,0.0
0,0,2012-04-09,0,0,0,0,0.0,0.0
0,0,2012-04-16,0,0,0,0,0.0,0.0
0,0,2012-04-23,0,0,0,0,0.0,0.0
0,0,2012-04-30,0,0,0,0,0.0,0.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
0,0,2012-05-14,0,0,0,0,0.0,0.0
2,1,2012-05-21,0,1,0,0,1.0,1.0
2,1,2012-05-28,0,1,0,0,1.0,1.0
0,0,2012-06-04,0,0,0,0,0.0,0.0
0,0,2012-06-11,0,0,0,0,0.0,0.0
0,0,2012-06-18,0,0,0,0,0.0,0.0
12,8,2012-06-25,0,4,0,0,1.0,0.9175
16,10,2012-07-02,0,4,0,0,1.0,1.0
28,22,2012-07-09,1,6,0,1,0.8683333333333333,0.945
5,3,2012-07-16,0,2,0,0,1.0,1.0
18,7,2012-07-23,0,4,0,0,1.0,0.95
14,19,2012-07-30,0,2,0,0,0.915,1.0
5,0,2012-08-06,0,1,0,0,0.0,1.0
6,3,2012-08-13,0,1,0,0,1.0,0.8
13,3,2012-08-20,0,5,0,0,1.0,1.0
5,4,2012-08-27,0,1,0,0,1.0,1.0
12,4,2012-09-03,0,4,0,0,1.0,0.875
0,0,2012-09-10,0,0,0,0,0.0,0.0
20,9,2012-09-17,0,6,0,1,1.0,0.9583333333333334
8,6,2012-09-24,0,2,0,0,1.0,1.0
0,0,2012-10-01,0,0,0,0,0.0,0.0
0,0,2012-10-08,0,0,0,0,0.0,0.0
0,0,2012-10-15,0,0,0,0,0.0,0.0
9,6,2012-10-22,0,2,0,3,1.0,1.0
0,0,2012-10-29,0,0,0,0,0.0,0.0
14,6,2012-11-05,0,6,0,0,1.0,1.0
0,0,2012-11-12,0,0,0,0,0.0,0.0
7,5,2012-11-19,0,2,0,0,1.0,1.0
5,2,2012-11-26,0,1,0,0,0.75,1.0
2,1,2012-12-03,0,1,0,0,1.0,1.0
14,7,2012-12-10,1,3,0,1,0.7666666666666666,1.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
2,1,2012-12-31,0,1,0,0,1.0,1.0
3,2,2013-01-07,0,1,0,0,1.0,1.0
0,0,2013-01-14,0,0,0,0,0.0,0.0
2,0,2013-01-21,0,1,0,0,1.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
7,3,2013-03-25,0,2,0,0,0.875,1.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
2,0,2013-04-08,0,1,0,0,1.0,0.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
0,0,2013-04-29,0,0,0,0,0.0,0.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
3,0,2013-05-27,0,1,0,0,1.0,1.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
0,0,2013-07-08,0,0,0,0,0.0,0.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
10,6,2013-08-12,0,2,0,0,1.0,0.75
8,12,2013-08-19,0,1,0,0,1.0,0.75
4,4,2013-08-26,0,1,0,0,1.0,1.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
2,1,2013-09-09,0,1,0,0,1.0,1.0
