cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2011-11-28,0,1,0,0,1.0,1.0
14,7,2011-12-05,0,3,0,0,1.0,0.9166666666666666
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
2,0,2011-12-26,0,1,0,0,1.0,1.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
0,0,2012-01-09,0,0,0,0,0.0,0.0
3,2,2012-01-16,0,1,0,0,1.0,1.0
2,0,2012-01-23,0,1,0,0,1.0,1.0
2,1,2012-01-30,0,1,0,0,1.0,1.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
0,0,2012-02-13,0,0,0,0,0.0,0.0
0,0,2012-02-20,0,0,0,0,0.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
0,0,2012-04-02,0,0,0,0,0.0,0.0
9,6,2012-04-09,1,1,0,3,1.0,0.8
2,0,2012-04-16,0,1,0,0,1.0,1.0
2,1,2012-04-23,0,1,0,0,1.0,1.0
13,6,2012-04-30,2,3,0,2,0.8333333333333334,0.8666666666666667
0,0,2012-05-07,0,0,0,0,0.0,0.0
3,2,2012-05-14,0,1,0,0,1.0,1.0
3,1,2012-05-21,0,1,0,0,1.0,1.0
13,5,2012-05-28,0,3,0,0,1.0,0.8333333333333334
12,5,2012-06-04,0,4,0,0,1.0,0.75
33,13,2012-06-11,6,9,1,2,0.7411111111111109,0.9222222222222224
9,8,2012-06-18,0,1,0,0,1.0,1.0
13,4,2012-06-25,0,5,0,0,1.0,0.9
0,0,2012-07-02,0,0,0,0,0.0,0.0
30,32,2012-07-09,0,5,0,0,0.9420000000000001,0.9
28,9,2012-07-16,0,8,1,0,0.875,0.795
0,0,2012-07-23,0,0,0,0,0.0,0.0
13,8,2012-07-30,0,4,1,0,0.75,0.6875
11,1,2012-08-06,0,5,0,0,1.0,1.0
0,0,2012-08-13,0,0,0,0,0.0,0.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
8,3,2012-08-27,0,3,0,2,1.0,1.0
0,0,2012-09-03,0,0,0,0,0.0,0.0
2,1,2012-09-10,0,1,0,1,1.0,1.0
4,0,2012-09-17,0,2,0,0,0.5,0.5
0,0,2012-09-24,0,0,0,0,0.0,0.0
0,0,2012-10-01,0,0,0,0,0.0,0.0
0,0,2012-10-08,0,0,0,0,0.0,0.0
0,0,2012-10-15,0,0,0,0,0.0,0.0
0,0,2012-10-22,0,0,0,0,0.0,0.0
0,0,2012-10-29,0,0,0,0,0.0,0.0
4,3,2012-11-05,0,1,0,0,1.0,1.0
0,0,2012-11-12,0,0,0,0,0.0,0.0
0,0,2012-11-19,0,0,0,0,0.0,0.0
0,0,2012-11-26,0,0,0,0,0.0,0.0
0,0,2012-12-03,0,0,0,0,0.0,0.0
0,0,2012-12-10,0,0,0,0,0.0,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
0,0,2012-12-31,0,0,0,0,0.0,0.0
3,1,2013-01-07,0,1,0,0,1.0,1.0
0,0,2013-01-14,0,0,0,0,0.0,0.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
2,0,2013-03-25,0,1,0,0,1.0,1.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
2,1,2013-04-29,0,1,0,0,1.0,1.0
3,1,2013-05-06,0,1,0,1,1.0,1.0
