cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,1,2011-10-10,0,1,0,0,1.0,0.5
0,0,2011-10-17,0,0,0,0,0.0,0.0
0,0,2011-10-24,0,0,0,0,0.0,0.0
0,0,2011-10-31,0,0,0,0,0.0,0.0
0,0,2011-11-07,0,0,0,0,0.0,0.0
0,0,2011-11-14,0,0,0,0,0.0,0.0
0,0,2011-11-21,0,0,0,0,0.0,0.0
2,0,2011-11-28,0,1,0,0,1.0,0.0
3,1,2011-12-05,0,1,0,0,1.0,0.5
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
2,1,2012-01-02,0,1,0,0,1.0,1.0
0,0,2012-01-09,0,0,0,0,0.0,0.0
7,6,2012-01-16,0,1,0,2,1.0,1.0
6,6,2012-01-23,0,1,0,0,1.0,0.6699999999999999
2,1,2012-01-30,0,1,0,0,1.0,1.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
0,0,2012-02-13,0,0,0,0,0.0,0.0
0,0,2012-02-20,0,0,0,0,0.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
0,0,2012-04-02,0,0,0,0,0.0,0.0
0,0,2012-04-09,0,0,0,0,0.0,0.0
5,2,2012-04-16,0,2,0,0,1.0,1.0
8,4,2012-04-23,1,2,0,0,0.5,1.0
6,8,2012-04-30,0,1,0,0,1.0,1.0
2,1,2012-05-07,0,1,0,0,1.0,1.0
0,0,2012-05-14,0,0,0,0,0.0,0.0
6,6,2012-05-21,0,1,0,0,1.0,1.0
3,2,2012-05-28,0,1,0,0,1.0,1.0
13,9,2012-06-04,0,3,0,0,1.0,0.8666666666666667
14,9,2012-06-11,0,3,1,0,0.6666666666666666,0.8066666666666666
0,0,2012-06-18,0,0,0,0,0.0,0.0
7,10,2012-06-25,0,1,0,0,1.0,1.0
16,7,2012-07-02,0,4,0,4,1.0,0.5
18,9,2012-07-09,0,4,0,1,1.0,0.75
16,9,2012-07-16,0,6,0,0,1.0,1.0
2,1,2012-07-23,0,1,0,0,1.0,1.0
2,0,2012-07-30,0,1,0,0,1.0,1.0
9,3,2012-08-06,0,3,0,0,1.0,1.0
8,5,2012-08-13,0,3,0,0,1.0,1.0
6,4,2012-08-20,0,2,0,0,1.0,1.0
7,2,2012-08-27,0,3,0,0,1.0,0.6666666666666666
0,0,2012-09-03,0,0,0,0,0.0,0.0
0,0,2012-09-10,0,0,0,0,0.0,0.0
2,0,2012-09-17,0,1,0,0,1.0,1.0
10,7,2012-09-24,1,2,0,1,0.835,0.835
4,2,2012-10-01,0,1,0,0,1.0,1.0
3,1,2012-10-08,0,1,0,0,1.0,1.0
9,6,2012-10-15,0,2,0,0,1.0,1.0
0,0,2012-10-22,0,0,0,0,0.0,0.0
0,0,2012-10-29,0,0,0,0,0.0,0.0
0,0,2012-11-05,0,0,0,0,0.0,0.0
0,0,2012-11-12,0,0,0,0,0.0,0.0
4,0,2012-11-19,1,1,0,0,1.0,0.0
0,0,2012-11-26,0,0,0,0,0.0,0.0
0,0,2012-12-03,0,0,0,0,0.0,0.0
0,0,2012-12-10,0,0,0,0,0.0,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
3,2,2012-12-31,0,1,0,0,1.0,1.0
12,6,2013-01-07,0,5,0,1,1.0,1.0
2,0,2013-01-14,0,1,0,0,1.0,1.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
2,1,2013-01-28,0,1,0,0,1.0,1.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
3,1,2013-02-18,0,1,1,0,0.0,0.5
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
11,5,2013-03-25,0,3,0,1,0.9166666666666666,1.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
8,3,2013-04-08,0,3,0,0,1.0,0.7766666666666667
10,6,2013-04-15,0,2,0,0,1.0,0.5
3,1,2013-04-22,0,1,0,0,1.0,1.0
13,17,2013-04-29,0,2,0,0,1.0,1.0
5,3,2013-05-06,0,1,0,2,1.0,1.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
4,2,2013-05-20,0,1,0,0,1.0,0.6699999999999999
0,0,2013-05-27,0,0,0,0,0.0,0.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
0,0,2013-07-08,0,0,0,0,0.0,0.0
12,7,2013-07-15,0,3,0,0,0.9166666666666666,1.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
7,5,2013-08-12,0,2,0,0,1.0,0.75
0,0,2013-08-19,0,0,0,0,0.0,0.0
3,1,2013-08-26,0,1,0,0,1.0,1.0
6,2,2013-09-02,0,3,0,0,0.6666666666666666,1.0
