cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
9,9,2011-11-28,0,2,0,0,1.0,1.0
8,6,2011-12-05,0,2,0,0,1.0,0.835
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
2,0,2012-01-02,0,1,0,0,1.0,0.0
0,0,2012-01-09,0,0,0,0,0.0,0.0
0,0,2012-01-16,0,0,0,0,0.0,0.0
0,0,2012-01-23,0,0,0,0,0.0,0.0
0,0,2012-01-30,0,0,0,0,0.0,0.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
0,0,2012-02-13,0,0,0,0,0.0,0.0
0,0,2012-02-20,0,0,0,0,0.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
0,0,2012-04-02,0,0,0,0,0.0,0.0
0,0,2012-04-09,0,0,0,0,0.0,0.0
4,2,2012-04-16,0,2,0,0,1.0,1.0
5,3,2012-04-23,0,1,0,1,1.0,1.0
17,14,2012-04-30,0,4,0,0,1.0,1.0
5,2,2012-05-07,0,2,0,0,1.0,0.5
3,2,2012-05-14,0,1,0,0,1.0,1.0
7,1,2012-05-21,0,3,0,0,1.0,0.6666666666666666
16,16,2012-05-28,0,2,0,1,1.0,0.915
11,12,2012-06-04,0,3,0,0,1.0,1.0
10,4,2012-06-11,0,3,0,0,0.6666666666666666,1.0
0,0,2012-06-18,0,0,0,0,0.0,0.0
10,4,2012-06-25,0,2,0,0,0.5,0.9
7,6,2012-07-02,0,1,0,0,1.0,1.0
50,44,2012-07-09,3,8,0,1,0.9375,0.86
28,27,2012-07-16,1,5,0,0,0.742,1.0
22,41,2012-07-23,0,4,0,0,0.9775,1.0
13,9,2012-07-30,0,3,1,0,0.61,0.6666666666666666
6,2,2012-08-06,0,3,0,1,1.0,1.0
10,7,2012-08-13,0,2,0,1,1.0,1.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
3,2,2012-08-27,0,1,0,0,1.0,1.0
2,1,2012-09-03,0,1,0,0,1.0,1.0
2,0,2012-09-10,0,1,0,0,1.0,0.0
23,15,2012-09-17,1,6,0,1,1.0,0.8883333333333333
18,9,2012-09-24,1,5,1,0,0.934,0.5599999999999999
4,1,2012-10-01,0,2,0,0,0.5,1.0
14,5,2012-10-08,0,3,0,1,1.0,1.0
18,24,2012-10-15,1,4,0,1,1.0,0.965
7,2,2012-10-22,1,2,0,1,0.75,1.0
6,6,2012-10-29,0,1,0,0,0.6699999999999999,1.0
5,1,2012-11-05,0,2,0,0,1.0,1.0
7,3,2012-11-12,0,2,0,0,1.0,0.875
15,5,2012-11-19,2,4,0,0,1.0,0.5
32,18,2012-11-26,3,8,1,2,0.9275,0.875
10,5,2012-12-03,0,3,0,0,1.0,0.8333333333333334
22,18,2012-12-10,2,5,2,0,0.8939999999999999,0.92
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
21,14,2012-12-31,0,6,0,1,0.8333333333333334,1.0
25,14,2013-01-07,0,9,0,1,0.8888888888888888,1.0
5,1,2013-01-14,0,2,0,0,1.0,0.5
2,1,2013-01-21,0,1,0,1,1.0,1.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
3,0,2013-02-18,0,1,0,0,0.0,1.0
3,2,2013-02-25,0,1,0,0,1.0,1.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
3,1,2013-03-25,0,1,0,0,1.0,1.0
2,1,2013-04-01,0,1,0,0,1.0,1.0
5,2,2013-04-08,0,2,0,0,1.0,0.5
8,9,2013-04-15,0,2,1,0,0.5,0.5
0,0,2013-04-22,0,0,0,0,0.0,0.0
6,3,2013-04-29,0,2,0,0,1.0,0.75
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
2,1,2013-05-20,0,1,0,0,1.0,1.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
4,0,2013-06-10,0,1,0,0,1.0,1.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
0,0,2013-07-08,0,0,0,0,0.0,0.0
6,3,2013-07-15,0,2,0,0,1.0,1.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
25,18,2013-08-12,0,3,0,0,1.0,0.8633333333333333
22,22,2013-08-19,0,5,0,0,1.0,0.914
7,5,2013-08-26,0,2,0,0,1.0,1.0
9,3,2013-09-02,0,3,0,0,0.6666666666666666,1.0
2,1,2013-09-09,0,1,0,0,1.0,1.0
2,0,2013-09-16,0,1,0,0,1.0,1.0
