cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2014-07-28,0,1,0,0,1.0,1.0
0,0,2014-08-04,0,0,0,0,0.0,0.0
4,2,2014-08-11,0,2,0,0,1.0,1.0
2,0,2014-08-18,0,1,0,0,1.0,1.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
0,0,2014-09-15,0,0,0,0,0.0,0.0
0,0,2014-09-22,0,0,0,0,0.0,0.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
0,0,2014-11-24,0,0,0,0,0.0,0.0
0,0,2014-12-01,0,0,0,0,0.0,0.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
3,0,2014-12-22,0,1,0,0,1.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
0,0,2015-01-26,0,0,0,0,0.0,0.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
2,0,2015-02-09,0,1,0,0,1.0,1.0
2,0,2015-02-16,0,1,0,0,0.0,1.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
10,14,2015-03-02,0,1,2,0,0.6699999999999999,0.75
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
2,0,2015-03-30,0,1,0,0,1.0,1.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
0,0,2015-05-11,0,0,0,0,0.0,0.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
0,0,2015-05-25,0,0,0,0,0.0,0.0
0,0,2015-06-01,0,0,0,0,0.0,0.0
4,4,2015-06-08,0,1,0,0,1.0,1.0
