cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
12,8,2012-01-30,8,1,0,2,1.0,0.4300000000000001
0,0,2012-02-06,0,0,0,0,0.0,0.0
0,0,2012-02-13,0,0,0,0,0.0,0.0
4,0,2012-02-20,0,2,0,0,1.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
3,1,2012-03-26,0,1,0,0,0.5,1.0
3,2,2012-04-02,0,1,0,0,1.0,1.0
3,1,2012-04-09,0,1,0,0,1.0,1.0
0,0,2012-04-16,0,0,0,0,0.0,0.0
3,0,2012-04-23,0,1,0,0,1.0,1.0
