cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
22,35,2012-12-03,15,1,25,2,0.64,0.38
5,1,2012-12-10,2,1,1,0,0.75,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
0,0,2012-12-31,0,0,0,0,0.0,0.0
6,1,2013-01-07,0,1,0,0,0.4,1.0
0,0,2013-01-14,0,0,0,0,0.0,0.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
2,1,2013-04-08,0,1,0,1,1.0,1.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
2,0,2013-04-29,0,1,0,0,1.0,1.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
5,3,2013-06-24,0,2,0,0,1.0,1.0
22,9,2013-07-01,3,4,0,6,0.715,0.9575
23,23,2013-07-08,2,3,0,0,0.8666666666666667,0.89
7,1,2013-07-15,3,1,0,1,1.0,0.5
0,0,2013-07-22,0,0,0,0,0.0,0.0
2,1,2013-07-29,0,1,0,0,1.0,1.0
7,1,2013-08-05,2,1,0,1,0.6699999999999999,1.0
3,0,2013-08-12,1,1,0,0,1.0,0.0
2,0,2013-08-19,0,1,0,0,1.0,0.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
8,7,2013-09-16,0,1,0,0,1.0,1.0
27,9,2013-09-23,0,7,0,4,1.0,0.8099999999999999
6,2,2013-09-30,0,2,0,1,1.0,1.0
13,3,2013-10-07,1,5,0,2,1.0,0.6
0,0,2013-10-14,0,0,0,0,0.0,0.0
2,0,2013-10-21,0,1,0,0,1.0,1.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
9,10,2013-11-18,0,1,4,0,0.5,0.6
3,0,2013-11-25,2,1,0,0,1.0,0.0
14,0,2013-12-02,1,4,0,0,1.0,0.9175
7,1,2013-12-09,2,2,0,0,1.0,0.165
3,1,2013-12-16,0,1,0,0,1.0,1.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
2,0,2014-01-06,0,1,0,0,1.0,1.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
26,12,2014-01-20,1,8,2,1,0.9375,0.76625
40,31,2014-01-27,1,9,1,2,0.8611111111111112,0.9344444444444444
17,4,2014-02-03,4,3,0,4,0.6666666666666666,0.88
0,0,2014-02-10,0,0,0,0,0.0,0.0
3,1,2014-02-17,0,1,0,0,1.0,1.0
9,5,2014-02-24,0,2,0,0,1.0,1.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
12,1,2014-03-10,0,3,0,0,0.6666666666666666,1.0
14,6,2014-03-17,1,5,0,0,1.0,0.8
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
4,0,2014-04-14,0,2,0,0,1.0,1.0
0,0,2014-04-21,0,0,0,0,0.0,0.0
0,0,2014-04-28,0,0,0,0,0.0,0.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
9,5,2014-05-12,0,2,0,0,1.0,0.875
