cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
15,8,2013-07-08,0,3,0,0,0.8666666666666667,1.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
4,2,2013-08-05,0,1,0,0,1.0,1.0
11,9,2013-08-12,0,1,0,1,1.0,1.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
3,1,2013-08-26,1,1,0,1,0.5,1.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
0,0,2013-09-16,0,0,0,0,0.0,0.0
0,0,2013-09-23,0,0,0,0,0.0,0.0
3,1,2013-09-30,0,1,0,0,1.0,1.0
9,9,2013-10-07,2,1,0,0,0.6,1.0
7,4,2013-10-14,1,2,1,0,0.75,0.5
0,0,2013-10-21,0,0,0,0,0.0,0.0
10,2,2013-10-28,0,4,0,0,1.0,1.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
4,0,2013-11-18,0,2,0,0,1.0,1.0
25,19,2013-11-25,0,4,0,2,0.97,1.0
6,3,2013-12-02,0,2,0,0,1.0,1.0
2,1,2013-12-09,0,1,0,0,1.0,1.0
3,2,2013-12-16,0,1,0,0,1.0,1.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
4,1,2014-01-06,0,2,0,0,1.0,1.0
3,2,2014-01-13,0,1,0,0,1.0,1.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
12,10,2014-01-27,0,3,0,0,0.9166666666666666,0.8333333333333334
0,0,2014-02-03,0,0,0,0,0.0,0.0
3,0,2014-02-10,0,1,0,0,1.0,1.0
10,10,2014-02-17,2,1,0,0,1.0,0.71
8,10,2014-02-24,0,1,0,1,1.0,1.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
6,0,2014-03-10,0,2,0,0,0.5,1.0
6,1,2014-03-17,0,3,0,0,1.0,0.6666666666666666
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
2,1,2014-04-14,0,1,0,0,1.0,1.0
2,0,2014-04-21,0,1,0,0,1.0,0.0
0,0,2014-04-28,0,0,0,0,0.0,0.0
2,0,2014-05-05,0,1,0,0,1.0,1.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
2,1,2014-06-16,0,1,0,0,1.0,1.0
2,0,2014-06-23,0,1,0,0,1.0,1.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
0,0,2014-07-21,0,0,0,0,0.0,0.0
9,0,2014-07-28,1,1,0,0,1.0,0.88
