cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2010-09-13,0,1,0,0,1.0,1.0
0,0,2010-09-20,0,0,0,0,0.0,0.0
5,3,2010-09-27,0,1,0,3,1.0,1.0
15,8,2010-10-04,0,3,0,4,0.8666666666666667,1.0
0,0,2010-10-11,0,0,0,0,0.0,0.0
18,6,2010-10-18,2,5,0,2,0.8,0.75
0,0,2010-10-25,0,0,0,0,0.0,0.0
0,0,2010-11-01,0,0,0,0,0.0,0.0
0,0,2010-11-08,0,0,0,0,0.0,0.0
0,0,2010-11-15,0,0,0,0,0.0,0.0
0,0,2010-11-22,0,0,0,0,0.0,0.0
0,0,2010-11-29,0,0,0,0,0.0,0.0
0,0,2010-12-06,0,0,0,0,0.0,0.0
0,0,2010-12-13,0,0,0,0,0.0,0.0
0,0,2010-12-20,0,0,0,0,0.0,0.0
0,0,2010-12-27,0,0,0,0,0.0,0.0
0,0,2011-01-03,0,0,0,0,0.0,0.0
0,0,2011-01-10,0,0,0,0,0.0,0.0
2,1,2011-01-17,0,1,0,1,1.0,1.0
0,0,2011-01-24,0,0,0,0,0.0,0.0
10,13,2011-01-31,0,2,1,0,0.4,0.5
0,0,2011-02-07,0,0,0,0,0.0,0.0
0,0,2011-02-14,0,0,0,0,0.0,0.0
0,0,2011-02-21,0,0,0,0,0.0,0.0
0,0,2011-02-28,0,0,0,0,0.0,0.0
0,0,2011-03-07,0,0,0,0,0.0,0.0
0,0,2011-03-14,0,0,0,0,0.0,0.0
6,0,2011-03-21,0,1,0,0,1.0,0.8
34,22,2011-03-28,13,7,3,9,0.9642857142857144,0.7385714285714285
20,13,2011-04-04,1,5,1,4,0.75,0.76
0,0,2011-04-11,0,0,0,0,0.0,0.0
0,0,2011-04-18,0,0,0,0,0.0,0.0
0,0,2011-04-25,0,0,0,0,0.0,0.0
0,0,2011-05-02,0,0,0,0,0.0,0.0
3,0,2011-05-09,0,1,0,0,1.0,1.0
0,0,2011-05-16,0,0,0,0,0.0,0.0
0,0,2011-05-23,0,0,0,0,0.0,0.0
8,8,2011-05-30,0,1,0,0,0.6699999999999999,1.0
0,0,2011-06-06,0,0,0,0,0.0,0.0
4,1,2011-06-13,0,2,0,0,1.0,1.0
0,0,2011-06-20,0,0,0,0,0.0,0.0
0,0,2011-06-27,0,0,0,0,0.0,0.0
0,0,2011-07-04,0,0,0,0,0.0,0.0
4,2,2011-07-11,0,1,0,0,1.0,1.0
0,0,2011-07-18,0,0,0,0,0.0,0.0
0,0,2011-07-25,0,0,0,0,0.0,0.0
0,0,2011-08-01,0,0,0,0,0.0,0.0
15,12,2011-08-08,0,2,0,1,1.0,1.0
2,1,2011-08-15,0,1,1,0,0.0,0.0
0,0,2011-08-22,0,0,0,0,0.0,0.0
0,0,2011-08-29,0,0,0,0,0.0,0.0
19,7,2011-09-05,4,5,5,1,0.8340000000000001,0.746
5,3,2011-09-12,0,1,1,0,0.5,0.6699999999999999
0,0,2011-09-19,0,0,0,0,0.0,0.0
0,0,2011-09-26,0,0,0,0,0.0,0.0
