cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
13,2,2013-07-01,3,3,1,1,0.7766666666666667,0.6666666666666666
5,1,2013-07-08,0,2,0,0,1.0,0.75
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
16,18,2013-08-05,0,2,0,0,1.0,0.91
0,0,2013-08-12,0,0,0,0,0.0,0.0
4,1,2013-08-19,0,2,0,0,1.0,0.5
0,0,2013-08-26,0,0,0,0,0.0,0.0
2,1,2013-09-02,0,1,0,0,1.0,1.0
22,3,2013-09-09,2,2,2,1,0.4,0.9
6,0,2013-09-16,0,1,0,0,1.0,1.0
12,5,2013-09-23,0,3,0,0,0.8333333333333334,0.8333333333333334
0,0,2013-09-30,0,0,0,0,0.0,0.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
2,0,2013-10-28,1,1,0,0,0.0,1.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
6,5,2013-12-02,0,1,0,0,1.0,1.0
4,1,2013-12-09,0,1,0,0,0.33,1.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
4,2,2014-01-20,0,1,0,2,1.0,1.0
19,15,2014-01-27,0,4,0,0,0.965,1.0
98,90,2014-02-03,14,16,6,11,0.880625,0.91625
5,3,2014-02-10,0,2,1,0,0.5,0.5
39,26,2014-02-17,2,8,0,4,1.0,0.90125
27,15,2014-02-24,1,7,0,2,0.9285714285714286,1.0
16,7,2014-03-03,0,4,0,0,1.0,1.0
46,35,2014-03-10,4,7,0,2,0.7999999999999999,0.9642857142857144
13,12,2014-03-17,0,3,0,2,1.0,0.89
9,4,2014-03-24,0,3,0,0,1.0,0.8333333333333334
14,2,2014-03-31,2,3,2,0,0.3333333333333333,0.5566666666666666
7,5,2014-04-07,0,1,0,0,0.83,1.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
0,0,2014-04-21,0,0,0,0,0.0,0.0
3,1,2014-04-28,0,1,0,0,1.0,1.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
38,34,2014-05-12,2,6,3,0,0.7916666666666666,0.7000000000000001
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
16,6,2014-06-02,1,4,0,1,0.875,0.9375
15,11,2014-06-09,0,4,0,0,1.0,0.9375
8,2,2014-06-16,0,3,0,0,0.89,0.6666666666666666
4,3,2014-06-23,0,1,0,0,1.0,1.0
2,1,2014-06-30,0,1,0,0,1.0,1.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
26,15,2014-07-14,1,5,5,2,0.45,0.72
14,4,2014-07-21,0,6,0,0,1.0,1.0
9,9,2014-07-28,0,2,0,0,1.0,0.875
0,0,2014-08-04,0,0,0,0,0.0,0.0
23,17,2014-08-11,0,4,0,0,1.0,0.975
25,23,2014-08-18,2,4,0,1,0.845,1.0
2,1,2014-08-25,0,1,0,0,1.0,1.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
5,3,2014-09-15,0,1,0,0,1.0,1.0
4,4,2014-09-22,0,1,0,0,1.0,1.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
18,8,2014-10-06,0,2,0,0,0.875,0.875
6,4,2014-10-13,0,1,0,0,1.0,0.75
6,3,2014-10-20,0,2,1,0,0.335,0.5
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
3,2,2014-11-10,0,1,0,0,1.0,1.0
7,5,2014-11-17,0,1,0,2,1.0,1.0
9,6,2014-11-24,0,2,0,0,1.0,1.0
14,8,2014-12-01,0,4,0,0,1.0,0.875
51,34,2014-12-08,2,10,2,1,0.9329999999999999,0.938
41,32,2014-12-15,3,6,6,0,0.6666666666666666,0.945
3,0,2014-12-22,0,1,0,0,1.0,1.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
4,2,2015-01-05,0,1,0,0,1.0,1.0
16,4,2015-01-12,1,4,2,0,0.775,0.25
36,37,2015-01-19,2,5,0,4,0.76,0.96
21,12,2015-01-26,2,5,0,1,0.95,0.8
17,26,2015-02-02,0,1,0,6,1.0,1.0
2,1,2015-02-09,0,1,0,0,1.0,1.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
6,3,2015-02-23,0,1,0,0,1.0,1.0
7,3,2015-03-02,0,2,0,1,1.0,1.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
3,0,2015-03-16,0,1,0,0,0.0,1.0
4,1,2015-03-23,0,2,0,0,0.5,1.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
0,0,2015-05-11,0,0,0,0,0.0,0.0
