cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2010-09-27,0,1,0,0,1.0,1.0
8,6,2010-10-04,1,1,2,0,0.6,0.6699999999999999
0,0,2010-10-11,0,0,0,0,0.0,0.0
0,0,2010-10-18,0,0,0,0,0.0,0.0
0,0,2010-10-25,0,0,0,0,0.0,0.0
0,0,2010-11-01,0,0,0,0,0.0,0.0
0,0,2010-11-08,0,0,0,0,0.0,0.0
0,0,2010-11-15,0,0,0,0,0.0,0.0
3,1,2010-11-22,0,1,1,0,0.5,0.0
0,0,2010-11-29,0,0,0,0,0.0,0.0
0,0,2010-12-06,0,0,0,0,0.0,0.0
0,0,2010-12-13,0,0,0,0,0.0,0.0
0,0,2010-12-20,0,0,0,0,0.0,0.0
0,0,2010-12-27,0,0,0,0,0.0,0.0
4,0,2011-01-03,2,1,0,0,1.0,0.0
8,0,2011-01-10,1,3,0,0,1.0,0.5
0,0,2011-01-17,0,0,0,0,0.0,0.0
0,0,2011-01-24,0,0,0,0,0.0,0.0
0,0,2011-01-31,0,0,0,0,0.0,0.0
2,1,2011-02-07,0,1,0,0,1.0,1.0
0,0,2011-02-14,0,0,0,0,0.0,0.0
0,0,2011-02-21,0,0,0,0,0.0,0.0
0,0,2011-02-28,0,0,0,0,0.0,0.0
0,0,2011-03-07,0,0,0,0,0.0,0.0
0,0,2011-03-14,0,0,0,0,0.0,0.0
9,6,2011-03-21,0,2,0,0,1.0,0.9
23,23,2011-03-28,3,3,1,0,0.9166666666666666,0.89
6,2,2011-04-04,0,2,0,0,1.0,1.0
18,10,2011-04-11,0,5,1,0,0.75,0.6
3,2,2011-04-18,0,1,0,0,1.0,1.0
3,2,2011-04-25,0,1,0,0,1.0,1.0
30,50,2011-05-02,6,4,4,0,0.8875,0.87
7,3,2011-05-09,1,2,0,1,1.0,0.835
0,0,2011-05-16,0,0,0,0,0.0,0.0
6,1,2011-05-23,0,2,0,0,1.0,0.665
12,20,2011-05-30,0,1,4,0,0.6699999999999999,0.6699999999999999
2,0,2011-06-06,0,1,0,0,1.0,0.0
9,5,2011-06-13,0,3,0,0,1.0,1.0
0,0,2011-06-20,0,0,0,0,0.0,0.0
0,0,2011-06-27,0,0,0,0,0.0,0.0
7,6,2011-07-04,0,2,0,0,1.0,1.0
6,3,2011-07-11,0,2,0,0,1.0,0.75
11,14,2011-07-18,0,2,1,0,0.9,0.875
2,1,2011-07-25,0,1,0,0,1.0,1.0
0,0,2011-08-01,0,0,0,0,0.0,0.0
12,12,2011-08-08,0,3,0,0,1.0,1.0
2,0,2011-08-15,0,1,0,0,0.0,1.0
10,11,2011-08-22,0,2,0,0,1.0,1.0
5,4,2011-08-29,0,1,0,0,1.0,1.0
7,2,2011-09-05,0,2,0,0,0.585,1.0
0,0,2011-09-12,0,0,0,0,0.0,0.0
0,0,2011-09-19,0,0,0,0,0.0,0.0
0,0,2011-09-26,0,0,0,0,0.0,0.0
0,0,2011-10-03,0,0,0,0,0.0,0.0
6,1,2011-10-10,0,2,0,0,0.5,1.0
12,11,2011-10-17,0,2,1,0,0.75,0.835
3,2,2011-10-24,0,1,0,0,1.0,1.0
3,2,2011-10-31,0,1,0,0,1.0,1.0
2,1,2011-11-07,0,1,0,1,1.0,1.0
7,3,2011-11-14,3,1,0,3,1.0,0.75
6,1,2011-11-21,0,2,0,1,0.5,1.0
8,8,2011-11-28,0,1,0,0,1.0,1.0
0,0,2011-12-05,0,0,0,0,0.0,0.0
8,1,2011-12-12,0,1,1,0,0.0,0.86
0,0,2011-12-19,0,0,0,0,0.0,0.0
22,22,2011-12-26,2,4,2,0,0.715,0.9
6,0,2012-01-02,2,2,0,0,1.0,0.5
5,2,2012-01-09,0,2,1,0,0.25,0.5
15,7,2012-01-16,0,4,3,0,0.725,0.75
24,14,2012-01-23,2,6,0,0,0.68,0.9166666666666666
13,7,2012-01-30,1,3,0,0,0.5566666666666666,1.0
12,9,2012-02-06,12,2,6,3,0.3,0.625
4,2,2012-02-13,0,2,0,0,1.0,1.0
5,0,2012-02-20,0,2,0,0,0.5,1.0
3,0,2012-02-27,0,1,0,0,1.0,1.0
14,18,2012-03-05,2,2,2,0,0.855,0.9
0,0,2012-03-12,0,0,0,0,0.0,0.0
