cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,2,2010-12-27,0,1,0,0,1.0,0.6699999999999999
9,5,2011-01-03,0,2,0,2,1.0,1.0
4,2,2011-01-10,0,1,0,0,1.0,1.0
2,0,2011-01-17,0,1,0,0,1.0,1.0
0,0,2011-01-24,0,0,0,0,0.0,0.0
8,5,2011-01-31,0,2,0,0,0.9,1.0
0,0,2011-02-07,0,0,0,0,0.0,0.0
0,0,2011-02-14,0,0,0,0,0.0,0.0
0,0,2011-02-21,0,0,0,0,0.0,0.0
0,0,2011-02-28,0,0,0,0,0.0,0.0
0,0,2011-03-07,0,0,0,0,0.0,0.0
2,1,2011-03-14,0,1,0,0,1.0,1.0
6,3,2011-03-21,0,1,0,0,1.0,0.6
11,3,2011-03-28,0,2,0,2,1.0,1.0
16,13,2011-04-04,0,4,0,1,1.0,1.0
0,0,2011-04-11,0,0,0,0,0.0,0.0
2,1,2011-04-18,0,1,0,0,1.0,1.0
3,1,2011-04-25,0,1,0,0,1.0,1.0
3,2,2011-05-02,0,1,0,0,1.0,1.0
5,1,2011-05-09,0,2,0,0,1.0,1.0
0,0,2011-05-16,0,0,0,0,0.0,0.0
0,0,2011-05-23,0,0,0,0,0.0,0.0
0,0,2011-05-30,0,0,0,0,0.0,0.0
0,0,2011-06-06,0,0,0,0,0.0,0.0
0,0,2011-06-13,0,0,0,0,0.0,0.0
0,0,2011-06-20,0,0,0,0,0.0,0.0
0,0,2011-06-27,0,0,0,0,0.0,0.0
0,0,2011-07-04,0,0,0,0,0.0,0.0
4,4,2011-07-11,0,1,0,0,1.0,1.0
0,0,2011-07-18,0,0,0,0,0.0,0.0
3,1,2011-07-25,0,1,0,1,1.0,1.0
0,0,2011-08-01,0,0,0,0,0.0,0.0
0,0,2011-08-08,0,0,0,0,0.0,0.0
0,0,2011-08-15,0,0,0,0,0.0,0.0
2,1,2011-08-22,0,1,0,0,1.0,1.0
4,3,2011-08-29,0,1,0,0,1.0,1.0
0,0,2011-09-05,0,0,0,0,0.0,0.0
0,0,2011-09-12,0,0,0,0,0.0,0.0
0,0,2011-09-19,0,0,0,0,0.0,0.0
0,0,2011-09-26,0,0,0,0,0.0,0.0
2,0,2011-10-03,0,1,0,0,0.0,1.0
0,0,2011-10-10,0,0,0,0,0.0,0.0
0,0,2011-10-17,0,0,0,0,0.0,0.0
5,3,2011-10-24,0,1,2,0,0.5,0.33
0,0,2011-10-31,0,0,0,0,0.0,0.0
0,0,2011-11-07,0,0,0,0,0.0,0.0
0,0,2011-11-14,0,0,0,0,0.0,0.0
3,0,2011-11-21,1,1,0,0,0.0,1.0
0,0,2011-11-28,0,0,0,0,0.0,0.0
0,0,2011-12-05,0,0,0,0,0.0,0.0
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
4,2,2012-01-02,0,1,2,0,0.33,0.0
6,4,2012-01-09,0,2,0,0,1.0,1.0
3,2,2012-01-16,0,1,0,0,1.0,1.0
19,11,2012-01-23,0,4,1,0,0.6675,0.9375
2,0,2012-01-30,0,1,0,0,1.0,1.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
6,4,2012-02-13,0,2,0,0,1.0,1.0
4,0,2012-02-20,0,2,0,0,0.0,1.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
5,3,2012-03-05,0,2,0,0,1.0,1.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
0,0,2012-04-02,0,0,0,0,0.0,0.0
11,7,2012-04-09,0,3,0,0,1.0,0.8333333333333334
0,0,2012-04-16,0,0,0,0,0.0,0.0
0,0,2012-04-23,0,0,0,0,0.0,0.0
3,1,2012-04-30,0,1,0,0,0.5,1.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
31,26,2012-05-14,0,5,5,0,0.7,0.6
10,4,2012-05-21,0,3,0,0,0.9166666666666666,1.0
25,10,2012-05-28,0,5,0,1,1.0,0.868
12,7,2012-06-04,0,3,1,0,0.89,0.6666666666666666
5,0,2012-06-11,1,2,0,0,0.75,1.0
0,0,2012-06-18,0,0,0,0,0.0,0.0
0,0,2012-06-25,0,0,0,0,0.0,0.0
0,0,2012-07-02,0,0,0,0,0.0,0.0
0,0,2012-07-09,0,0,0,0,0.0,0.0
9,4,2012-07-16,0,2,0,0,0.835,0.5
5,0,2012-07-23,0,1,0,0,1.0,1.0
17,11,2012-07-30,0,5,2,0,0.7340000000000001,0.7
4,1,2012-08-06,0,1,0,1,1.0,1.0
0,0,2012-08-13,0,0,0,0,0.0,0.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
0,0,2012-08-27,0,0,0,0,0.0,0.0
0,0,2012-09-03,0,0,0,0,0.0,0.0
0,0,2012-09-10,0,0,0,0,0.0,0.0
0,0,2012-09-17,0,0,0,0,0.0,0.0
4,1,2012-09-24,0,2,0,0,1.0,1.0
0,0,2012-10-01,0,0,0,0,0.0,0.0
7,2,2012-10-08,0,1,0,0,0.6699999999999999,1.0
0,0,2012-10-15,0,0,0,0,0.0,0.0
7,2,2012-10-22,0,3,0,2,1.0,0.6666666666666666
0,0,2012-10-29,0,0,0,0,0.0,0.0
2,1,2012-11-05,0,1,1,0,0.0,0.0
0,0,2012-11-12,0,0,0,0,0.0,0.0
5,1,2012-11-19,0,1,1,0,0.75,0.0
7,2,2012-11-26,0,3,0,0,0.3333333333333333,1.0
6,3,2012-12-03,0,1,0,0,0.8,1.0
0,0,2012-12-10,0,0,0,0,0.0,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
0,0,2012-12-31,0,0,0,0,0.0,0.0
2,0,2013-01-07,0,1,0,0,1.0,1.0
14,5,2013-01-14,0,5,0,0,0.96,1.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
3,1,2013-01-28,0,1,0,0,1.0,1.0
2,0,2013-02-04,0,1,0,0,1.0,1.0
2,1,2013-02-11,0,1,0,0,1.0,1.0
11,2,2013-02-18,2,4,0,1,0.875,0.75
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
10,3,2013-04-08,0,4,1,0,0.875,0.5
5,4,2013-04-15,0,1,0,0,1.0,1.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
11,5,2013-04-29,1,2,0,0,0.855,0.5
9,3,2013-05-06,1,3,0,1,1.0,0.8333333333333334
2,0,2013-05-13,1,1,0,0,1.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
3,0,2013-06-10,0,1,0,0,1.0,1.0
9,9,2013-06-17,0,2,0,0,1.0,1.0
2,1,2013-06-24,0,1,0,0,1.0,1.0
19,5,2013-07-01,3,4,0,0,0.475,0.8325
6,4,2013-07-08,0,2,0,0,1.0,1.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
2,0,2013-07-29,0,1,0,0,1.0,1.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
5,2,2013-08-12,1,1,0,0,0.5,1.0
5,0,2013-08-19,0,2,0,0,0.5,1.0
2,1,2013-08-26,0,1,0,0,1.0,1.0
8,4,2013-09-02,0,2,0,0,1.0,1.0
2,0,2013-09-09,1,1,0,0,0.0,1.0
9,4,2013-09-16,0,3,0,1,1.0,1.0
25,14,2013-09-23,0,7,0,0,1.0,0.8571428571428571
11,1,2013-09-30,1,3,0,0,0.8333333333333334,1.0
30,34,2013-10-07,0,7,0,0,0.9685714285714286,1.0
3,2,2013-10-14,0,1,0,2,1.0,1.0
4,2,2013-10-21,0,1,0,0,1.0,1.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
5,4,2013-11-18,0,1,0,0,1.0,0.6699999999999999
2,0,2013-11-25,0,1,0,0,0.0,1.0
21,8,2013-12-02,1,4,0,1,0.8674999999999999,0.75
10,7,2013-12-09,0,1,0,0,0.33,1.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
8,2,2014-01-06,0,3,0,0,0.6666666666666666,1.0
2,0,2014-01-13,0,1,0,0,1.0,1.0
32,16,2014-01-20,3,9,0,0,0.7922222222222222,0.9255555555555556
89,74,2014-01-27,0,18,0,3,0.9511111111111112,1.0
83,45,2014-02-03,5,16,4,0,0.8506249999999999,0.84375
10,5,2014-02-10,0,4,0,0,0.875,1.0
12,3,2014-02-17,0,5,0,0,1.0,1.0
8,5,2014-02-24,0,3,0,0,1.0,1.0
41,77,2014-03-03,0,8,0,1,1.0,0.9725
31,23,2014-03-10,1,7,2,0,0.8714285714285713,0.9528571428571428
9,9,2014-03-17,0,2,0,0,1.0,1.0
3,1,2014-03-24,0,1,0,0,1.0,1.0
9,1,2014-03-31,1,3,1,0,0.0,0.9166666666666666
7,1,2014-04-07,0,1,1,0,0.83,0.0
7,1,2014-04-14,0,3,1,0,0.3333333333333333,0.8333333333333334
3,2,2014-04-21,0,1,0,0,1.0,1.0
2,0,2014-04-28,0,1,0,0,0.0,1.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
4,3,2014-05-12,0,1,0,0,1.0,1.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
6,2,2014-06-09,0,2,0,0,1.0,0.5
5,1,2014-06-16,0,2,0,0,1.0,0.5
11,5,2014-06-23,0,3,0,0,0.6666666666666666,1.0
6,2,2014-06-30,0,2,0,0,1.0,0.5
6,8,2014-07-07,0,1,0,0,1.0,1.0
4,2,2014-07-14,0,2,0,0,1.0,1.0
43,44,2014-07-21,4,7,11,2,0.8628571428571429,0.8214285714285714
10,6,2014-07-28,1,3,0,0,0.89,0.6666666666666666
2,1,2014-08-04,0,1,1,0,0.0,0.0
14,7,2014-08-11,0,3,0,0,0.6666666666666666,0.9433333333333334
3,1,2014-08-18,0,1,0,1,1.0,1.0
11,21,2014-08-25,0,1,0,1,1.0,1.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
3,1,2014-09-08,0,1,0,0,1.0,1.0
0,0,2014-09-15,0,0,0,0,0.0,0.0
4,4,2014-09-22,0,1,0,0,1.0,1.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
2,1,2014-10-06,0,1,0,0,1.0,1.0
5,0,2014-10-13,1,1,0,0,1.0,0.75
20,8,2014-10-20,3,4,3,1,0.375,0.8674999999999999
0,0,2014-10-27,0,0,0,0,0.0,0.0
5,2,2014-11-03,0,2,0,0,1.0,1.0
4,0,2014-11-10,0,2,0,0,0.5,1.0
14,4,2014-11-17,1,3,0,2,1.0,0.6666666666666666
2,0,2014-11-24,0,1,0,0,1.0,0.0
2,1,2014-12-01,0,1,0,0,1.0,1.0
38,71,2014-12-08,0,6,0,0,0.9716666666666668,1.0
28,17,2014-12-15,4,6,3,1,0.8333333333333334,0.875
4,2,2014-12-22,0,2,0,0,1.0,1.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
11,6,2015-01-05,0,4,0,0,1.0,1.0
36,14,2015-01-12,3,11,0,0,0.9390909090909092,0.6818181818181818
20,10,2015-01-19,0,6,0,0,0.9666666666666668,1.0
27,16,2015-01-26,3,6,0,0,0.9166666666666666,0.945
7,4,2015-02-02,0,1,0,0,1.0,1.0
8,2,2015-02-09,0,4,0,0,1.0,1.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
7,4,2015-03-02,0,2,0,0,0.75,1.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
12,10,2015-03-16,2,2,0,0,1.0,0.835
23,9,2015-03-23,1,5,5,0,0.25,0.7
11,9,2015-03-30,0,2,0,0,0.875,1.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
