cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
17,8,2011-01-31,0,4,0,2,0.75,1.0
11,6,2011-02-07,4,2,3,0,0.4,0.625
3,1,2011-02-14,0,1,1,0,0.0,0.5
0,0,2011-02-21,0,0,0,0,0.0,0.0
0,0,2011-02-28,0,0,0,0,0.0,0.0
0,0,2011-03-07,0,0,0,0,0.0,0.0
0,0,2011-03-14,0,0,0,0,0.0,0.0
0,0,2011-03-21,0,0,0,0,0.0,0.0
7,3,2011-03-28,1,1,0,3,1.0,0.75
15,5,2011-04-04,1,4,0,1,0.875,1.0
0,0,2011-04-11,0,0,0,0,0.0,0.0
0,0,2011-04-18,0,0,0,0,0.0,0.0
0,0,2011-04-25,0,0,0,0,0.0,0.0
0,0,2011-05-02,0,0,0,0,0.0,0.0
0,0,2011-05-09,0,0,0,0,0.0,0.0
2,1,2011-05-16,0,1,0,0,1.0,1.0
5,1,2011-05-23,1,2,0,0,0.5,1.0
0,0,2011-05-30,0,0,0,0,0.0,0.0
0,0,2011-06-06,0,0,0,0,0.0,0.0
11,9,2011-06-13,0,2,0,3,1.0,1.0
16,13,2011-06-20,0,3,0,0,1.0,1.0
0,0,2011-06-27,0,0,0,0,0.0,0.0
0,0,2011-07-04,0,0,0,0,0.0,0.0
7,1,2011-07-11,0,2,0,1,1.0,1.0
6,3,2011-07-18,0,3,2,1,0.3333333333333333,0.3333333333333333
7,2,2011-07-25,0,2,1,1,0.875,0.5
0,0,2011-08-01,0,0,0,0,0.0,0.0
0,0,2011-08-08,0,0,0,0,0.0,0.0
13,5,2011-08-15,2,3,2,0,0.8333333333333334,0.8333333333333334
0,0,2011-08-22,0,0,0,0,0.0,0.0
0,0,2011-08-29,0,0,0,0,0.0,0.0
15,6,2011-09-05,4,3,1,3,0.9166666666666666,0.6666666666666666
2,1,2011-09-12,0,1,0,1,1.0,1.0
0,0,2011-09-19,0,0,0,0,0.0,0.0
0,0,2011-09-26,0,0,0,0,0.0,0.0
4,1,2011-10-03,1,1,0,1,1.0,0.6699999999999999
0,0,2011-10-10,0,0,0,0,0.0,0.0
0,0,2011-10-17,0,0,0,0,0.0,0.0
2,1,2011-10-24,0,1,1,0,0.0,0.0
0,0,2011-10-31,0,0,0,0,0.0,0.0
0,0,2011-11-07,0,0,0,0,0.0,0.0
0,0,2011-11-14,0,0,0,0,0.0,0.0
0,0,2011-11-21,0,0,0,0,0.0,0.0
2,1,2011-11-28,0,1,0,1,1.0,1.0
6,0,2011-12-05,1,2,0,0,0.5,1.0
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
6,4,2012-01-09,0,1,0,0,1.0,1.0
2,1,2012-01-16,0,1,0,0,1.0,1.0
0,0,2012-01-23,0,0,0,0,0.0,0.0
0,0,2012-01-30,0,0,0,0,0.0,0.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
0,0,2012-02-13,0,0,0,0,0.0,0.0
0,0,2012-02-20,0,0,0,0,0.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
0,0,2012-04-02,0,0,0,0,0.0,0.0
0,0,2012-04-09,0,0,0,0,0.0,0.0
0,0,2012-04-16,0,0,0,0,0.0,0.0
0,0,2012-04-23,0,0,0,0,0.0,0.0
0,0,2012-04-30,0,0,0,0,0.0,0.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
0,0,2012-05-14,0,0,0,0,0.0,0.0
0,0,2012-05-21,0,0,0,0,0.0,0.0
0,0,2012-05-28,0,0,0,0,0.0,0.0
0,0,2012-06-04,0,0,0,0,0.0,0.0
0,0,2012-06-11,0,0,0,0,0.0,0.0
0,0,2012-06-18,0,0,0,0,0.0,0.0
0,0,2012-06-25,0,0,0,0,0.0,0.0
0,0,2012-07-02,0,0,0,0,0.0,0.0
0,0,2012-07-09,0,0,0,0,0.0,0.0
0,0,2012-07-16,0,0,0,0,0.0,0.0
0,0,2012-07-23,0,0,0,0,0.0,0.0
0,0,2012-07-30,0,0,0,0,0.0,0.0
0,0,2012-08-06,0,0,0,0,0.0,0.0
0,0,2012-08-13,0,0,0,0,0.0,0.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
6,0,2012-08-27,1,1,0,0,0.8,1.0
0,0,2012-09-03,0,0,0,0,0.0,0.0
2,1,2012-09-10,0,1,0,0,1.0,1.0
7,6,2012-09-17,0,1,0,2,1.0,1.0
