cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2011-02-28,0,1,0,0,1.0,1.0
0,0,2011-03-07,0,0,0,0,0.0,0.0
0,0,2011-03-14,0,0,0,0,0.0,0.0
0,0,2011-03-21,0,0,0,0,0.0,0.0
0,0,2011-03-28,0,0,0,0,0.0,0.0
0,0,2011-04-04,0,0,0,0,0.0,0.0
0,0,2011-04-11,0,0,0,0,0.0,0.0
0,0,2011-04-18,0,0,0,0,0.0,0.0
0,0,2011-04-25,0,0,0,0,0.0,0.0
0,0,2011-05-02,0,0,0,0,0.0,0.0
0,0,2011-05-09,0,0,0,0,0.0,0.0
3,1,2011-05-16,0,1,0,0,1.0,1.0
0,0,2011-05-23,0,0,0,0,0.0,0.0
0,0,2011-05-30,0,0,0,0,0.0,0.0
0,0,2011-06-06,0,0,0,0,0.0,0.0
0,0,2011-06-13,0,0,0,0,0.0,0.0
0,0,2011-06-20,0,0,0,0,0.0,0.0
0,0,2011-06-27,0,0,0,0,0.0,0.0
0,0,2011-07-04,0,0,0,0,0.0,0.0
3,0,2011-07-11,0,1,0,0,1.0,1.0
0,0,2011-07-18,0,0,0,0,0.0,0.0
0,0,2011-07-25,0,0,0,0,0.0,0.0
0,0,2011-08-01,0,0,0,0,0.0,0.0
0,0,2011-08-08,0,0,0,0,0.0,0.0
0,0,2011-08-15,0,0,0,0,0.0,0.0
0,0,2011-08-22,0,0,0,0,0.0,0.0
0,0,2011-08-29,0,0,0,0,0.0,0.0
0,0,2011-09-05,0,0,0,0,0.0,0.0
2,0,2011-09-12,0,1,0,0,1.0,1.0
0,0,2011-09-19,0,0,0,0,0.0,0.0
0,0,2011-09-26,0,0,0,0,0.0,0.0
0,0,2011-10-03,0,0,0,0,0.0,0.0
4,0,2011-10-10,1,2,0,0,1.0,0.5
0,0,2011-10-17,0,0,0,0,0.0,0.0
2,0,2011-10-24,1,1,0,0,1.0,0.0
6,0,2011-10-31,0,3,0,0,0.6666666666666666,1.0
2,0,2011-11-07,0,1,0,0,0.0,1.0
0,0,2011-11-14,0,0,0,0,0.0,0.0
0,0,2011-11-21,0,0,0,0,0.0,0.0
0,0,2011-11-28,0,0,0,0,0.0,0.0
7,4,2011-12-05,0,2,0,0,1.0,1.0
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
3,2,2012-01-09,0,1,0,0,1.0,1.0
5,3,2012-01-16,0,1,0,0,1.0,1.0
0,0,2012-01-23,0,0,0,0,0.0,0.0
0,0,2012-01-30,0,0,0,0,0.0,0.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
0,0,2012-02-13,0,0,0,0,0.0,0.0
0,0,2012-02-20,0,0,0,0,0.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
2,0,2012-03-19,0,1,0,0,0.0,1.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
5,0,2012-04-02,0,2,0,0,1.0,1.0
2,1,2012-04-09,0,1,0,0,1.0,1.0
0,0,2012-04-16,0,0,0,0,0.0,0.0
0,0,2012-04-23,0,0,0,0,0.0,0.0
0,0,2012-04-30,0,0,0,0,0.0,0.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
0,0,2012-05-14,0,0,0,0,0.0,0.0
3,1,2012-05-21,0,1,0,0,0.5,1.0
8,5,2012-05-28,1,1,2,0,0.5,0.75
0,0,2012-06-04,0,0,0,0,0.0,0.0
4,0,2012-06-11,0,1,0,0,0.0,1.0
30,68,2012-06-18,1,3,0,1,0.8233333333333333,1.0
0,0,2012-06-25,0,0,0,0,0.0,0.0
0,0,2012-07-02,0,0,0,0,0.0,0.0
0,0,2012-07-09,0,0,0,0,0.0,0.0
3,0,2012-07-16,0,1,0,0,1.0,1.0
