cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,2,2010-10-04,0,1,0,0,1.0,1.0
6,3,2010-10-11,0,2,0,1,0.75,1.0
5,2,2010-10-18,0,1,0,0,1.0,1.0
0,0,2010-10-25,0,0,0,0,0.0,0.0
0,0,2010-11-01,0,0,0,0,0.0,0.0
0,0,2010-11-08,0,0,0,0,0.0,0.0
0,0,2010-11-15,0,0,0,0,0.0,0.0
0,0,2010-11-22,0,0,0,0,0.0,0.0
0,0,2010-11-29,0,0,0,0,0.0,0.0
0,0,2010-12-06,0,0,0,0,0.0,0.0
0,0,2010-12-13,0,0,0,0,0.0,0.0
3,0,2010-12-20,0,1,0,0,0.0,1.0
0,0,2010-12-27,0,0,0,0,0.0,0.0
0,0,2011-01-03,0,0,0,0,0.0,0.0
0,0,2011-01-10,0,0,0,0,0.0,0.0
0,0,2011-01-17,0,0,0,0,0.0,0.0
0,0,2011-01-24,0,0,0,0,0.0,0.0
0,0,2011-01-31,0,0,0,0,0.0,0.0
0,0,2011-02-07,0,0,0,0,0.0,0.0
0,0,2011-02-14,0,0,0,0,0.0,0.0
0,0,2011-02-21,0,0,0,0,0.0,0.0
0,0,2011-02-28,0,0,0,0,0.0,0.0
0,0,2011-03-07,0,0,0,0,0.0,0.0
0,0,2011-03-14,0,0,0,0,0.0,0.0
0,0,2011-03-21,0,0,0,0,0.0,0.0
0,0,2011-03-28,0,0,0,0,0.0,0.0
0,0,2011-04-04,0,0,0,0,0.0,0.0
0,0,2011-04-11,0,0,0,0,0.0,0.0
0,0,2011-04-18,0,0,0,0,0.0,0.0
0,0,2011-04-25,0,0,0,0,0.0,0.0
0,0,2011-05-02,0,0,0,0,0.0,0.0
0,0,2011-05-09,0,0,0,0,0.0,0.0
0,0,2011-05-16,0,0,0,0,0.0,0.0
0,0,2011-05-23,0,0,0,0,0.0,0.0
0,0,2011-05-30,0,0,0,0,0.0,0.0
0,0,2011-06-06,0,0,0,0,0.0,0.0
0,0,2011-06-13,0,0,0,0,0.0,0.0
0,0,2011-06-20,0,0,0,0,0.0,0.0
0,0,2011-06-27,0,0,0,0,0.0,0.0
0,0,2011-07-04,0,0,0,0,0.0,0.0
0,0,2011-07-11,0,0,0,0,0.0,0.0
0,0,2011-07-18,0,0,0,0,0.0,0.0
0,0,2011-07-25,0,0,0,0,0.0,0.0
0,0,2011-08-01,0,0,0,0,0.0,0.0
0,0,2011-08-08,0,0,0,0,0.0,0.0
0,0,2011-08-15,0,0,0,0,0.0,0.0
0,0,2011-08-22,0,0,0,0,0.0,0.0
0,0,2011-08-29,0,0,0,0,0.0,0.0
0,0,2011-09-05,0,0,0,0,0.0,0.0
0,0,2011-09-12,0,0,0,0,0.0,0.0
0,0,2011-09-19,0,0,0,0,0.0,0.0
0,0,2011-09-26,0,0,0,0,0.0,0.0
0,0,2011-10-03,0,0,0,0,0.0,0.0
0,0,2011-10-10,0,0,0,0,0.0,0.0
0,0,2011-10-17,0,0,0,0,0.0,0.0
0,0,2011-10-24,0,0,0,0,0.0,0.0
0,0,2011-10-31,0,0,0,0,0.0,0.0
0,0,2011-11-07,0,0,0,0,0.0,0.0
0,0,2011-11-14,0,0,0,0,0.0,0.0
0,0,2011-11-21,0,0,0,0,0.0,0.0
0,0,2011-11-28,0,0,0,0,0.0,0.0
0,0,2011-12-05,0,0,0,0,0.0,0.0
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
0,0,2012-01-09,0,0,0,0,0.0,0.0
2,1,2012-01-16,0,1,0,0,1.0,1.0
2,1,2012-01-23,0,1,0,1,1.0,1.0
