cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
8,1,2010-09-27,2,2,0,0,1.0,0.5
11,3,2010-10-04,2,3,0,1,1.0,0.7233333333333333
13,2,2010-10-11,1,4,0,0,1.0,0.9375
12,4,2010-10-18,1,4,0,2,0.875,0.75
0,0,2010-10-25,0,0,0,0,0.0,0.0
0,0,2010-11-01,0,0,0,0,0.0,0.0
0,0,2010-11-08,0,0,0,0,0.0,0.0
0,0,2010-11-15,0,0,0,0,0.0,0.0
0,0,2010-11-22,0,0,0,0,0.0,0.0
0,0,2010-11-29,0,0,0,0,0.0,0.0
0,0,2010-12-06,0,0,0,0,0.0,0.0
0,0,2010-12-13,0,0,0,0,0.0,0.0
0,0,2010-12-20,0,0,0,0,0.0,0.0
0,0,2010-12-27,0,0,0,0,0.0,0.0
0,0,2011-01-03,0,0,0,0,0.0,0.0
0,0,2011-01-10,0,0,0,0,0.0,0.0
0,0,2011-01-17,0,0,0,0,0.0,0.0
0,0,2011-01-24,0,0,0,0,0.0,0.0
18,24,2011-01-31,0,3,0,2,1.0,1.0
19,8,2011-02-07,3,3,0,5,0.75,1.0
21,6,2011-02-14,3,4,0,0,1.0,0.8875
3,0,2011-02-21,0,1,0,0,1.0,1.0
7,1,2011-02-28,3,2,0,0,1.0,0.25
0,0,2011-03-07,0,0,0,0,0.0,0.0
6,1,2011-03-14,0,3,0,0,1.0,1.0
16,3,2011-03-21,4,3,1,0,0.9333333333333332,0.9333333333333332
38,17,2011-03-28,3,7,3,0,0.4885714285714286,0.9528571428571428
30,5,2011-04-04,0,10,0,0,0.667,0.9
2,1,2011-04-11,0,1,0,1,1.0,1.0
0,0,2011-04-18,0,0,0,0,0.0,0.0
0,0,2011-04-25,0,0,0,0,0.0,0.0
3,2,2011-05-02,0,1,0,0,1.0,1.0
2,1,2011-05-09,0,1,0,0,1.0,1.0
17,6,2011-05-16,1,5,0,0,1.0,0.96
4,2,2011-05-23,0,1,0,0,1.0,1.0
10,9,2011-05-30,0,2,1,0,0.5,0.335
2,1,2011-06-06,0,1,0,1,1.0,1.0
20,5,2011-06-13,1,6,0,0,1.0,0.8333333333333334
36,21,2011-06-20,3,7,0,3,1.0,0.9142857142857144
2,0,2011-06-27,0,1,0,0,1.0,1.0
5,3,2011-07-04,0,1,0,0,1.0,1.0
5,2,2011-07-11,0,2,0,0,0.75,1.0
9,4,2011-07-18,0,3,2,1,0.44333333333333336,0.8333333333333334
14,0,2011-07-25,2,5,0,0,0.9,0.6
3,0,2011-08-01,0,1,0,0,1.0,1.0
59,53,2011-08-08,0,11,17,0,0.8027272727272727,0.8572727272727273
20,7,2011-08-15,2,5,1,2,0.5,0.8
0,0,2011-08-22,0,0,0,0,0.0,0.0
4,1,2011-08-29,1,1,0,0,1.0,0.5
53,30,2011-09-05,9,9,0,0,0.7288888888888889,0.8444444444444444
11,1,2011-09-12,0,4,0,0,1.0,1.0
4,0,2011-09-19,1,2,0,0,0.5,0.5
9,1,2011-09-26,2,2,1,0,0.75,0.375
55,49,2011-10-03,10,9,9,5,0.5077777777777778,0.64
118,107,2011-10-10,22,19,25,5,0.8452631578947369,0.9473684210526316
90,64,2011-10-17,11,19,2,8,0.9236842105263156,0.8089473684210526
17,5,2011-10-24,1,3,3,1,0.6666666666666666,0.7666666666666666
68,33,2011-10-31,5,17,4,0,0.7535294117647059,0.8088235294117647
