cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,2,2011-08-08,0,1,0,0,1.0,1.0
0,0,2011-08-15,0,0,0,0,0.0,0.0
0,0,2011-08-22,0,0,0,0,0.0,0.0
0,0,2011-08-29,0,0,0,0,0.0,0.0
0,0,2011-09-05,0,0,0,0,0.0,0.0
0,0,2011-09-12,0,0,0,0,0.0,0.0
0,0,2011-09-19,0,0,0,0,0.0,0.0
0,0,2011-09-26,0,0,0,0,0.0,0.0
0,0,2011-10-03,0,0,0,0,0.0,0.0
0,0,2011-10-10,0,0,0,0,0.0,0.0
0,0,2011-10-17,0,0,0,0,0.0,0.0
0,0,2011-10-24,0,0,0,0,0.0,0.0
0,0,2011-10-31,0,0,0,0,0.0,0.0
7,2,2011-11-07,0,2,1,0,0.835,0.5
17,14,2011-11-14,3,3,0,6,0.75,1.0
3,0,2011-11-21,0,1,0,0,1.0,1.0
0,0,2011-11-28,0,0,0,0,0.0,0.0
6,4,2011-12-05,0,1,0,0,1.0,1.0
4,0,2011-12-12,2,1,0,0,1.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
5,3,2012-01-09,0,1,0,1,1.0,1.0
0,0,2012-01-16,0,0,0,0,0.0,0.0
0,0,2012-01-23,0,0,0,0,0.0,0.0
0,0,2012-01-30,0,0,0,0,0.0,0.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
0,0,2012-02-13,0,0,0,0,0.0,0.0
0,0,2012-02-20,0,0,0,0,0.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
0,0,2012-03-12,0,0,0,0,0.0,0.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
2,0,2012-04-02,0,1,0,0,0.0,1.0
0,0,2012-04-09,0,0,0,0,0.0,0.0
0,0,2012-04-16,0,0,0,0,0.0,0.0
0,0,2012-04-23,0,0,0,0,0.0,0.0
5,3,2012-04-30,0,1,0,0,1.0,0.75
0,0,2012-05-07,0,0,0,0,0.0,0.0
0,0,2012-05-14,0,0,0,0,0.0,0.0
0,0,2012-05-21,0,0,0,0,0.0,0.0
7,0,2012-05-28,1,2,0,0,0.0,1.0
16,20,2012-06-04,0,1,0,0,0.73,1.0
0,0,2012-06-11,0,0,0,0,0.0,0.0
5,4,2012-06-18,0,1,0,0,1.0,1.0
4,1,2012-06-25,0,1,0,0,0.6699999999999999,1.0
0,0,2012-07-02,0,0,0,0,0.0,0.0
0,0,2012-07-09,0,0,0,0,0.0,0.0
0,0,2012-07-16,0,0,0,0,0.0,0.0
0,0,2012-07-23,0,0,0,0,0.0,0.0
2,1,2012-07-30,0,1,0,0,1.0,1.0
