cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
5,2,2010-09-27,0,1,0,0,1.0,1.0
0,0,2010-10-04,0,0,0,0,0.0,0.0
2,0,2010-10-11,0,1,0,0,1.0,1.0
0,0,2010-10-18,0,0,0,0,0.0,0.0
0,0,2010-10-25,0,0,0,0,0.0,0.0
0,0,2010-11-01,0,0,0,0,0.0,0.0
0,0,2010-11-08,0,0,0,0,0.0,0.0
0,0,2010-11-15,0,0,0,0,0.0,0.0
0,0,2010-11-22,0,0,0,0,0.0,0.0
0,0,2010-11-29,0,0,0,0,0.0,0.0
0,0,2010-12-06,0,0,0,0,0.0,0.0
0,0,2010-12-13,0,0,0,0,0.0,0.0
0,0,2010-12-20,0,0,0,0,0.0,0.0
0,0,2010-12-27,0,0,0,0,0.0,0.0
0,0,2011-01-03,0,0,0,0,0.0,0.0
0,0,2011-01-10,0,0,0,0,0.0,0.0
2,0,2011-01-17,0,1,0,0,1.0,1.0
0,0,2011-01-24,0,0,0,0,0.0,0.0
18,8,2011-01-31,1,5,1,2,0.8,0.8340000000000001
23,6,2011-02-07,0,4,0,0,0.5625,1.0
9,4,2011-02-14,1,2,0,4,0.835,1.0
4,0,2011-02-21,0,1,0,0,1.0,1.0
17,9,2011-02-28,2,3,0,0,1.0,0.9633333333333334
0,0,2011-03-07,0,0,0,0,0.0,0.0
37,10,2011-03-14,1,15,0,1,0.8666666666666667,0.8666666666666667
40,9,2011-03-21,8,8,3,3,0.82875,0.825
37,20,2011-03-28,3,10,2,2,0.675,0.8470000000000001
70,57,2011-04-04,9,13,7,6,0.8461538461538461,0.943076923076923
7,2,2011-04-11,0,1,0,2,1.0,1.0
0,0,2011-04-18,0,0,0,0,0.0,0.0
0,0,2011-04-25,0,0,0,0,0.0,0.0
4,1,2011-05-02,0,1,0,0,0.6699999999999999,1.0
8,0,2011-05-09,0,3,0,0,1.0,1.0
15,4,2011-05-16,0,5,0,1,1.0,1.0
2,1,2011-05-23,0,1,1,0,0.0,0.0
4,0,2011-05-30,0,1,0,0,0.0,1.0
4,0,2011-06-06,0,1,0,0,1.0,1.0
3,0,2011-06-13,0,1,0,0,1.0,1.0
19,11,2011-06-20,0,4,0,3,1.0,1.0
0,0,2011-06-27,0,0,0,0,0.0,0.0
0,0,2011-07-04,0,0,0,0,0.0,0.0
20,12,2011-07-11,0,4,1,1,0.875,0.9725
8,2,2011-07-18,0,4,0,2,0.75,1.0
2,0,2011-07-25,0,1,0,0,1.0,1.0
3,1,2011-08-01,0,1,0,1,1.0,1.0
36,38,2011-08-08,4,6,2,2,0.86,0.9583333333333334
2,1,2011-08-15,0,1,0,0,1.0,1.0
0,0,2011-08-22,0,0,0,0,0.0,0.0
5,3,2011-08-29,0,1,0,1,1.0,1.0
20,24,2011-09-05,1,4,0,1,0.9575,0.75
3,1,2011-09-12,0,1,0,0,1.0,0.5
10,2,2011-09-19,2,3,0,0,0.6666666666666666,0.8333333333333334
35,9,2011-09-26,1,11,0,6,0.8,1.0
14,3,2011-10-03,0,6,1,0,0.3333333333333333,0.8333333333333334
39,26,2011-10-10,0,9,0,1,0.87,1.0
25,12,2011-10-17,2,7,0,2,1.0,0.8928571428571429
20,4,2011-10-24,4,5,3,0,0.7340000000000001,0.8379999999999999
25,4,2011-10-31,1,6,1,0,0.7233333333333333,0.7783333333333333
62,39,2011-11-07,15,13,3,7,0.9353846153846154,0.8746153846153847
39,13,2011-11-14,5,11,0,1,0.8636363636363636,0.8490909090909091
68,26,2011-11-21,10,17,3,3,0.7970588235294118,0.8882352941176471
28,12,2011-11-28,0,8,0,1,0.8125,1.0
32,16,2011-12-05,2,9,1,0,0.9444444444444444,0.9077777777777778
11,5,2011-12-12,0,2,0,0,0.665,1.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
8,1,2011-12-26,0,3,0,0,1.0,1.0
17,14,2012-01-02,1,3,1,1,0.75,0.6666666666666666
20,6,2012-01-09,1,7,0,0,0.7142857142857143,0.8571428571428571
43,37,2012-01-16,10,8,0,6,0.875,0.95375
19,7,2012-01-23,1,4,0,1,0.965,0.9375
5,1,2012-01-30,1,2,1,0,0.5,0.75
0,0,2012-02-06,0,0,0,0,0.0,0.0
13,4,2012-02-13,4,2,0,2,1.0,0.875
0,0,2012-02-20,0,0,0,0,0.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
7,1,2012-03-12,0,2,0,0,0.5,0.75
6,4,2012-03-19,0,2,0,0,1.0,1.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
37,17,2012-04-02,0,12,0,4,1.0,1.0
37,21,2012-04-09,2,9,1,2,0.6222222222222222,0.7222222222222222
24,19,2012-04-16,0,5,0,13,0.866,1.0
10,2,2012-04-23,0,4,0,0,0.75,1.0
7,3,2012-04-30,0,2,0,0,0.835,1.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
29,14,2012-05-14,0,8,1,1,0.70875,0.875
42,16,2012-05-21,1,15,0,4,0.9166666666666666,0.9333333333333332
60,25,2012-05-28,5,13,4,6,0.7669230769230768,0.8461538461538461
115,102,2012-06-04,5,22,4,4,0.8895454545454545,0.9090909090909092
32,17,2012-06-11,0,8,0,1,0.82875,1.0
32,10,2012-06-18,4,7,2,0,0.8714285714285713,0.5
23,15,2012-06-25,0,5,0,0,1.0,0.96
0,0,2012-07-02,0,0,0,0,0.0,0.0
22,13,2012-07-09,1,6,2,0,0.9166666666666666,0.6383333333333333
12,1,2012-07-16,0,3,0,1,1.0,1.0
0,0,2012-07-23,0,0,0,0,0.0,0.0
4,0,2012-07-30,1,1,0,0,1.0,0.0
14,4,2012-08-06,3,3,0,3,1.0,0.8566666666666668
3,2,2012-08-13,0,1,0,2,1.0,1.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
3,0,2012-08-27,0,1,0,0,0.0,1.0
0,0,2012-09-03,0,0,0,0,0.0,0.0
0,0,2012-09-10,0,0,0,0,0.0,0.0
9,2,2012-09-17,3,3,0,0,0.6666666666666666,0.5566666666666666
0,0,2012-09-24,0,0,0,0,0.0,0.0
0,0,2012-10-01,0,0,0,0,0.0,0.0
0,0,2012-10-08,0,0,0,0,0.0,0.0
0,0,2012-10-15,0,0,0,0,0.0,0.0
0,0,2012-10-22,0,0,0,0,0.0,0.0
0,0,2012-10-29,0,0,0,0,0.0,0.0
9,5,2012-11-05,0,2,0,0,1.0,0.5
0,0,2012-11-12,0,0,0,0,0.0,0.0
0,0,2012-11-19,0,0,0,0,0.0,0.0
0,0,2012-11-26,0,0,0,0,0.0,0.0
0,0,2012-12-03,0,0,0,0,0.0,0.0
0,0,2012-12-10,0,0,0,0,0.0,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
0,0,2012-12-31,0,0,0,0,0.0,0.0
5,2,2013-01-07,0,2,1,0,0.5,0.5
2,0,2013-01-14,0,1,0,0,1.0,1.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
2,0,2013-01-28,0,1,0,0,1.0,1.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
