cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,2,2013-06-10,0,1,0,0,1.0,1.0
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
0,0,2013-07-08,0,0,0,0,0.0,0.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
7,0,2013-09-09,0,1,0,0,1.0,1.0
0,0,2013-09-16,0,0,0,0,0.0,0.0
0,0,2013-09-23,0,0,0,0,0.0,0.0
0,0,2013-09-30,0,0,0,0,0.0,0.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
5,1,2013-10-28,0,1,1,0,0.0,0.75
17,15,2013-11-04,2,1,4,0,0.33,0.86
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
8,6,2014-01-27,0,2,0,2,1.0,1.0
25,20,2014-02-03,2,4,0,0,0.875,0.95
14,8,2014-02-10,0,3,0,0,1.0,0.5833333333333334
8,4,2014-02-17,1,3,0,0,0.6666666666666666,0.6666666666666666
6,6,2014-02-24,0,1,0,6,1.0,1.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
4,2,2014-04-21,0,1,0,0,1.0,1.0
0,0,2014-04-28,0,0,0,0,0.0,0.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
11,2,2014-05-12,1,1,2,0,0.0,0.8
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
6,3,2014-06-02,1,1,0,0,1.0,0.75
8,4,2014-06-09,0,2,0,0,0.835,1.0
7,10,2014-06-16,0,1,0,0,1.0,1.0
0,0,2014-06-23,0,0,0,0,0.0,0.0
3,2,2014-06-30,0,1,0,0,1.0,1.0
3,1,2014-07-07,0,1,0,1,1.0,1.0
39,30,2014-07-14,1,8,3,2,0.9275,0.825
18,11,2014-07-21,1,5,0,2,1.0,0.8
24,20,2014-07-28,1,5,0,2,1.0,0.95
13,10,2014-08-04,0,4,1,0,0.5,0.75
16,25,2014-08-11,0,2,0,0,1.0,0.95
5,3,2014-08-18,0,1,0,0,1.0,1.0
8,5,2014-08-25,0,2,1,0,0.835,0.835
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
22,12,2014-09-15,0,6,0,2,1.0,0.7916666666666666
2,1,2014-09-22,0,1,0,0,1.0,1.0
2,0,2014-09-29,0,1,0,0,1.0,1.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
23,29,2014-10-27,0,4,0,0,1.0,1.0
19,36,2014-11-03,0,1,0,0,1.0,0.94
3,2,2014-11-10,0,1,0,0,1.0,1.0
10,15,2014-11-17,0,1,0,0,1.0,1.0
5,2,2014-11-24,0,1,0,0,1.0,1.0
17,14,2014-12-01,0,3,0,0,1.0,1.0
22,16,2014-12-08,0,5,0,0,1.0,0.96
2,1,2014-12-15,0,1,0,0,1.0,1.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
2,1,2015-01-19,0,1,0,0,1.0,1.0
5,2,2015-01-26,0,2,0,0,1.0,1.0
5,2,2015-02-02,0,2,0,0,1.0,1.0
21,27,2015-02-09,3,2,2,0,0.875,0.745
5,0,2015-02-16,0,2,0,0,1.0,1.0
13,9,2015-02-23,0,3,0,0,0.89,1.0
2,1,2015-03-02,0,1,0,0,1.0,1.0
2,1,2015-03-09,0,1,0,0,1.0,1.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
11,5,2015-03-23,0,3,0,0,1.0,1.0
7,7,2015-03-30,0,1,0,1,1.0,1.0
