cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,1,2012-04-16,0,1,0,1,1.0,1.0
13,14,2012-04-23,0,2,0,0,1.0,0.835
15,7,2012-04-30,0,3,0,0,0.8333333333333334,1.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
6,2,2012-05-14,2,1,0,0,1.0,0.5
0,0,2012-05-21,0,0,0,0,0.0,0.0
0,0,2012-05-28,0,0,0,0,0.0,0.0
0,0,2012-06-04,0,0,0,0,0.0,0.0
0,0,2012-06-11,0,0,0,0,0.0,0.0
9,10,2012-06-18,1,1,0,0,1.0,0.6699999999999999
0,0,2012-06-25,0,0,0,0,0.0,0.0
0,0,2012-07-02,0,0,0,0,0.0,0.0
22,46,2012-07-09,4,2,2,0,0.945,0.89
5,6,2012-07-16,0,1,0,0,1.0,1.0
0,0,2012-07-23,0,0,0,0,0.0,0.0
0,0,2012-07-30,0,0,0,0,0.0,0.0
0,0,2012-08-06,0,0,0,0,0.0,0.0
0,0,2012-08-13,0,0,0,0,0.0,0.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
0,0,2012-08-27,0,0,0,0,0.0,0.0
0,0,2012-09-03,0,0,0,0,0.0,0.0
0,0,2012-09-10,0,0,0,0,0.0,0.0
0,0,2012-09-17,0,0,0,0,0.0,0.0
0,0,2012-09-24,0,0,0,0,0.0,0.0
0,0,2012-10-01,0,0,0,0,0.0,0.0
0,0,2012-10-08,0,0,0,0,0.0,0.0
0,0,2012-10-15,0,0,0,0,0.0,0.0
0,0,2012-10-22,0,0,0,0,0.0,0.0
0,0,2012-10-29,0,0,0,0,0.0,0.0
0,0,2012-11-05,0,0,0,0,0.0,0.0
0,0,2012-11-12,0,0,0,0,0.0,0.0
0,0,2012-11-19,0,0,0,0,0.0,0.0
12,12,2012-11-26,0,1,0,0,1.0,0.44
0,0,2012-12-03,0,0,0,0,0.0,0.0
0,0,2012-12-10,0,0,0,0,0.0,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
15,37,2012-12-31,0,1,1,0,0.8,0.9
0,0,2013-01-07,0,0,0,0,0.0,0.0
0,0,2013-01-14,0,0,0,0,0.0,0.0
8,5,2013-01-21,0,3,0,0,1.0,1.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
5,2,2013-04-15,0,2,0,0,1.0,0.5
0,0,2013-04-22,0,0,0,0,0.0,0.0
0,0,2013-04-29,0,0,0,0,0.0,0.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
3,1,2013-06-10,0,1,0,0,1.0,0.5
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
10,9,2013-07-08,0,2,0,0,1.0,0.75
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
4,2,2013-08-19,0,1,0,0,1.0,1.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
2,1,2013-09-02,0,1,0,0,1.0,1.0
16,30,2013-09-09,0,1,0,0,1.0,0.5
0,0,2013-09-16,0,0,0,0,0.0,0.0
0,0,2013-09-23,0,0,0,0,0.0,0.0
2,1,2013-09-30,0,1,0,0,1.0,1.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
