cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,2,2013-06-10,0,1,0,0,1.0,0.5
0,0,2013-06-17,0,0,0,0,0.0,0.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
21,2,2013-07-01,0,6,0,0,0.8333333333333334,1.0
11,5,2013-07-08,0,3,0,1,1.0,0.8333333333333334
49,44,2013-07-15,3,7,1,3,0.9542857142857144,0.8771428571428571
36,38,2013-07-22,0,5,0,0,0.72,1.0
36,43,2013-07-29,3,8,1,2,0.985,0.98625
80,102,2013-08-05,3,14,1,1,0.9721428571428572,0.8635714285714285
8,5,2013-08-12,0,2,1,0,0.5,0.4
8,2,2013-08-19,0,2,0,0,0.9,1.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
34,35,2013-09-02,4,3,3,0,0.7366666666666667,0.89
50,55,2013-09-09,6,7,0,1,1.0,0.8571428571428571
4,0,2013-09-16,0,1,0,0,1.0,1.0
22,19,2013-09-23,0,4,0,0,1.0,0.7925
0,0,2013-09-30,0,0,0,0,0.0,0.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
4,1,2013-10-28,1,2,0,1,1.0,0.5
0,0,2013-11-04,0,0,0,0,0.0,0.0
8,12,2013-11-11,0,1,0,0,1.0,1.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
5,3,2013-12-02,0,2,0,0,1.0,1.0
2,1,2013-12-09,0,1,0,0,1.0,1.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
14,9,2014-01-27,0,4,0,0,0.875,1.0
44,49,2014-02-03,2,10,0,4,0.986,0.95
22,27,2014-02-10,0,4,0,0,0.9375,1.0
7,2,2014-02-17,0,2,1,0,0.25,0.75
17,8,2014-02-24,0,5,0,1,1.0,1.0
18,64,2014-03-03,1,1,0,0,0.89,1.0
25,20,2014-03-10,0,6,0,2,1.0,0.8333333333333334
8,4,2014-03-17,0,2,0,0,0.835,1.0
24,15,2014-03-24,0,6,0,0,0.98,1.0
11,4,2014-03-31,0,4,0,0,0.75,1.0
5,3,2014-04-07,0,2,0,0,1.0,1.0
10,7,2014-04-14,0,3,0,3,1.0,1.0
10,3,2014-04-21,1,3,0,0,1.0,0.5
3,1,2014-04-28,0,1,0,1,1.0,1.0
4,4,2014-05-05,0,1,0,0,1.0,1.0
27,26,2014-05-12,2,4,5,0,0.575,0.75
12,5,2014-05-19,0,3,0,0,0.89,1.0
2,0,2014-05-26,0,1,0,0,0.0,1.0
3,2,2014-06-02,0,1,0,0,1.0,1.0
3,0,2014-06-09,0,1,0,0,1.0,0.0
6,3,2014-06-16,0,2,0,0,0.5,1.0
5,2,2014-06-23,0,2,0,0,0.5,1.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
11,4,2014-07-07,1,3,1,1,0.8333333333333334,0.5566666666666666
11,12,2014-07-14,0,2,0,0,1.0,0.915
8,4,2014-07-21,0,2,0,0,1.0,1.0
15,4,2014-07-28,0,5,0,1,0.8,0.8
6,3,2014-08-04,0,2,0,0,0.5,1.0
2,1,2014-08-11,0,1,0,0,1.0,1.0
7,6,2014-08-18,1,1,0,0,1.0,0.6699999999999999
2,0,2014-08-25,0,1,0,0,1.0,1.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
0,0,2014-09-15,0,0,0,0,0.0,0.0
3,2,2014-09-22,0,1,0,0,1.0,1.0
2,0,2014-09-29,0,1,0,0,1.0,1.0
24,10,2014-10-06,0,5,0,0,0.95,0.8
13,5,2014-10-13,0,3,0,0,0.5833333333333334,1.0
9,3,2014-10-20,0,3,0,0,0.6666666666666666,0.6666666666666666
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
11,5,2014-11-10,0,4,0,0,1.0,1.0
8,3,2014-11-17,0,3,0,1,1.0,1.0
21,39,2014-11-24,0,5,0,0,1.0,1.0
8,2,2014-12-01,0,3,0,1,1.0,1.0
47,20,2014-12-08,2,12,0,1,0.8891666666666667,0.9316666666666668
2,1,2014-12-15,0,1,0,0,1.0,1.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
11,2,2015-01-12,1,3,0,0,0.3333333333333333,1.0
48,72,2015-01-19,10,6,0,6,0.9666666666666668,0.68
51,22,2015-01-26,2,13,0,3,0.91,0.9807692307692308
49,31,2015-02-02,1,10,0,1,1.0,0.825
39,17,2015-02-09,5,9,0,2,0.8244444444444444,1.0
10,6,2015-02-16,1,3,0,0,0.9166666666666666,0.6666666666666666
27,16,2015-02-23,0,7,0,0,0.9714285714285714,1.0
16,9,2015-03-02,0,5,0,1,1.0,1.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
15,6,2015-03-23,0,6,0,0,1.0,1.0
4,2,2015-03-30,0,1,0,0,1.0,1.0
4,2,2015-04-06,0,2,0,0,1.0,1.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
4,4,2015-05-04,0,1,0,0,1.0,1.0
0,0,2015-05-11,0,0,0,0,0.0,0.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
0,0,2015-05-25,0,0,0,0,0.0,0.0
0,0,2015-06-01,0,0,0,0,0.0,0.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
2,1,2015-07-20,0,1,0,0,1.0,1.0
0,0,2015-07-27,0,0,0,0,0.0,0.0
0,0,2015-08-03,0,0,0,0,0.0,0.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
0,0,2015-08-17,0,0,0,0,0.0,0.0
0,0,2015-08-24,0,0,0,0,0.0,0.0
0,0,2015-08-31,0,0,0,0,0.0,0.0
0,0,2015-09-07,0,0,0,0,0.0,0.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
5,3,2015-10-05,0,2,0,1,1.0,1.0
