cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
5,0,2011-01-03,1,1,0,0,0.0,1.0
3,1,2011-01-10,0,1,0,1,1.0,1.0
0,0,2011-01-17,0,0,0,0,0.0,0.0
0,0,2011-01-24,0,0,0,0,0.0,0.0
0,0,2011-01-31,0,0,0,0,0.0,0.0
22,24,2011-02-07,0,4,0,0,1.0,1.0
6,0,2011-02-14,1,1,0,0,0.8,1.0
5,6,2011-02-21,0,1,0,0,1.0,1.0
11,9,2011-02-28,0,1,1,0,0.5,0.89
0,0,2011-03-07,0,0,0,0,0.0,0.0
12,6,2011-03-14,0,5,0,0,1.0,1.0
18,20,2011-03-21,0,3,2,0,0.9333333333333332,0.8666666666666667
22,16,2011-03-28,1,5,0,0,1.0,0.7939999999999999
22,18,2011-04-04,0,4,0,2,1.0,0.85
14,5,2011-04-11,0,3,0,2,1.0,1.0
4,2,2011-04-18,0,2,0,0,1.0,1.0
13,7,2011-04-25,2,3,0,0,0.89,1.0
18,9,2011-05-02,0,5,0,0,1.0,0.9
35,34,2011-05-09,0,7,2,0,0.7857142857142857,0.8099999999999999
23,15,2011-05-16,5,3,0,4,0.6666666666666666,1.0
15,6,2011-05-23,0,5,0,1,0.9,1.0
20,11,2011-05-30,0,6,0,2,0.6666666666666666,1.0
4,0,2011-06-06,0,1,0,0,1.0,1.0
18,8,2011-06-13,2,6,0,1,0.75,1.0
19,10,2011-06-20,0,4,0,0,0.7875,1.0
8,4,2011-06-27,0,2,0,0,1.0,1.0
18,8,2011-07-04,1,5,1,0,0.9,0.96
25,16,2011-07-11,2,5,0,0,1.0,0.738
0,0,2011-07-18,0,0,0,0,0.0,0.0
26,23,2011-07-25,0,8,1,0,0.71875,0.96875
5,6,2011-08-01,0,1,0,0,1.0,1.0
17,17,2011-08-08,0,2,0,0,0.7150000000000001,0.875
5,2,2011-08-15,0,2,0,0,1.0,1.0
2,1,2011-08-22,0,1,0,0,1.0,1.0
25,23,2011-08-29,1,6,0,0,0.9166666666666666,1.0
8,7,2011-09-05,0,1,0,0,1.0,1.0
7,3,2011-09-12,0,2,0,0,1.0,0.75
10,4,2011-09-19,1,3,0,1,0.8333333333333334,0.89
7,4,2011-09-26,0,1,0,0,1.0,0.83
20,15,2011-10-03,0,5,1,2,0.8,0.6
49,42,2011-10-10,0,11,0,0,0.8936363636363637,1.0
17,5,2011-10-17,1,6,0,1,0.6666666666666666,0.9033333333333332
33,30,2011-10-24,0,8,3,2,0.7875,0.9825
38,25,2011-10-31,1,9,7,0,0.7133333333333334,0.63
36,30,2011-11-07,2,8,3,0,0.9175,0.8375
26,12,2011-11-14,4,6,2,1,0.945,0.945
23,9,2011-11-21,0,8,1,0,0.75,0.9375
31,19,2011-11-28,1,8,0,0,0.84375,1.0
28,21,2011-12-05,2,8,1,1,0.83375,0.8125
11,5,2011-12-12,0,3,0,0,1.0,0.9333333333333332
8,4,2011-12-19,0,2,0,1,1.0,1.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
9,3,2012-01-02,0,3,0,0,0.7233333333333333,0.6666666666666666
4,1,2012-01-09,1,1,1,0,0.6699999999999999,0.0
23,14,2012-01-16,1,6,0,0,0.8333333333333334,0.9766666666666666
20,10,2012-01-23,1,5,0,0,0.8,0.95
10,7,2012-01-30,0,3,0,0,1.0,0.8333333333333334
21,9,2012-02-06,1,7,0,0,0.8814285714285715,1.0
5,3,2012-02-13,0,2,0,0,1.0,1.0
