cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
18,28,2014-10-06,0,1,0,0,1.0,1.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
10,12,2014-11-03,0,2,0,0,1.0,1.0
5,0,2014-11-10,0,1,0,0,0.0,1.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
3,1,2014-11-24,0,1,0,0,1.0,1.0
0,0,2014-12-01,0,0,0,0,0.0,0.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
7,10,2014-12-15,0,1,0,0,1.0,1.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
2,0,2015-01-05,0,1,0,0,0.0,1.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
2,0,2015-01-26,0,1,0,0,1.0,1.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
4,2,2015-02-23,0,1,0,0,1.0,1.0
