cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,3,2012-04-16,0,1,0,0,1.0,0.83
0,0,2012-04-23,0,0,0,0,0.0,0.0
0,0,2012-04-30,0,0,0,0,0.0,0.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
0,0,2012-05-14,0,0,0,0,0.0,0.0
0,0,2012-05-21,0,0,0,0,0.0,0.0
20,30,2012-05-28,0,3,0,0,0.7799999999999999,1.0
43,119,2012-06-04,4,3,3,0,0.85,0.8533333333333334
30,84,2012-06-11,0,2,0,0,1.0,0.915
0,0,2012-06-18,0,0,0,0,0.0,0.0
0,0,2012-06-25,0,0,0,0,0.0,0.0
0,0,2012-07-02,0,0,0,0,0.0,0.0
14,16,2012-07-09,5,1,0,0,0.8,1.0
11,10,2012-07-16,0,2,0,1,1.0,0.875
8,12,2012-07-23,0,1,0,0,1.0,0.75
0,0,2012-07-30,0,0,0,0,0.0,0.0
9,4,2012-08-06,3,1,0,2,0.5700000000000001,1.0
5,2,2012-08-13,0,1,0,0,1.0,0.6699999999999999
0,0,2012-08-20,0,0,0,0,0.0,0.0
5,6,2012-08-27,0,1,0,0,1.0,1.0
0,0,2012-09-03,0,0,0,0,0.0,0.0
0,0,2012-09-10,0,0,0,0,0.0,0.0
0,0,2012-09-17,0,0,0,0,0.0,0.0
0,0,2012-09-24,0,0,0,0,0.0,0.0
8,3,2012-10-01,0,2,0,0,0.5,0.875
3,1,2012-10-08,0,1,0,0,1.0,1.0
2,1,2012-10-15,0,1,0,0,1.0,1.0
11,1,2012-10-22,1,4,0,0,1.0,0.5
0,0,2012-10-29,0,0,0,0,0.0,0.0
4,2,2012-11-05,0,1,0,0,0.6699999999999999,1.0
6,9,2012-11-12,0,1,0,0,1.0,1.0
0,0,2012-11-19,0,0,0,0,0.0,0.0
11,7,2012-11-26,0,1,0,0,1.0,0.8
7,5,2012-12-03,0,2,0,0,1.0,1.0
0,0,2012-12-10,0,0,0,0,0.0,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
0,0,2012-12-31,0,0,0,0,0.0,0.0
3,2,2013-01-07,0,1,0,2,1.0,1.0
10,15,2013-01-14,0,1,0,0,1.0,0.71
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
16,10,2013-03-18,3,3,2,1,0.7566666666666667,0.89
2,1,2013-03-25,0,1,0,0,1.0,1.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
5,0,2013-04-08,0,1,0,0,0.0,1.0
3,0,2013-04-15,0,1,0,0,0.0,1.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
3,1,2013-04-29,0,1,0,0,0.5,1.0
0,0,2013-05-06,0,0,0,0,0.0,0.0
0,0,2013-05-13,0,0,0,0,0.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
0,0,2013-06-03,0,0,0,0,0.0,0.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
2,0,2013-06-17,0,1,0,0,0.0,1.0
