name,issue_num,label
ellisonbg,1,2
tomspur,2,2
Carreau,2,0
fperez,2,21
ellisonbg,4,2
ellisonbg,5,2
ellisonbg,6,2
ellisonbg,7,2
ipython,8,2221
ellisonbg,8,2
fperez,8,2220100
unidesigner,8,21
epatters,8,222022
rkern,8,2
minrk,8,2120
ipython,9,221
ellisonbg,9,2
bfroehle,10,2
minrk,10,2
fperez,11,0
fperez,12,0
ellisonbg,12,2
Carreau,12,2
damianavila,12,1
takluyver,12,1
ipython,13,0
ellisonbg,13,21
fperez,13,201
takluyver,13,2
minrk,13,2
ipython,14,11
takluyver,14,2
ellisonbg,14,2
minrk,14,2
Carreau,14,2
fperez,15,1
ellisonbg,15,2
ipython,16,2
takluyver,16,2
fperez,16,02
ipython,17,2
Drekin,17,2200
takluyver,17,222
fperez,17,2
Carreau,17,1
takluyver,18,2
minrk,19,2
fperez,19,02
ipython,20,2
fperez,20,0
ipython,21,2
asmeurer,21,2202022
minrk,21,0222
boxed,21,2
Carreau,21,12
cottrell,21,2
takluyver,21,2
takluyver,22,22
fperez,22,22011
paykroyd,22,22
fperez,23,2
minrk,23,22
ipython,24,111012111012
fperez,24,0
ipython,25,22220222000022221
fperez,25,022
takluyver,25,2
jrus,25,2
minrk,25,2
takluyver,26,2
ellisonbg,26,2
minrk,26,2
takluyver,27,2
fperez,27,1
fperez,28,2
ipython,29,222022
minrk,29,0222
fperez,29,10011
dwf,29,2
takluyver,29,2
takluyver,30,2
minrk,30,02
takluyver,31,22
ipython,32,0
tknbamn,32,2
emaror,32,2
fperez,32,1
bfroehle,32,2
ipython,33,2
takluyver,33,2
fperez,33,2
minrk,34,2
ipython,35,22
Shougo,35,0220
methane,35,2
minrk,35,2
ipython,36,222
batz,36,2
fperez,36,1
ellisonbg,37,2
ipython,38,22202122002
takluyver,38,2
fperez,38,2
tomspur,39,2
minrk,39,2
ipython,40,2
fperez,40,2
takluyver,40,2
ipython,41,20
ipython,42,2
Carreau,42,1
ellisonbg,43,2
ipython,44,22
takluyver,44,2
fperez,44,2
epatters,45,2
ipython,46,2
takluyver,46,0
ipython,47,200
ellisonbg,47,2
ipython,48,2
minrk,48,2
ivanov,48,2
takluyver,49,2
fperez,50,11
ipython,51,22
takluyver,51,2
fperez,52,2
ipython,53,1
takluyver,53,2
minrk,53,2
ipython,54,2122222
takluyver,54,2
minrk,54,2
ipython,55,2
takluyver,55,22
ipython,56,1
fperez,56,1
ipython,57,22111112
fperez,57,2
nealmcb,57,2
ipython,58,22210
xiaket,58,2
takluyver,58,22220
haosdent,58,2021
ipython,59,2200
fperez,59,22
minrk,59,2
takluyver,59,2
fperez,60,2
ipython,61,22
minrk,61,1
ipython,62,0
fperez,62,222
takluyver,62,02022220
daf,62,010
liokm,62,221
dellis23,62,2
fletom,62,2
JoeZ99,62,2
reverie,62,2
bkvirendra,62,21
minrk,62,2
Carreau,62,0
philippschw,62,0
blackball,62,2
anfedorov,62,2
Erotemic,62,2
ipython,63,2
Carreau,63,1
ipython,64,2
minrk,64,22
fperez,64,22
Carreau,64,1
ipython,65,21
fperez,65,2
ipython,66,2
ellisonbg,66,22
fperez,66,2
ipython,67,2
fperez,67,22
ellisonbg,68,22
minrk,68,2
ellisonbg,69,2
ipython,70,1
takluyver,70,2
fperez,70,2
takluyver,71,222
jstenar,71,2
ipython,72,2
minrk,72,2
Carreau,73,1
takluyver,74,2
takluyver,75,2
fperez,75,0
ipython,76,21
fperez,76,2
ipython,77,2
minrk,77,22
ipython,78,2
ellisonbg,78,2
takluyver,78,2
minrk,78,22
ellisonbg,79,2
fperez,79,2
ipython,80,2
minrk,80,2
ipython,81,20222
minrk,81,2
bfroehle,81,22
fperez,81,02
ellisonbg,82,2
fperez,82,2
ellisonbg,83,2
takluyver,84,0
minrk,84,2
Carreau,85,1
fperez,86,2
minrk,86,22
Carreau,87,0
ipython,88,22
takluyver,88,21222
rspeer,88,20220
minrk,88,2111
epatters,88,2
takluyver,89,22
fperez,89,21
ipython,90,2111
takluyver,90,2
fperez,90,02
ipython,91,2
takluyver,91,0
Carreau,91,1
ipython,92,202000
takluyver,92,2
minrk,92,2
ipython,93,2222222221
minrk,93,2
minrk,94,2
ipython,95,0
jstenar,95,2
ipython,96,20
Carreau,96,1
minrk,97,2
Carreau,97,1
ipython,98,2
takluyver,98,22
minrk,99,2
ipython,100,2021
minrk,100,2
ipython,101,2
minrk,101,2
bfroehle,101,2
gauteh,101,202
ivanov,101,22
ipython,102,2
fperez,102,0
ipython,103,2
fperez,103,2
ipython,104,0
minrk,104,2
ipython,105,2
ellisonbg,105,2
ipython,106,2
bfroehle,106,2
fperez,107,21
tomspur,107,2
pferreir,108,0
minrk,108,2
ipython,109,01
minrk,109,2
ipython,110,220
minrk,110,2
minrk,111,2
niallrobinson,112,2
takluyver,112,2122222
mmckerns,112,0200222
ipython,113,2
takluyver,113,2
fperez,113,1
fperez,114,22
ivanov,114,20
tomspur,115,2
takluyver,115,2
takluyver,116,2
minrk,116,2
fperez,116,20
ellisonbg,117,2
takluyver,118,2
minrk,118,2
jdmarch,119,2
minrk,119,2
minrk,120,2
takluyver,121,2
takluyver,122,2
cboos,122,2
minrk,122,2
Carreau,122,1
bfroehle,123,20
fperez,123,2
minrk,124,22
fperez,124,0
robyoung,124,2
takluyver,124,2
fperez,125,1
takluyver,126,2
minrk,127,2
amannuc,128,2
fperez,128,2
takluyver,129,222
takluyver,130,2
dwf,131,01
fperez,131,112
minrk,132,2
ksamuel,132,0
takluyver,133,22
aresnick,134,20
takluyver,134,20
tomspur,135,22
poelzi,135,1
tomspur,136,2
prsteel,136,2
takluyver,136,2200
fperez,136,01
clebio,136,2
minrk,136,2
amelio-dx,136,1
amelio-vazquez-reina,136,2
Erotemic,136,2
nikitakit,136,20
ivanov,136,2
takluyver,137,2
minrk,137,22
Carreau,138,2
fperez,139,2
fperez,140,2
fperez,141,0202212201
takluyver,141,2200222220222
takluyver,142,2
minrk,143,2
fperez,144,2
minrk,145,2
ellisonbg,146,2
rkern,148,2
fperez,148,2
ellisonbg,149,2002
rkern,149,220222
fperez,149,02
fperez,150,2222
fperez,151,1
fperez,152,1
fperez,153,22
fperez,154,01
dmirota,154,2
fperez,155,2
takluyver,156,0
ellisonbg,157,0
minrk,157,2
Carreau,157,1
fperez,158,1021
tomspur,158,02
fperez,159,112
takluyver,159,22
fperez,160,2
epatters,161,2
minrk,162,2
epatters,162,2
ellisonbg,163,1211
fperez,163,01211112
minrk,163,2
fperez,164,1122
minrk,164,00002202
ellisonbg,164,20012
minrk,165,2
epatters,166,2
fperez,166,1
fperez,167,12
ellisonbg,167,2
markvoorhies,167,22
minrk,168,1
fperez,168,1
takluyver,168,2
minrk,169,22002
fperez,169,012
markvoorhies,170,101
minrk,170,2022
fperez,170,1
fperez,171,11
minrk,171,22
takluyver,172,2
epatters,173,22
fperez,174,101201
ddale,174,20222
ellisonbg,174,2
ellisonbg,175,2
minrk,175,22
takluyver,175,2
minrk,176,2
fperez,176,1
rkern,177,2
fperez,177,1
markvoorhies,179,22
fperez,179,20012221
jamesgao,179,1112
ccordoba12,179,2
ellisonbg,179,0122
ivanistheone,179,1
jasongrout,179,201
fperez,180,1
takluyver,180,2
fperez,181,21112
jstenar,181,2020
Phillip-M-Feldman,181,2021
takluyver,181,02222
minrk,181,00
takluyver,182,0
fperez,182,2
minrk,183,12
eteq,183,212
fperez,183,221
fperez,185,211021
lebedov,185,212
markvoorhies,185,2222
ivanov,185,222
drewfrank,185,2
phantomas1234,186,0
ellisonbg,188,0
fperez,188,1
fperez,189,02
evilrob666,189,1
jtriley,189,0
minrk,190,2
ellisonbg,191,222
fperez,191,100
tomspur,191,110012
ellisonbg,192,01
fperez,192,01
tomspur,192,1
ellisonbg,193,02
tomspur,193,02
minrk,193,2
minrk,194,1
ghost,194,0
fperez,194,1
fperez,195,1111
rkern,195,22
fperez,196,1
minrk,196,0
tcourbon,196,1
takluyver,196,2
fperez,197,102
minrk,197,2
takluyver,197,2222
jstenar,197,02
fperez,198,01
ddale,198,0
fperez,199,121
rkern,199,202
ellisonbg,199,2
fperez,200,22
jstenar,200,022
takluyver,200,211
minrk,201,2
minrk,202,2
takluyver,203,1
minrk,203,2
limist,204,2
minrk,204,2
wilsaj,204,02
K0stIa,204,2
minrk,205,2
minrk,206,0
mhubig,206,12
yuchant,206,1
minrk,207,22
takluyver,208,2
minrk,209,0
ellisonbg,209,202
minrk,210,21
meawoppl,211,2
minrk,211,212
takluyver,211,212
zfogg,211,21
takluyver,212,2
dirjud,213,2
fperez,213,0
takluyver,214,0
bfroehle,214,2
takluyver,216,2
fperez,217,2
takluyver,218,2
takluyver,219,11
takluyver,220,2
takluyver,221,1
takluyver,222,1
takluyver,223,2
takluyver,224,11
takluyver,225,1
takluyver,226,2
takluyver,227,1
takluyver,228,1
minrk,228,22
takluyver,229,1
takluyver,230,11
takluyver,231,1
takluyver,232,22
Adish,232,2
takluyver,233,2
minrk,234,0220
mchandra,234,12222
fperez,235,00
madhusudancs,235,0
takluyver,235,1
tomspur,236,2
takluyver,236,21
markvoorhies,237,2
minrk,237,1
fperez,237,1
ivanov,238,2221
takluyver,238,2
Carreau,238,0
willingc,238,1
ellisonbg,239,2
takluyver,240,2
takluyver,241,202
ellisonbg,241,2
takluyver,242,20222112
ellisonbg,242,011222
minrk,242,001
mchandra,242,02
takluyver,243,22
ellisonbg,243,111
minrk,243,20
fperez,243,1
tomspur,244,22
takluyver,244,1
takluyver,245,22
jtriley,246,2
minrk,246,2
ivanov,246,2
kura,247,2
takluyver,248,222
oolon,248,0220
takluyver,249,2
fperez,249,1
ellisonbg,250,2
minrk,250,0
fperez,251,101
takluyver,251,122
rkern,252,021
takluyver,252,0222222
fperez,252,11
minrk,252,2
minrk,253,22
fperez,254,11000
ellisonbg,254,1110
minrk,254,220
fperez,255,1
fperez,256,2
ivanov,257,2
gazzar,258,2
takluyver,259,12
fperez,259,12121
epatters,259,22120
takluyver,260,2
fperez,261,1002
takluyver,261,102222
rkern,261,211
ellisonbg,262,2
cshimmin,262,2
takluyver,262,2
minrk,262,2
rkern,263,2
robsonpeixoto,263,0
fperez,264,1211
omazapa,264,1
rkern,264,1
rkern,265,2
takluyver,265,1
fperez,265,1
epatters,266,2
fperez,266,11
minrk,266,1
fperez,267,2221
minrk,267,2222222
fperez,268,211
minrk,268,02
ellisonbg,269,02
fperez,269,01
minrk,269,2222
gregglind,269,22
takluyver,270,2022
fperez,270,000
ellisonbg,271,22202
takluyver,271,0222
fperez,271,2222000
epatters,271,010222
minrk,271,001
minrk,272,1222
fperez,272,11
takluyver,272,2222
takluyver,273,2222
fperez,273,01211
minrk,273,2212
fperez,274,11
fperez,275,0001
minrk,275,2222
epatters,276,2
Sharpie,276,2
takluyver,276,2
fperez,276,0
juliantaylor,277,2
fperez,277,1
fperez,278,0221
minrk,278,2022
brickZA,279,222
minrk,279,2
minrk,280,202222
takluyver,280,1
fperez,280,011
rominf,280,0
fperez,281,201
epatters,281,01
ivanistheone,281,2
minrk,282,122020
takluyver,282,22222022222222
fperez,282,10121121
minrk,283,1
fperez,283,1
rkern,284,2
fperez,284,1
ivanov,284,2
takluyver,284,2
minrk,285,220
astrofrog,285,11
rkern,286,22
astrofrog,286,1
alainS,286,1
mhb0925,286,2
takluyver,287,0222
rkern,287,22
takluyver,288,21
fperez,289,1
minrk,289,0
fperez,290,2
takluyver,290,222
rkern,291,0
fperez,291,2
jasongrout,291,222
ellisonbg,291,22222
takluyver,291,2
takluyver,292,0
rkern,292,1
fperez,292,1
rkern,293,1
ellisonbg,293,1
fperez,294,1
takluyver,294,2
fperez,295,11
takluyver,295,2
tdimiduk,296,2
minrk,296,0
fperez,297,2
takluyver,297,222222022
minrk,297,2222202
ellisonbg,298,0
takluyver,299,2
ellisonbg,299,2
minrk,299,22
damianavila,299,21
Carreau,299,2
ellisonbg,300,2
ellisonbg,301,222
ellisonbg,302,2
ellisonbg,303,2
epatters,305,2
fperez,306,1
ivanov,306,2
takluyver,306,222
ivanov,307,2
takluyver,307,22202
minrk,307,22
rkern,308,20
fperez,308,112
takluyver,309,12
fperez,309,01111
ivanov,309,222
takluyver,310,1
fperez,310,1
minrk,310,2
fperez,311,1
fperez,312,1
takluyver,312,2
takluyver,313,2
fperez,313,1
fperez,314,2
takluyver,314,1
fperez,315,1
minrk,316,22
takluyver,316,1
fperez,316,102
minrk,317,2
rth,317,1
ellisonbg,317,2
efiring,318,0
fperez,318,0220
minrk,318,22
takluyver,318,02202
efiring,319,1
fperez,319,0100001
takluyver,319,2222222
minrk,320,22
takluyver,320,222
aroscoe,320,1
fperez,320,02
minrk,321,2
takluyver,322,221
takluyver,323,1
minrk,325,2222022222
takluyver,325,22002
ellisonbg,325,021221
fperez,325,11011112
mrceresa,325,1
minrk,326,22222
ellisonbg,326,22
takluyver,327,10221
antocuni,327,022
takluyver,328,20
takluyver,329,2
takluyver,330,22
fperez,330,1
fperez,331,1
takluyver,332,2221222
ellisonbg,332,0011
fperez,332,1220
fperez,334,22
takluyver,334,12
fperez,335,0220
ellisonbg,335,0222
minrk,335,2222
rkern,335,2222
fperez,336,2
takluyver,337,20
dwf,337,11
minrk,337,2
rkern,338,20
epatters,338,221
fperez,338,1011
fperez,339,111
dwf,339,2
minrk,340,2
ellisonbg,340,22
takluyver,341,202
fperez,341,0
minrk,341,1222
takluyver,342,22202
dwf,342,220
ddale,343,2
minrk,343,02
fperez,343,2
takluyver,344,2
fperez,344,1
fperez,345,20
dwf,345,22
takluyver,346,1
dwf,346,01
fperez,346,1
minrk,347,122
fperez,347,00
takluyver,347,02
fperez,348,1
fperez,349,221
minrk,349,2
takluyver,349,1
takluyver,350,22222
ellisonbg,350,222
ddale,351,020
ellisonbg,351,00
minrk,351,2
fperez,352,222
dwf,352,212
takluyver,353,22110
dwf,353,0221
fperez,353,0122
fperez,354,1
fperez,355,11
takluyver,355,2
ellisonbg,355,01
fperez,356,122
epatters,356,2
fperez,357,221100
takluyver,357,2222
dwf,357,2200
Carreau,358,2
epatters,359,2
fperez,359,1
Carreau,359,22
fperez,360,21
takluyver,360,212
ddale,361,2
minrk,361,2
fperez,361,1
takluyver,362,2
minrk,362,2
takluyver,363,2
minrk,363,22
fperez,363,1
ellisonbg,363,1
fperez,364,01
takluyver,364,2
fperez,365,2
DaveHirschfeld,365,20
minrk,365,022
epatters,366,2
epatters,367,212
methane,367,22
fperez,367,1
minrk,368,22
fperez,368,2
fperez,369,21
ddale,369,2
minrk,369,22
mdboom,370,22202
ellisonbg,370,0022
fperez,370,0
minrk,370,22
rkern,370,2
epatters,371,2
takluyver,371,2
minrk,371,2
eteq,371,1
fperez,372,1
ellisonbg,373,21
takluyver,373,01222
fperez,373,12201
fperez,374,00
minrk,374,0220
ellisonbg,374,22
minrk,375,212
jstenar,375,221
takluyver,375,0221221
minrk,376,2
takluyver,376,2
minrk,377,2
minrk,378,002
fperez,378,21
jstenar,378,2
fperez,379,1
fperez,380,221
epatters,380,20
ellisonbg,381,2210222
fperez,381,2221
mdboom,381,022
fperez,382,11
takluyver,382,22
fperez,383,11
takluyver,383,1
fperez,384,20011212
takluyver,384,2020022
minrk,384,2
fperez,385,2
minrk,385,2
minrk,386,222
fperez,386,0
minrk,387,22
fperez,387,00
takluyver,387,222
epatters,388,1001
minrk,388,200
minrk,389,22
kaazoo,389,1
ellisonbg,389,122
mhoffman,390,2
jagguli,390,22
minrk,391,1
takluyver,392,022122122
rspeer,392,2
Rogacz,392,21
minrk,392,012
fperez,392,1
cdeboever3,392,01
gdesjardins,392,1
minrk,393,122
takluyver,393,222
takluyver,394,22
lebigot,394,1
minrk,395,2211
eteq,395,0022200
fperez,395,21
panyam,395,00
Carreau,395,1
takluyver,396,2
rth,396,0
ellisonbg,397,202202
minrk,397,00222
ellisonbg,398,2002022
minrk,398,2202
minrk,399,0
rkern,400,20022
ellisonbg,400,02222121022
minrk,400,00220202022222
minrk,401,00
kaazoo,401,22
takluyver,402,2222
epatters,402,0
ellisonbg,402,2
rkern,403,0
minrk,403,22
bashseb,403,1
ivanov,403,1
takluyver,404,22
claytron,404,22
Carreau,404,2
rkern,405,2
minrk,405,22
jfkw,405,11
ellisonbg,405,2
epatters,406,1
fperez,407,1
rkern,408,1
epatters,408,21
takluyver,408,1222
ellisonbg,408,22
minrk,408,1
ellisonbg,410,12
minrk,411,22
kaazoo,411,1
minrk,412,2
kaazoo,412,1
minrk,413,22222
kaazoo,413,221
takluyver,414,21
minrk,414,2
rkern,415,22
minrk,415,202
takluyver,415,1221
takluyver,416,2
martinjanda,416,1
takluyver,417,22
apatil,417,1
takluyver,418,1
takluyver,419,2
fperez,419,1
ellisonbg,420,222
epatters,420,22
minrk,421,222
takluyver,421,2212
minrk,422,22
epatters,422,21
rkern,423,2
minrk,423,22
ellisonbg,423,1
fperez,423,2
takluyver,424,22
minrk,424,22
jenshnielsen,424,2
takluyver,426,21
ibeex,426,0
bfroehle,426,2
takluyver,427,20
minrk,427,2
minrk,428,22
fperez,428,2
takluyver,430,1
