name,period,issue_num,label
ellisonbg,20101,1,2
tomspur,20100,2,2
Carreau,20111,2,0
fperez,20111,2,21
ellisonbg,20101,4,2
ellisonbg,20101,5,2
ellisonbg,20110,6,2
ellisonbg,20110,7,2
ipython,20100,8,2221
ellisonbg,20100,8,2
fperez,20110,8,2220100
unidesigner,20110,8,21
epatters,20110,8,22202
rkern,20110,8,2
minrk,20110,8,21
minrk,20111,8,20
epatters,20111,8,2
ipython,20100,9,221
ellisonbg,20110,9,2
bfroehle,20121,10,2
minrk,20141,10,2
fperez,20101,11,0
fperez,20110,12,0
ellisonbg,20110,12,2
Carreau,20140,12,2
damianavila,20140,12,1
takluyver,20140,12,1
ipython,20100,13,0
ellisonbg,20110,13,21
fperez,20110,13,20
takluyver,20110,13,2
minrk,20110,13,2
fperez,20120,13,1
ipython,20100,14,11
takluyver,20110,14,2
ellisonbg,20110,14,2
minrk,20110,14,2
Carreau,20140,14,2
fperez,20101,15,1
ellisonbg,20110,15,2
ipython,20100,16,2
takluyver,20110,16,2
fperez,20110,16,0
fperez,20111,16,2
ipython,20100,17,2
Drekin,20141,17,2200
takluyver,20141,17,222
fperez,20141,17,2
Carreau,20161,17,1
takluyver,20110,18,2
minrk,20110,19,2
fperez,20111,19,0
fperez,20140,19,2
ipython,20100,20,2
fperez,20110,20,0
ipython,20100,21,2
asmeurer,20111,21,2202022
minrk,20111,21,0222
boxed,20130,21,2
Carreau,20130,21,1
Carreau,20170,21,2
cottrell,20180,21,2
takluyver,20180,21,2
takluyver,20110,22,2
takluyver,20111,22,2
fperez,20111,22,22011
paykroyd,20111,22,22
fperez,20101,23,2
minrk,20110,23,2
minrk,20141,23,2
ipython,20100,24,111012111012
fperez,20110,24,0
ipython,20100,25,22220222000022221
fperez,20101,25,022
takluyver,20110,25,2
jrus,20110,25,2
minrk,20110,25,2
takluyver,20110,26,2
ellisonbg,20110,26,2
minrk,20110,26,2
takluyver,20110,27,2
fperez,20110,27,1
fperez,20110,28,2
ipython,20100,29,222022
minrk,20110,29,0222
fperez,20110,29,10011
dwf,20110,29,2
takluyver,20110,29,2
takluyver,20110,30,2
minrk,20110,30,02
takluyver,20110,31,22
ipython,20100,32,0
tknbamn,20110,32,2
emaror,20110,32,2
fperez,20110,32,1
bfroehle,20120,32,2
ipython,20100,33,2
takluyver,20110,33,2
fperez,20110,33,2
minrk,20111,34,2
ipython,20100,35,22
Shougo,20120,35,0220
methane,20120,35,2
minrk,20150,35,2
ipython,20100,36,222
batz,20101,36,2
fperez,20101,36,1
ellisonbg,20100,37,2
ipython,20100,38,22202122002
takluyver,20110,38,2
fperez,20111,38,2
tomspur,20101,39,2
minrk,20141,39,2
ipython,20100,40,2
fperez,20110,40,2
takluyver,20131,40,2
ipython,20100,41,20
ipython,20100,42,2
Carreau,20161,42,1
ellisonbg,20110,43,2
ipython,20100,44,22
takluyver,20110,44,2
fperez,20110,44,2
epatters,20110,45,2
ipython,20100,46,2
takluyver,20110,46,0
ipython,20100,47,200
ellisonbg,20101,47,2
ipython,20100,48,2
minrk,20110,48,2
ivanov,20131,48,2
takluyver,20110,49,2
fperez,20110,50,11
ipython,20100,51,22
takluyver,20110,51,2
fperez,20110,52,2
ipython,20100,53,1
takluyver,20110,53,2
minrk,20110,53,2
ipython,20100,54,2122222
takluyver,20110,54,2
minrk,20111,54,2
ipython,20100,55,2
takluyver,20110,55,22
ipython,20100,56,1
fperez,20110,56,1
ipython,20100,57,22111112
fperez,20111,57,2
nealmcb,20130,57,2
ipython,20100,58,22210
xiaket,20100,58,2
takluyver,20110,58,222
haosdent,20130,58,2021
takluyver,20130,58,20
ipython,20100,59,2200
fperez,20110,59,22
minrk,20110,59,2
takluyver,20110,59,2
fperez,20110,60,2
ipython,20100,61,22
minrk,20141,61,1
ipython,20100,62,0
fperez,20101,62,2
takluyver,20110,62,02
fperez,20111,62,2
daf,20120,62,010
takluyver,20120,62,02222
liokm,20120,62,221
fperez,20120,62,2
dellis23,20121,62,2
fletom,20121,62,2
takluyver,20121,62,0
JoeZ99,20121,62,2
reverie,20130,62,2
bkvirendra,20131,62,21
minrk,20131,62,2
Carreau,20131,62,0
philippschw,20160,62,0
blackball,20161,62,2
anfedorov,20161,62,2
Erotemic,20161,62,2
ipython,20100,63,2
Carreau,20161,63,1
ipython,20100,64,2
minrk,20110,64,2
minrk,20111,64,2
fperez,20111,64,2
