name,year_week,issue_num,label
ellisonbg,201049,1,2
tomspur,201023,2,2
Carreau,201146,2,0
fperez,201146,2,2
fperez,201147,2,1
ellisonbg,201049,4,2
ellisonbg,201049,5,2
ellisonbg,201112,6,2
ellisonbg,201113,7,2
ipython,201019,8,2221
ellisonbg,201019,8,2
fperez,201112,8,22
fperez,201114,8,2
unidesigner,201115,8,21
fperez,201115,8,01
fperez,201121,8,00
epatters,201122,8,22
rkern,201122,8,2
minrk,201126,8,2120
epatters,201126,8,2022
ipython,201019,9,221
ellisonbg,201112,9,2
bfroehle,201245,10,2
minrk,201446,10,2
fperez,201043,11,0
fperez,201112,12,0
ellisonbg,201113,12,2
Carreau,201424,12,2
damianavila,201424,12,1
takluyver,201424,12,1
ipython,201019,13,0
ellisonbg,201112,13,2
fperez,201114,13,20
ellisonbg,201114,13,1
takluyver,201121,13,2
minrk,201125,13,2
fperez,201215,13,1
ipython,201019,14,11
takluyver,201112,14,2
ellisonbg,201120,14,2
minrk,201120,14,2
Carreau,201424,14,2
fperez,201043,15,1
ellisonbg,201112,15,2
ipython,201019,16,2
takluyver,201112,16,2
fperez,201112,16,0
fperez,201148,16,2
ipython,201019,17,2
Drekin,201435,17,2200
takluyver,201435,17,222
fperez,201435,17,2
Carreau,201629,17,1
takluyver,201112,18,2
minrk,201126,19,2
fperez,201148,19,0
fperez,20145,19,2
ipython,201019,20,2
fperez,201112,20,0
ipython,201019,21,2
asmeurer,201132,21,2
asmeurer,201134,21,2
minrk,201134,21,0
asmeurer,201135,21,02022
minrk,201135,21,222
boxed,201314,21,2
Carreau,201314,21,1
Carreau,20174,21,2
cottrell,20184,21,2
takluyver,20184,21,2
takluyver,201112,22,2
takluyver,201142,22,2
fperez,201143,22,2
fperez,201147,22,2
fperez,201148,22,01
paykroyd,201148,22,2
paykroyd,201149,22,2
fperez,201149,22,1
fperez,201049,23,2
minrk,201114,23,2
minrk,201446,23,2
ipython,201019,24,111012111012
fperez,201112,24,0
ipython,201019,25,22220222000022221
fperez,201039,25,0
fperez,201043,25,22
takluyver,201112,25,2
jrus,201120,25,2
minrk,201120,25,2
takluyver,201112,26,2
ellisonbg,201113,26,2
minrk,201116,26,2
